,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 10,11 B","R$ 3,82 B","R$ 23,28",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
1,31/03/2024,"R$ 9,31 B","R$ 3,92 B","R$ 23,85",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
2,31/12/2023,"R$ 9,35 B","R$ 3,76 B","R$ 22,88",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
3,30/09/2023,"R$ 9,02 B","R$ 3,66 B","R$ 22,28",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
4,30/06/2023,"R$ 8,72 B","R$ 3,78 B","R$ 23,05",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
5,31/03/2023,"R$ 8,31 B","R$ 3,61 B","R$ 22,00",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
6,31/12/2022,"R$ 8,41 B","R$ 3,45 B","R$ 21,01",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
7,30/09/2022,"R$ 7,92 B","R$ 3,16 B","R$ 19,26",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
8,30/06/2022,"R$ 8,08 B","R$ 3,07 B","R$ 18,72",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
9,31/03/2022,"R$ 7,66 B","R$ 3,19 B","R$ 19,43",161.318.939,2.864.960,2.864.960,164.183.899,0,0,0,0,161.318.939,2.864.960,164.183.899
