,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 729,82 M","- R$ 906,56 M","R$ 296,45 M","R$ 119,71 M"
1,31/03/2024,"R$ 645,44 M","- R$ 655,08 M","- R$ 1,19 M","- R$ 10,83 M"
2,31/12/2023,"R$ 514,89 M","- R$ 480,05 M","R$ 176,38 M","R$ 211,22 M"
3,30/09/2023,"R$ 456,00 M","- R$ 692,18 M","R$ 427,37 M","R$ 191,19 M"
4,30/06/2023,"R$ 544,40 M","- R$ 332,92 M","- R$ 111,17 M","R$ 100,32 M"
5,31/03/2023,"R$ 850,79 M","- R$ 736,22 M","- R$ 107,08 M","R$ 7,49 M"
6,31/12/2022,"R$ 1,05 B","- R$ 917,06 M","- R$ 105,92 M","R$ 23,36 M"
7,30/09/2022,"R$ 989,30 M","- R$ 545,34 M","- R$ 683,51 M","- R$ 239,55 M"
8,30/06/2022,"R$ 957,87 M","- R$ 952,13 M","- R$ 345,29 M","- R$ 339,55 M"
9,31/03/2022,"R$ 771,75 M","- R$ 193,96 M","- R$ 742,72 M","- R$ 164,94 M"
10,31/12/2021,"R$ 630,86 M","R$ 252,09 M","- R$ 1,10 B","- R$ 215,46 M"
11,30/09/2021,"R$ 869,40 M","R$ 230,63 M","- R$ 1,30 B","- R$ 195,53 M"
12,30/06/2021,"R$ 1,26 B","R$ 95,33 M","- R$ 964,09 M","R$ 388,32 M"
13,31/03/2021,"R$ 1,26 B","- R$ 722,10 M","- R$ 921,97 M","- R$ 386,29 M"
14,31/12/2020,"R$ 1,41 B","- R$ 871,92 M","- R$ 589,35 M","- R$ 55,26 M"
15,30/09/2020,"R$ 1,23 B","- R$ 1,58 B","- R$ 570,94 M","- R$ 916,70 M"
16,30/06/2020,"R$ 1,02 B","- R$ 1,38 B","- R$ 762,24 M","- R$ 1,12 B"
17,31/03/2020,"R$ 968,39 M","- R$ 919,15 M","- R$ 918,53 M","- R$ 869,29 M"
18,31/12/2019,"R$ 1,05 B","- R$ 1,15 B","- R$ 766,96 M","- R$ 870,22 M"
19,30/09/2019,"R$ 1,12 B","- R$ 307,95 M","- R$ 653,10 M","R$ 159,49 M"
20,30/06/2019,"R$ 961,56 M","- R$ 291,02 M","- R$ 649,86 M","R$ 20,68 M"
21,31/03/2019,"R$ 831,21 M","- R$ 283,99 M","- R$ 811,32 M","- R$ 264,10 M"
22,31/12/2018,"R$ 687,62 M","- R$ 262,94 M","- R$ 946,27 M","- R$ 521,58 M"
23,30/09/2018,"R$ 535,63 M","R$ 419,79 M","- R$ 122,73 M","R$ 832,69 M"
24,30/06/2018,"R$ 545,37 M","R$ 245,68 M","- R$ 68,06 M","R$ 722,99 M"
25,31/03/2018,"R$ 451,23 M","R$ 390,20 M","R$ 380,97 M","R$ 1,22 B"
26,31/12/2017,"R$ 439,94 M","R$ 405,09 M","R$ 332,55 M","R$ 1,18 B"
27,30/09/2017,"R$ 397,99 M","- R$ 259,95 M","R$ 40,89 M","R$ 178,93 M"
28,30/06/2017,"R$ 319,21 M","- R$ 130,22 M","R$ 23,75 M","R$ 212,74 M"
29,31/03/2017,"R$ 424,13 M","- R$ 209,11 M","R$ 34,75 M","R$ 249,77 M"
30,31/12/2016,"R$ 346,83 M","- R$ 152,89 M","R$ 60,11 M","R$ 254,05 M"
31,30/09/2016,"R$ 509,26 M","- R$ 229,39 M","- R$ 217,74 M","R$ 62,14 M"
32,30/06/2016,"R$ 602,37 M","- R$ 288,15 M","- R$ 216,59 M","R$ 97,64 M"
33,31/03/2016,"R$ 577,01 M","- R$ 331,11 M","- R$ 104,01 M","R$ 141,89 M"
34,31/12/2015,"R$ 648,60 M","- R$ 384,29 M","- R$ 114,75 M","R$ 149,56 M"
35,30/09/2015,"R$ 428,64 M","- R$ 775,66 M","R$ 435,36 M","R$ 88,34 M"
36,30/06/2015,"R$ 346,39 M","- R$ 810,26 M","R$ 403,04 M","- R$ 60,82 M"
37,31/03/2015,"R$ 306,58 M","- R$ 711,75 M","R$ 336,09 M","- R$ 69,07 M"
38,31/12/2014,"R$ 234,71 M","- R$ 644,60 M","R$ 366,53 M","- R$ 43,37 M"
39,30/09/2014,"R$ 290,36 M","- R$ 139,83 M","- R$ 52,97 M","R$ 97,55 M"
40,30/06/2014,"R$ 383,23 M","- R$ 127,11 M","- R$ 26,19 M","R$ 229,94 M"
41,31/03/2014,"R$ 446,96 M","- R$ 426,86 M","R$ 176,37 M","R$ 196,47 M"
42,31/12/2013,"R$ 368,19 M","- R$ 201,05 M","- R$ 21,53 M","R$ 145,62 M"
43,30/09/2013,"R$ 277,49 M","- R$ 252,14 M","- R$ 6,42 M","R$ 18,93 M"
44,30/06/2013,"R$ 139,23 M","- R$ 130,54 M","- R$ 50,81 M","- R$ 42,11 M"
45,31/03/2013,"R$ 133,36 M","- R$ 225,40 M","R$ 7,16 M","- R$ 84,88 M"
46,31/12/2012,"R$ 175,94 M","- R$ 487,88 M","R$ 136,89 M","- R$ 175,06 M"
47,30/09/2012,"R$ 342,41 M","- R$ 507,17 M","R$ 262,94 M","R$ 98,18 M"
48,30/06/2012,"R$ 360,33 M","- R$ 598,81 M","R$ 293,29 M","R$ 54,81 M"
49,31/03/2012,"R$ 365,88 M","- R$ 550,43 M","- R$ 167,65 M","- R$ 352,20 M"
50,31/12/2011,"R$ 360,80 M","- R$ 468,61 M","- R$ 114,89 M","- R$ 222,70 M"
51,30/09/2011,"R$ 286,83 M","- R$ 304,86 M","- R$ 144,53 M","- R$ 162,56 M"
52,30/06/2011,"R$ 334,87 M","- R$ 318,88 M","- R$ 146,32 M","- R$ 130,34 M"
53,31/03/2011,"R$ 345,26 M","- R$ 299,31 M","- R$ 9,66 M","R$ 36,30 M"
