,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 138,43 M","- R$ 330,20 M","- R$ 89,64 M","- R$ 281,41 M"
1,31/03/2024,"R$ 366,45 M","- R$ 112,61 M","- R$ 127,53 M","R$ 126,31 M"
2,31/12/2023,"R$ 474,59 M","- R$ 483,96 M","- R$ 410,90 M","- R$ 420,26 M"
3,30/09/2023,"R$ 837,43 M","- R$ 51,80 M","- R$ 184,42 M","R$ 601,21 M"
4,30/06/2023,"R$ 251,35 M","R$ 25,25 M","- R$ 302,71 M","- R$ 26,10 M"
5,31/03/2023,"R$ 306,05 M","- R$ 219,35 M","- R$ 120,28 M","- R$ 33,58 M"
6,31/12/2022,"R$ 490,22 M","- R$ 457,29 M","- R$ 215,69 M","- R$ 182,77 M"
7,30/09/2022,"R$ 372,77 M","- R$ 519,02 M","- R$ 503,27 M","- R$ 649,52 M"
8,30/06/2022,"R$ 492,73 M","- R$ 133,48 M","R$ 286,70 M","R$ 645,96 M"
9,31/03/2022,"R$ 346,20 M","- R$ 214,54 M","R$ 101,51 M","R$ 233,17 M"
10,31/12/2021,"R$ 265,34 M","R$ 182,06 M","- R$ 971,82 M","- R$ 524,43 M"
11,30/09/2021,"- R$ 108,72 M","- R$ 584,31 M","R$ 147,91 M","- R$ 545,13 M"
12,30/06/2021,"R$ 523,80 M","- R$ 324,57 M","- R$ 280,93 M","- R$ 81,69 M"
13,31/03/2021,"R$ 384,86 M","- R$ 60,08 M","R$ 42,85 M","R$ 367,64 M"
14,31/12/2020,"R$ 387,24 M","- R$ 275,40 M","- R$ 467,92 M","- R$ 356,09 M"
15,30/09/2020,"R$ 651,83 M","R$ 245,60 M","R$ 194,59 M","R$ 1,09 B"
16,30/06/2020,"R$ 284,68 M","- R$ 1,29 B","R$ 35,28 M","- R$ 966,38 M"
17,31/03/2020,"R$ 254,51 M","R$ 613,78 M","- R$ 31,17 M","R$ 837,11 M"
18,31/12/2019,"R$ 76,93 M","- R$ 1,12 B","- R$ 215,67 M","- R$ 1,26 B"
19,30/09/2019,"R$ 503,32 M","- R$ 190,69 M","- R$ 70,27 M","R$ 242,35 M"
20,30/06/2019,"R$ 127,71 M","- R$ 160,70 M","R$ 111,76 M","R$ 78,77 M"
21,31/03/2019,"R$ 278,08 M","- R$ 151,14 M","R$ 333,33 M","R$ 460,28 M"
22,31/12/2018,"R$ 368,28 M","- R$ 157,08 M","- R$ 220,05 M","- R$ 8,85 M"
23,30/09/2018,"R$ 179,18 M","- R$ 140,92 M","- R$ 909,74 M","- R$ 871,48 M"
24,30/06/2018,"R$ 95,66 M","- R$ 183,35 M","R$ 887,83 M","R$ 800,14 M"
25,31/03/2018,"R$ 106,73 M","- R$ 48,77 M","- R$ 219,97 M","- R$ 162,02 M"
26,31/12/2017,"R$ 189,70 M","R$ 464,98 M","R$ 227,57 M","R$ 882,25 M"
27,30/09/2017,"R$ 221,07 M","- R$ 177,69 M","- R$ 36,85 M","R$ 6,53 M"
28,30/06/2017,"R$ 14,98 M","- R$ 140,45 M","R$ 135,66 M","R$ 10,19 M"
29,31/03/2017,"R$ 105,43 M","R$ 118,79 M","- R$ 230,67 M","- R$ 6,45 M"
30,31/12/2016,"R$ 3,14 M","- R$ 599,40 M","R$ 745,71 M","R$ 149,45 M"
31,30/09/2016,"- R$ 20,74 M","R$ 90,19 M","- R$ 81,80 M","- R$ 12,35 M"
32,30/06/2016,"R$ 17,94 M","- R$ 34,15 M","R$ 7,15 M","- R$ 9,06 M"
33,31/03/2016,"R$ 140,36 M","- R$ 169,02 M","R$ 42,64 M","R$ 13,98 M"
34,31/12/2015,"R$ 453,00 M","- R$ 387,20 M","- R$ 137,27 M","- R$ 71,47 M"
35,30/09/2015,"R$ 510,23 M","- R$ 211,39 M","- R$ 196,83 M","R$ 102,02 M"
36,30/06/2015,"- R$ 509,92 M","- R$ 161,47 M","R$ 525,40 M","- R$ 145,98 M"
37,31/03/2015,"R$ 103,30 M","R$ 79,26 M","- R$ 80,48 M","R$ 102,09 M"
38,31/12/2014,"R$ 388,38 M","- R$ 672,82 M","R$ 199,65 M","- R$ 84,79 M"
39,30/09/2014,"- R$ 101,17 M","- R$ 58,84 M","R$ 107,05 M","- R$ 52,95 M"
40,30/06/2014,"- R$ 90,57 M","R$ 31,90 M","R$ 187,31 M","R$ 128,64 M"
41,31/03/2014,"- R$ 90,84 M","- R$ 132,21 M","R$ 177,07 M","- R$ 45,98 M"
42,31/12/2013,"- R$ 87,08 M","R$ 106,40 M","- R$ 9,78 M","R$ 9,53 M"
43,30/09/2013,"- R$ 1,78 M","- R$ 105,14 M","R$ 48,34 M","- R$ 58,59 M"
44,30/06/2013,"- R$ 205,82 M","R$ 105,08 M","R$ 19,33 M","- R$ 81,41 M"
45,31/03/2013,"R$ 6,92 M","R$ 72,89 M","R$ 91,10 M","R$ 170,91 M"
46,31/12/2012,"- R$ 441,36 M","- R$ 420,99 M","R$ 727,88 M","- R$ 134,47 M"
47,30/09/2012,"R$ 142,89 M","- R$ 127,88 M","R$ 66,05 M","R$ 81,05 M"
48,30/06/2012,"R$ 41,73 M","- R$ 126,67 M","- R$ 2,44 M","- R$ 87,38 M"
49,31/03/2012,"R$ 232,95 M","- R$ 152,84 M","- R$ 79,23 M","R$ 889,00 mil"
50,31/12/2011,"R$ 95,35 M","- R$ 153,00 M","R$ 7,33 M","- R$ 50,31 M"
51,30/09/2011,"- R$ 15,34 M","- R$ 81,08 M","R$ 72,61 M","- R$ 23,81 M"
52,30/06/2011,"- R$ 21,75 M","- R$ 167,32 M","R$ 258,50 M","R$ 69,44 M"
