,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 519,03 M","- R$ 4,19 B","R$ 2,94 B","- R$ 736,46 M"
1,31/03/2024,"R$ 387,87 M","R$ 1,13 B","- R$ 2,78 B","- R$ 1,27 B"
2,31/12/2023,"R$ 671,17 M","- R$ 4,43 B","R$ 2,79 B","- R$ 963,28 M"
3,30/09/2023,"R$ 490,30 M","- R$ 1,92 B","R$ 1,76 B","R$ 331,54 M"
4,30/06/2023,"R$ 1,45 B","- R$ 1,62 B","R$ 1,10 B","R$ 922,87 M"
5,31/03/2023,"R$ 531,99 M","R$ 479,94 M","R$ 142,83 M","R$ 1,15 B"
6,31/12/2022,"R$ 640,12 M","- R$ 2,58 B","R$ 2,22 B","R$ 280,53 M"
7,30/09/2022,"R$ 751,62 M","R$ 173,44 M","- R$ 1,87 B","- R$ 944,87 M"
8,30/06/2022,"R$ 1,92 B","- R$ 279,47 M","R$ 195,91 M","R$ 1,84 B"
9,31/03/2022,"R$ 151,86 M","- R$ 6,05 B","R$ 4,89 B","- R$ 1,01 B"
10,31/12/2021,"R$ 190,47 M","- R$ 3,25 B","R$ 2,28 B","- R$ 781,50 M"
11,30/09/2021,"- R$ 117,15 M","- R$ 2,41 B","R$ 2,10 B","- R$ 426,94 M"
12,30/06/2021,"R$ 902,05 M","R$ 55,22 M","R$ 756,73 M","R$ 1,71 B"
13,31/03/2021,"R$ 328,88 M","R$ 865,90 M","- R$ 923,31 M","R$ 271,48 M"
14,31/12/2020,"R$ 964,93 M","- R$ 1,97 B","- R$ 84,97 M","- R$ 1,09 B"
15,30/09/2020,"R$ 1,81 B","R$ 1,37 B","- R$ 491,41 M","R$ 2,69 B"
16,30/06/2020,"R$ 562,68 M","- R$ 3,32 B","R$ 119,33 M","- R$ 2,64 B"
17,31/03/2020,"R$ 142,58 M","R$ 1,48 B","- R$ 151,24 M","R$ 1,47 B"
18,31/12/2019,"R$ 146,51 M","- R$ 4,22 B","R$ 1,58 B","- R$ 2,49 B"
19,30/09/2019,"- R$ 37,36 M","R$ 271,53 M","- R$ 361,20 M","- R$ 127,03 M"
20,30/06/2019,"- R$ 692,49 M","- R$ 1,61 B","R$ 1,72 B","- R$ 588,32 M"
21,31/03/2019,"- R$ 67,81 M","- R$ 210,85 M","R$ 525,98 M","R$ 247,31 M"
22,31/12/2018,"R$ 1,11 B","- R$ 1,48 B","R$ 365,98 M","- R$ 9,62 M"
23,30/09/2018,"R$ 345,30 M","- R$ 299,20 M","R$ 268,67 M","R$ 314,76 M"
24,30/06/2018,"R$ 140,82 M","- R$ 361,79 M","R$ 560,02 M","R$ 339,06 M"
25,31/03/2018,"R$ 247,32 M","- R$ 241,86 M","- R$ 78,14 M","- R$ 72,68 M"
26,31/12/2017,"R$ 351,63 M","R$ 1,05 B","R$ 1,84 B","R$ 3,24 B"
27,30/09/2017,"R$ 435,53 M","- R$ 375,16 M","- R$ 28,78 M","R$ 31,59 M"
28,30/06/2017,"R$ 37,98 M","- R$ 149,81 M","R$ 64,71 M","- R$ 47,12 M"
29,31/03/2017,"R$ 231,97 M","R$ 103,50 M","- R$ 312,41 M","R$ 23,07 M"
30,31/12/2016,"R$ 387,73 M","- R$ 706,89 M","R$ 824,04 M","R$ 504,87 M"
31,30/09/2016,"R$ 254,60 M","- R$ 29,69 M","- R$ 227,09 M","- R$ 2,18 M"
32,30/06/2016,"R$ 45,02 M","- R$ 51,92 M","R$ 20,95 M","R$ 14,04 M"
33,31/03/2016,"R$ 180,36 M","- R$ 155,93 M","- R$ 18,26 M","R$ 6,18 M"
34,31/12/2015,"R$ 473,35 M","- R$ 399,68 M","- R$ 127,76 M","- R$ 54,09 M"
35,30/09/2015,"R$ 386,60 M","- R$ 359,61 M","R$ 140,00 M","R$ 166,99 M"
36,30/06/2015,"R$ 216,99 M","- R$ 284,10 M","- R$ 16,39 M","- R$ 83,51 M"
37,31/03/2015,"R$ 120,77 M","R$ 79,81 M","- R$ 112,20 M","R$ 88,38 M"
38,31/12/2014,"- R$ 276,05 M","- R$ 641,09 M","R$ 807,39 M","- R$ 109,75 M"
39,30/09/2014,"R$ 150,91 M","- R$ 339,39 M","R$ 45,34 M","- R$ 143,14 M"
40,30/06/2014,"- R$ 172,90 M","R$ 175,21 M","R$ 186,66 M","R$ 188,96 M"
41,31/03/2014,"- R$ 76,03 M","R$ 149,07 M","- R$ 79,90 M","- R$ 6,86 M"
42,31/12/2013,"- R$ 43,04 M","R$ 121,04 M","R$ 44,79 M","R$ 122,80 M"
43,30/09/2013,"R$ 163,27 M","- R$ 257,18 M","R$ 76,21 M","- R$ 17,70 M"
44,30/06/2013,"R$ 190,26 M","- R$ 142,19 M","- R$ 88,87 M","- R$ 40,80 M"
45,31/03/2013,"- R$ 353,12 M","R$ 498,22 M","R$ 8,38 M","R$ 153,48 M"
