,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 35,81 M","- R$ 6,05 M","- R$ 13,45 M","R$ 16,31 M",184
1,31/03/2024,"R$ 19,57 M","- R$ 4,81 M","- R$ 16,83 M","- R$ 2,06 M",184
2,31/12/2023,"R$ 4,65 M","- R$ 5,67 M","- R$ 63,34 M","- R$ 64,36 M",184
3,30/09/2023,"R$ 25,42 M","R$ 140,00 mil","- R$ 11,59 M","R$ 13,97 M",184
4,30/06/2023,"R$ 37,85 M","- R$ 3,96 M","- R$ 21,61 M","R$ 12,28 M",184
5,31/03/2023,"R$ 2,60 M","- R$ 29,90 M","- R$ 15,02 M","- R$ 42,32 M",184
6,31/12/2022,"- R$ 2,41 M","- R$ 21,67 M","R$ 187,99 M","R$ 163,91 M",184
7,30/09/2022,"- R$ 65,83 M","- R$ 23,65 M","R$ 5,99 M","- R$ 83,50 M",184
8,30/06/2022,"R$ 49,44 M","- R$ 38,96 M","R$ 16,63 M","R$ 27,11 M",184
9,31/03/2022,"R$ 28,64 M","- R$ 67,96 M","R$ 26,75 M","- R$ 12,57 M",184
10,31/12/2021,"- R$ 26,88 M","- R$ 104,01 M","R$ 3,48 M","- R$ 127,41 M",184
11,30/09/2021,"- R$ 25,14 M","- R$ 118,82 M","R$ 256,56 M","R$ 112,60 M",184
12,30/06/2021,"R$ 11,06 M","- R$ 378,11 M","R$ 259,14 M","- R$ 107,91 M",184
13,31/03/2021,"R$ 10,38 M","- R$ 1,01 B","R$ 1,11 B","R$ 117,22 M",184
14,31/12/2020,"R$ 28,64 M","- R$ 42,93 M","- R$ 53,84 M","- R$ 68,13 M",184
15,30/09/2020,"R$ 38,07 M","- R$ 54,65 M","- R$ 33,57 M","- R$ 50,15 M",184
16,30/06/2020,"R$ 27,70 M","- R$ 5,38 M","R$ 1,36 M","R$ 23,68 M",184
17,31/03/2020,"R$ 14,23 M","- R$ 28,22 M","R$ 202,43 M","R$ 188,44 M",184
18,31/12/2019,,,,,184
