,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 1,24 B","R$ 403,87 M","R$ 206,75 M","- R$ 35,53 M","R$ 242,27 M","R$ 267,28 M","R$ 1,21"
1,31/03/2024,"R$ 1,07 B","R$ 354,12 M","R$ 191,86 M","- R$ 25,89 M","R$ 217,74 M","R$ 253,95 M","R$ 1,15"
2,31/12/2023,"R$ 1,08 B","R$ 343,70 M","R$ 189,08 M","- R$ 24,37 M","R$ 213,45 M","R$ 239,47 M","R$ 1,08"
3,30/09/2023,"R$ 1,06 B","R$ 308,18 M","R$ 143,81 M","- R$ 22,22 M","R$ 166,03 M","R$ 188,18 M","R$ 0,85"
4,30/06/2023,"R$ 1,09 B","R$ 337,13 M","R$ 201,40 M","- R$ 19,54 M","R$ 220,95 M","R$ 254,50 M","R$ 1,15"
5,31/03/2023,"R$ 1,08 B","R$ 342,65 M","R$ 191,94 M","- R$ 15,45 M","R$ 207,39 M","R$ 262,28 M","R$ 1,19"
6,31/12/2022,"R$ 1,12 B","R$ 384,23 M","R$ 239,75 M","- R$ 13,22 M","R$ 252,96 M","R$ 324,71 M","R$ 1,47"
7,30/09/2022,"R$ 986,76 M","R$ 384,41 M","R$ 264,86 M","- R$ 10,34 M","R$ 275,20 M","R$ 365,68 M","R$ 1,65"
8,30/06/2022,"R$ 1,00 B","R$ 424,43 M","R$ 292,63 M","- R$ 7,50 M","R$ 300,13 M","R$ 405,50 M","R$ 1,83"
9,31/03/2022,"R$ 1,05 B","R$ 471,87 M","R$ 350,09 M","- R$ 5,87 M","R$ 355,95 M","R$ 461,87 M","R$ 2,03"
10,31/12/2021,"R$ 957,87 M","R$ 441,80 M","R$ 309,74 M","- R$ 4,83 M","R$ 314,57 M","R$ 430,13 M","R$ 1,89"
11,30/09/2021,"R$ 1,04 B","R$ 469,49 M","R$ 333,11 M","- R$ 3,87 M","R$ 336,98 M","R$ 497,30 M","R$ 2,19"
12,30/06/2021,"R$ 1,02 B","R$ 437,71 M","R$ 310,20 M","- R$ 5,63 M","R$ 315,82 M","R$ 471,85 M","R$ 2,08"
13,31/03/2021,"R$ 882,08 M","R$ 384,70 M","R$ 255,00 M","- R$ 7,19 M","R$ 262,19 M","R$ 400,43 M","R$ 1,76"
