,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"8,72","0,64","2,14","-90,26","-71,07","0,49","10,53","1,21","13,98","12,61","2,80","2,84","-94,41","0,66","R$ 3,14 B","2,05%"
1,30/09/2024,"8,56","0,63","2,10","-88,61","-69,78","0,49","10,33","1,19","13,79","12,44","2,74","2,80","-93,11","0,65","R$ 3,09 B","2,08%"
2,30/06/2024,"10,79","0,60","2,32","-34,54","-32,79","0,47","13,95","1,22","18,33","15,64","2,75","3,04","-43,09","0,62","R$ 2,88 B","2,12%"
3,31/03/2024,"12,02","0,65","2,85","-20,23","-19,71","0,52","15,91","1,38","20,13","17,74","2,96","3,60","-24,94","0,66","R$ 3,05 B","1,89%"
4,31/12/2023,"15,72","0,81","3,47","-16,46","-16,22","0,64","19,90","1,79","23,99","21,25","4,30","4,19","-19,55","0,77","R$ 3,76 B","1,20%"
5,30/09/2023,"18,98","0,78","3,38","-9,74","-9,66","0,61","24,83","1,70","30,08","26,06","4,12","4,10","-11,70","0,74","R$ 3,57 B","1,71%"
6,30/06/2023,"19,75","1,10","4,63","-11,50","-11,22","0,88","24,96","2,68","28,12","25,63","6,75","5,22","-12,64","0,99","R$ 5,03 B","1,26%"
7,31/03/2023,"13,57","0,79","3,28","-8,62","-8,31","0,64","18,55","1,75","21,53","19,92","3,76","3,81","-9,65","0,74","R$ 3,56 B","2,19%"
8,31/12/2022,"10,15","0,74","2,94","-9,42","-8,96","0,60","13,74","1,77","15,74","14,92","4,13","3,37","-10,26","0,68","R$ 3,29 B","5,22%"
9,30/09/2022,"10,47","0,86","3,88","-13,72","-12,17","0,69","14,45","1,97","16,09","15,49","4,27","4,32","-13,55","0,77","R$ 3,83 B","3,83%"
10,30/06/2022,"9,92","0,92","4,01","-40,43","-28,17","0,75","13,75","1,93","14,88","14,51","3,72","4,34","-30,48","0,81","R$ 4,02 B","3,15%"
11,31/03/2022,"8,07","0,85","3,55","70,72","250,48","0,74","10,64","2,00","10,58","10,41","3,16","3,53","249,09","0,73","R$ 3,73 B","2,81%"
12,31/12/2021,"8,78","0,88","3,94","420,07","-147,72","0,74","12,20","2,18","12,09","11,90","4,01","3,91","-146,44","0,74","R$ 3,78 B","2,55%"
13,30/09/2021,"9,90","1,12","4,72","-112,13","-80,59","0,97","14,78","2,63","14,60","14,43","4,10","4,66","-79,61","0,96","R$ 4,92 B","1,95%"
14,30/06/2021,"12,56","1,38","5,82","-64,38","-63,89","1,21","19,11","2,95","18,89","18,56","4,22","5,76","-63,18","1,20","R$ 5,93 B","1,62%"
15,31/03/2021,"17,53","1,69","7,96","-145,20","-143,63","1,46","27,52","3,69","27,33","26,58","5,64","7,90","-142,63","1,45","R$ 7,02 B","1,37%"
16,31/12/2020,"15,75","1,57","6,81","-106,94","-105,68","1,35","23,98","3,63","23,71","22,91","5,74","6,74","-104,48","1,34","R$ 6,38 B","0,92%"
17,30/09/2020,"22,90","2,12","8,69","253,67","264,93","1,89","30,49","4,36","29,36","28,20","5,85","8,37","255,12","1,82","R$ 8,55 B","0,78%"
18,30/06/2020,"26,15","2,11","9,15","88,82","91,48","1,87","35,06","4,57","34,78","33,03","6,34","9,08","90,77","1,85","R$ 8,23 B","0,81%"
19,31/03/2020,"17,02","1,51","6,40","114,10","124,11","1,33","22,74","3,16","22,61","21,66","4,38","6,37","123,40","1,33","R$ 5,81 B","1,15%"
20,31/12/2019,"22,90","1,71","8,00","76,83","80,62","1,51","29,24","3,04","29,09","27,88","4,02","7,96","80,21","1,50","R$ 6,44 B","0,50%"
21,30/09/2019,"43,00","2,51","14,57","49,72","50,49","2,23","62,26","4,01","61,84","58,76","5,00","14,47","50,15","2,22","R$ 9,33 B","0,34%"
22,30/06/2019,"36,37","2,53","12,78","52,99","53,63","2,23","66,13","5,26","66,56","63,69","7,34","12,86","53,98","2,24","R$ 6,90 B","0,41%"
23,31/03/2019,"32,21","1,34","7,89","36,63","36,64","1,18","135,41","2,67","137,28","120,14","3,69","8,00","37,14","1,19","R$ 3,52 B","0,66%"
24,31/12/2018,"43,69","1,63","10,91","30,52","30,54","1,43","1.608,91","2,96","1.632,31","714,83","3,96","11,07","30,98","1,45","R$ 4,26 B","2,00%"
25,30/09/2018,"44,74","1,37","10,69","98,92","98,92","1,20","-622,92","2,53","-637,64","-1.973,58","3,41","10,94","101,26","1,23","R$ 3,55 B","14,82%"
26,30/06/2018,"8,42","1,07","2,93","3,68","3,68","0,92","10,04","2,07","10,44","10,29","3,00","3,04","3,83","0,96","R$ 2,74 B","19,18%"
27,31/03/2018,"10,44","1,37","3,57","4,52","4,54","1,15","11,78","2,62","12,18","11,99","4,10","3,69","4,69","1,19","R$ 3,47 B","15,13%"
28,31/12/2017,"10,94","1,55","4,01","5,34","5,36","1,27","12,40","2,96","12,92","12,74","5,19","4,17","5,59","1,32","R$ 3,93 B","15,81%"
29,30/09/2017,"8,82","1,17","3,39","4,99","5,01","1,00","9,64","1,87","10,30","10,17","2,60","3,63","5,35","1,06","R$ 3,55 B","5,08%"
30,30/06/2017,"19,72","1,23","7,19","83,51","90,97","0,97","28,79","2,02","31,13","29,75","3,56","7,77","98,37","1,05","R$ 3,38 B","5,34%"
31,31/03/2017,"18,92","1,25","6,87","45,82","45,84","1,01","28,06","1,84","30,02","28,53","2,83","7,35","49,04","1,08","R$ 3,56 B","5,06%"
32,31/12/2016,"14,13","1,15","5,68","27,62","27,64","0,92","19,38","1,79","20,87","20,02","2,88","6,12","29,77","1,00","R$ 3,25 B","5,02%"
33,30/09/2016,"10,26","0,97","4,22","22,61","22,81","0,81","13,51","1,55","14,65","14,15","2,29","4,58","24,74","0,87","R$ 2,72 B","6,00%"
34,30/06/2016,"8,73","1,01","3,93","-6,78","-6,77","0,85","10,73","1,73","11,45","11,14","2,61","4,19","-7,22","0,91","R$ 2,81 B","5,82%"
35,31/03/2016,"7,19","1,00","3,77","-6,02","-6,01","0,82","8,61","1,84","9,04","8,83","3,05","3,96","-6,31","0,86","R$ 2,76 B","5,91%"
36,31/12/2015,"5,85","0,96","3,19","35,10","35,56","0,79","6,64","1,78","7,02","6,88","2,98","3,37","37,59","0,84","R$ 2,60 B","6,70%"
37,30/09/2015,"4,16","0,72","2,24","17,21","17,33","0,62","4,67","1,41","4,89","4,79","2,14","2,34","18,13","0,65","R$ 1,96 B","8,88%"
