,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 966,88 M","R$ 465,61 M","R$ 248,15 M","- R$ 232,71 M","R$ 480,87 M","R$ 167,51 M","R$ 0,46",200
1,31/03/2024,"R$ 927,48 M","R$ 434,42 M","R$ 235,14 M","- R$ 227,40 M","R$ 462,54 M","R$ 156,31 M","R$ 0,43",200
2,31/12/2023,"R$ 883,16 M","R$ 397,42 M","R$ 221,90 M","- R$ 218,64 M","R$ 440,54 M","R$ 145,11 M","R$ 0,40",200
3,30/09/2023,"R$ 841,09 M","R$ 375,98 M","R$ 208,97 M","- R$ 210,15 M","R$ 419,11 M","R$ 129,40 M","R$ 0,36",200
4,30/06/2023,"R$ 787,19 M","R$ 354,17 M","R$ 196,08 M","- R$ 195,39 M","R$ 391,48 M","R$ 119,58 M","R$ 0,33",200
5,31/03/2023,"R$ 729,46 M","R$ 331,43 M","R$ 189,79 M","- R$ 179,30 M","R$ 369,09 M","R$ 123,58 M","R$ 0,34",200
6,31/12/2022,"R$ 678,45 M","R$ 315,76 M","R$ 181,76 M","- R$ 163,08 M","R$ 344,84 M","R$ 130,21 M","R$ 0,36",200
7,30/09/2022,"R$ 631,27 M","R$ 297,29 M","R$ 159,98 M","- R$ 146,84 M","R$ 306,82 M","R$ 120,74 M","R$ 0,33",200
8,30/06/2022,"R$ 574,64 M","R$ 274,29 M","R$ 148,86 M","- R$ 129,73 M","R$ 278,60 M","R$ 111,78 M","R$ 0,31",200
9,31/03/2022,"R$ 522,14 M","R$ 252,90 M","R$ 138,82 M","- R$ 112,74 M","R$ 251,55 M","R$ 94,75 M","R$ 0,26",200
10,31/12/2021,"R$ 457,98 M","R$ 224,89 M","R$ 129,67 M","- R$ 95,90 M","R$ 225,57 M","R$ 80,54 M","R$ 0,22",200
11,30/09/2021,"R$ 394,18 M","R$ 191,19 M","R$ 125,14 M","- R$ 81,02 M","R$ 206,15 M","R$ 71,56 M","R$ 0,20",200
12,30/06/2021,"R$ 349,40 M","R$ 167,25 M","R$ 109,58 M","- R$ 68,75 M","R$ 178,34 M","R$ 61,51 M","R$ 0,24",200
13,31/03/2021,"R$ 311,47 M","R$ 148,21 M","R$ 96,07 M","- R$ 59,13 M","R$ 155,20 M","R$ 55,23 M","R$ 4,64",200
14,31/12/2020,"R$ 286,05 M","R$ 135,69 M","R$ 88,32 M","- R$ 50,84 M","R$ 139,15 M","R$ 50,45 M","R$ 4,24",200
