,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"27,34%","15,37%","41,43%","23,30%","16,03%","8,77%","49,49%","17,46%","25,99%","49,57%","0,50","1,93","0,93","0,12"
1,30/06/2024,"24,08%","14,85%","36,49%","22,50%","15,90%","8,38%","48,16%","17,33%","25,67%","49,73%","0,48","1,98","0,98","0,07"
2,31/03/2024,"23,73%","14,36%","35,96%","21,76%","15,27%","8,19%","46,84%","16,85%","25,35%","49,87%","0,49","1,74","0,74","0,12"
3,31/12/2023,"23,41%","14,65%","35,46%","22,20%","14,55%","7,56%","45,00%","16,43%","25,13%","49,88%","0,46","1,84","0,84","0,12"
4,30/09/2023,"27,20%","15,08%","41,22%","22,84%","13,01%","6,81%","44,70%","15,38%","24,84%","49,83%","0,44","1,83","0,83","0,06"
5,30/06/2023,"26,88%","16,34%","40,73%","24,76%","12,41%","7,08%","44,99%","15,19%","24,91%","49,73%","0,47","1,90","0,90","0,13"
6,31/03/2023,"25,69%","16,02%","38,92%","24,27%","12,71%","7,63%","45,43%","16,94%","26,02%","50,60%","0,45","1,86","0,86","0,15"
7,31/12/2022,"23,87%","16,69%","36,17%","25,29%","13,58%","8,05%","46,54%","19,19%","26,79%","50,83%","0,42","1,92","0,92","0,01"
8,30/09/2022,"20,16%","15,65%","30,54%","23,71%","12,26%","7,53%","47,09%","19,13%","25,34%","48,60%","0,39","1,91","0,91","-0,26"
9,30/06/2022,"43,34%","28,47%","65,66%","43,13%","89,99%","17,03%","47,73%","19,45%","25,91%","48,48%","0,88","1,75","0,75","-0,62"
10,31/03/2022,"53,26%","34,60%","80,70%","52,43%","69,60%","15,61%","48,43%","18,15%","26,59%","48,18%","0,86","1,67","0,67","-0,76"
11,31/12/2021,"58,15%","37,44%","88,11%","56,73%","68,56%","17,67%","49,10%","17,59%","28,31%","49,25%","1,00","1,69","0,69","-1,07"
12,30/09/2021,"56,12%","36,13%","85,03%","54,74%","60,91%","15,70%","48,50%","18,15%","31,75%","52,30%","0,86","1,63","0,63","-1,50"
13,30/06/2021,"49,15%","31,64%","74,46%","47,94%","52,35%","13,49%","47,87%","17,60%","31,36%","51,04%","0,77","5,28","4,28","1,24"
14,31/03/2021,"43,09%","27,74%","65,28%","42,03%","47,01%","12,12%","47,58%","17,73%","30,85%","49,83%","0,68","4,46","3,46","0,83"
15,31/12/2020,NA,NA,NA,NA,NA,NA,"47,44%","17,64%","30,87%","48,65%",NA,"3,88","2,88","0,80"
