,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 1,71 B","- R$ 1,71 B","- R$ 21,37 M","- R$ 21,10 M",101
1,31/03/2024,"R$ 1,45 B","R$ 92,57 M","- R$ 1,46 B","R$ 81,53 M",101
2,31/12/2023,"R$ 1,44 B","R$ 2,41 M","- R$ 1,44 B","R$ 4,66 M",101
3,30/09/2023,"R$ 1,29 B","- R$ 527,13 M","- R$ 758,47 M","R$ 5,23 M",101
4,30/06/2023,"R$ 1,16 B","- R$ 567,93 M","- R$ 580,45 M","R$ 10,87 M",101
5,31/03/2023,"R$ 1,14 B","- R$ 1,63 B","R$ 492,83 M","- R$ 3,84 M",101
6,31/12/2022,"R$ 987,13 M","- R$ 1,38 B","R$ 380,87 M","- R$ 16,47 M",101
7,30/09/2022,"R$ 988,95 M","- R$ 681,67 M","- R$ 324,33 M","- R$ 17,04 M",101
8,30/06/2022,"R$ 895,21 M","- R$ 1,23 B","R$ 323,17 M","- R$ 14,79 M",101
9,31/03/2022,"R$ 882,15 M","- R$ 327,46 M","- R$ 554,56 M","R$ 129,00 mil",101
10,31/12/2021,"R$ 1,02 B","- R$ 591,36 M","- R$ 421,77 M","R$ 5,54 M",101
11,30/09/2021,"R$ 1,02 B","- R$ 593,45 M","- R$ 415,01 M","R$ 7,29 M",101
12,30/06/2021,"R$ 936,26 M","R$ 44,09 M","- R$ 964,51 M","R$ 15,84 M",101
13,31/03/2021,"R$ 714,98 M","- R$ 564,78 M","- R$ 156,02 M","- R$ 5,83 M",101
14,31/12/2020,"R$ 647,14 M","- R$ 507,18 M","- R$ 120,74 M","R$ 19,22 M",101
15,30/09/2020,"R$ 577,49 M","- R$ 1,10 B","R$ 534,49 M","R$ 12,17 M",101
16,30/06/2020,"R$ 655,94 M","- R$ 1,18 B","R$ 535,85 M","R$ 10,64 M",101
17,31/03/2020,"R$ 755,41 M","- R$ 672,93 M","- R$ 69,08 M","R$ 13,40 M",101
18,31/12/2019,"R$ 732,32 M","- R$ 542,63 M","- R$ 235,96 M","- R$ 46,27 M",101
19,30/09/2019,"R$ 739,77 M","- R$ 124,60 M","- R$ 739,03 M","- R$ 123,87 M",101
20,30/06/2019,"R$ 658,84 M","- R$ 112,05 M","- R$ 760,10 M","- R$ 213,31 M",101
21,31/03/2019,"R$ 705,84 M","- R$ 688,80 M","- R$ 202,52 M","- R$ 185,48 M",101
22,31/12/2018,"R$ 701,49 M","- R$ 805,73 M","- R$ 177,88 M","- R$ 282,12 M",101
23,30/09/2018,"R$ 601,09 M","- R$ 928,85 M","R$ 145,10 M","- R$ 182,67 M",101
24,30/06/2018,"R$ 598,13 M","- R$ 815,98 M","R$ 172,22 M","- R$ 45,63 M",101
25,31/03/2018,"R$ 547,60 M","- R$ 501,15 M","- R$ 112,56 M","- R$ 66,12 M",101
26,31/12/2017,"R$ 529,61 M","- R$ 520,96 M","R$ 14,87 M","R$ 23,52 M",101
27,30/09/2017,"R$ 524,51 M","- R$ 196,37 M","- R$ 658,38 M","- R$ 330,24 M",101
28,30/06/2017,"R$ 514,91 M","- R$ 173,88 M","- R$ 686,12 M","- R$ 345,10 M",101
29,31/03/2017,"R$ 521,66 M","- R$ 80,88 M","- R$ 721,64 M","- R$ 280,85 M",101
30,31/12/2016,"R$ 513,87 M","- R$ 65,95 M","- R$ 648,97 M","- R$ 201,05 M",101
31,30/09/2016,"R$ 507,94 M","- R$ 150,68 M","- R$ 144,75 M","R$ 212,52 M",101
32,30/06/2016,"R$ 484,64 M","- R$ 149,12 M","- R$ 125,96 M","R$ 209,56 M",101
33,31/03/2016,"R$ 436,62 M","- R$ 136,78 M","- R$ 119,35 M","R$ 180,49 M",101
34,31/12/2015,"R$ 368,92 M","- R$ 128,39 M","- R$ 121,23 M","R$ 119,31 M",101
35,30/09/2015,"R$ 336,82 M","- R$ 117,41 M","- R$ 121,05 M","R$ 98,36 M",101
36,30/06/2015,"R$ 285,04 M","- R$ 112,07 M","- R$ 110,47 M","R$ 62,51 M",101
37,31/03/2015,"R$ 262,33 M","- R$ 109,27 M","- R$ 204,33 M","- R$ 51,27 M",101
38,31/12/2014,"R$ 285,71 M","- R$ 120,47 M","- R$ 199,91 M","- R$ 34,67 M",101
39,30/09/2014,"R$ 275,40 M","- R$ 143,80 M","- R$ 196,00 M","- R$ 64,40 M",101
40,30/06/2014,"R$ 240,38 M","- R$ 146,34 M","- R$ 247,65 M","- R$ 153,61 M",101
41,31/03/2014,"R$ 200,51 M","- R$ 151,33 M","- R$ 202,49 M","- R$ 153,32 M",101
42,31/12/2013,"R$ 209,59 M","- R$ 164,64 M","R$ 314,20 M","R$ 359,15 M",101
43,30/09/2013,"R$ 151,30 M","- R$ 133,95 M","R$ 327,07 M","R$ 344,42 M",101
44,30/06/2013,"R$ 170,43 M","- R$ 148,64 M","R$ 377,77 M","R$ 399,56 M",101
45,31/03/2013,"R$ 192,59 M","- R$ 166,01 M","R$ 397,43 M","R$ 424,01 M",101
46,31/12/2012,"R$ 167,05 M","- R$ 371,38 M","- R$ 100,89 M","- R$ 305,21 M",101
47,30/09/2012,"R$ 238,36 M","- R$ 431,56 M","R$ 343,87 M","R$ 150,66 M",101
48,30/06/2012,"R$ 182,72 M","- R$ 857,28 M","R$ 345,13 M","- R$ 329,44 M",101
49,31/03/2012,"R$ 135,29 M","- R$ 872,24 M","R$ 446,11 M","- R$ 290,85 M",101
50,31/12/2011,"R$ 145,96 M","- R$ 644,66 M","R$ 441,26 M","- R$ 57,45 M",101
51,30/09/2011,"R$ 140,58 M","- R$ 621,15 M","- R$ 4,25 M","- R$ 484,82 M",101
52,30/06/2011,"R$ 171,52 M","- R$ 160,17 M","- R$ 14,20 M","- R$ 2,85 M",101
53,31/03/2011,"R$ 136,72 M","- R$ 96,43 M","- R$ 73,67 M","- R$ 33,38 M",101
