,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 115,95 M","- R$ 21,02 M","R$ 60,63 M","R$ 155,56 M",193
1,31/03/2024,"- R$ 62,06 M","- R$ 32,80 M","R$ 117,55 M","R$ 22,69 M",193
2,31/12/2023,"R$ 346,03 M","- R$ 59,59 M","- R$ 32,45 M","R$ 253,99 M",193
3,30/09/2023,"R$ 138,91 M","- R$ 19,76 M","- R$ 134,48 M","- R$ 15,33 M",193
4,30/06/2023,"R$ 324,67 M","- R$ 27,45 M","- R$ 38,79 M","R$ 258,43 M",193
5,31/03/2023,"R$ 227,90 M","- R$ 129,59 M","- R$ 112,85 M","- R$ 14,54 M",193
6,31/12/2022,"R$ 234,25 M","- R$ 37,76 M","- R$ 48,19 M","R$ 148,30 M",193
7,30/09/2022,"- R$ 168,14 M","- R$ 20,79 M","- R$ 67,68 M","- R$ 256,60 M",193
8,30/06/2022,"- R$ 155,98 M","- R$ 15,64 M","R$ 539,17 M","R$ 367,55 M",193
9,31/03/2022,"- R$ 15,20 M","- R$ 13,19 M","- R$ 26,59 M","- R$ 54,99 M",193
10,31/12/2021,"R$ 144,10 M","- R$ 76,49 M","- R$ 53,76 M","R$ 13,85 M",193
11,30/09/2021,"R$ 63,47 M","- R$ 70,09 M","R$ 96,59 M","R$ 89,96 M",193
12,30/06/2021,"R$ 17,98 M","- R$ 27,47 M","- R$ 93,72 M","- R$ 103,21 M",193
13,31/03/2021,"R$ 19,49 M","- R$ 21,30 M","- R$ 78,45 M","- R$ 80,25 M",193
14,31/12/2020,"R$ 97,54 M","- R$ 23,71 M","- R$ 23,85 M","R$ 49,98 M",193
15,30/09/2020,"R$ 73,65 M","- R$ 270,88 M","R$ 178,11 M","- R$ 19,12 M",193
16,30/06/2020,"R$ 12,51 M","- R$ 11,40 M","R$ 289,81 M","R$ 290,92 M",193
17,31/03/2020,"R$ 57,52 M","- R$ 13,65 M","- R$ 100,79 M","- R$ 56,93 M",193
18,31/12/2019,"R$ 47,21 M","- R$ 30,51 M","- R$ 13,39 M","R$ 3,30 M",193
19,30/09/2019,"R$ 40,63 M","- R$ 23,64 M","R$ 36,99 M","R$ 53,98 M",193
20,30/06/2019,"R$ 14,03 M","- R$ 15,93 M","- R$ 47,44 M","- R$ 49,33 M",193
21,31/03/2019,"R$ 19,17 M","- R$ 12,99 M","- R$ 60,46 M","- R$ 54,28 M",193
22,31/12/2018,"R$ 43,38 M","- R$ 170,73 M","- R$ 616,00 mil","- R$ 127,97 M",193
23,30/09/2018,"- R$ 22,11 M","- R$ 10,94 M","R$ 75,56 M","R$ 42,50 M",193
24,30/06/2018,"R$ 201,76 M","- R$ 10,28 M","R$ 5,89 M","R$ 197,37 M",193
25,31/03/2018,"R$ 43,12 M","- R$ 116,37 M","- R$ 51,72 M","- R$ 124,96 M",193
26,31/12/2017,"R$ 34,43 M","- R$ 30,97 M","- R$ 11,41 M","- R$ 7,95 M",193
27,30/09/2017,"- R$ 9,55 M","- R$ 9,60 M","- R$ 56,19 M","- R$ 75,33 M",193
28,30/06/2017,"R$ 88,62 M","- R$ 5,06 M","- R$ 15,30 M","R$ 68,26 M",193
29,31/03/2017,"R$ 15,20 M","- R$ 1,87 M","- R$ 16,78 M","- R$ 3,45 M",193
30,31/12/2016,"R$ 32,67 M","- R$ 3,69 M","- R$ 14,71 M","R$ 14,27 M",193
31,30/09/2016,"R$ 67,23 M","- R$ 3,27 M","- R$ 9,21 M","R$ 54,75 M",193
32,30/06/2016,"- R$ 208,76 M","- R$ 721,00 mil","R$ 250,13 M","R$ 40,64 M",193
33,31/03/2016,"R$ 35,50 M","- R$ 2,74 M","- R$ 48,08 M","- R$ 15,32 M",193
34,31/12/2015,"R$ 23,45 M","- R$ 12,78 M","- R$ 47,89 M","- R$ 37,21 M",193
35,30/09/2015,"R$ 110,75 M","- R$ 28,16 M","- R$ 25,66 M","R$ 56,93 M",193
36,30/06/2015,"R$ 3,93 M","- R$ 5,87 M","- R$ 28,42 M","- R$ 30,37 M",193
37,31/03/2015,"R$ 56,45 M","- R$ 16,08 M","- R$ 44,06 M","- R$ 3,69 M",193
38,31/12/2014,"R$ 24,89 M","- R$ 17,72 M","- R$ 21,27 M","- R$ 14,10 M",193
39,30/09/2014,"R$ 74,94 M","- R$ 11,72 M","- R$ 19,35 M","R$ 43,87 M",193
40,30/06/2014,"R$ 3,59 M","- R$ 4,70 M","R$ 6,26 M","R$ 5,15 M",193
41,31/03/2014,"- R$ 8,91 M","- R$ 4,38 M","- R$ 11,44 M","- R$ 24,73 M",193
42,31/12/2013,"R$ 123,37 M","- R$ 5,39 M","- R$ 10,56 M","R$ 107,42 M",193
43,30/09/2013,"- R$ 20,70 M","- R$ 19,72 M","R$ 41,90 M","R$ 1,48 M",193
44,30/06/2013,"R$ 75,94 M","- R$ 14,99 M","- R$ 58,98 M","R$ 1,97 M",193
45,31/03/2013,"R$ 17,64 M","- R$ 5,49 M","- R$ 36,28 M","- R$ 24,13 M",193
46,31/12/2012,"R$ 21,30 M","R$ 10,47 M","- R$ 21,72 M","R$ 10,06 M",193
47,30/09/2012,"R$ 58,85 M","- R$ 12,01 M","- R$ 65,99 M","- R$ 19,16 M",193
48,30/06/2012,"- R$ 29,68 M","- R$ 25,03 M","R$ 81,90 M","R$ 27,18 M",193
49,31/03/2012,"- R$ 14,47 M","- R$ 56,27 M","R$ 3,47 M","- R$ 67,27 M",193
50,31/12/2011,"- R$ 112,96 M","- R$ 17,59 M","- R$ 1,26 M","- R$ 131,82 M",193
51,30/09/2011,"R$ 12,60 M","- R$ 12,35 M","R$ 40,14 M","R$ 40,39 M",193
52,30/06/2011,"R$ 19,13 M","- R$ 11,22 M","R$ 6,31 M","R$ 14,22 M",193
53,31/03/2011,"R$ 15,10 M","- R$ 15,31 M","- R$ 20,47 M","- R$ 20,68 M",193
