,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-82,10","2,78","0,47","9,36","-231,82","0,49","7,61","10,27","13,75","9,15","-0,63","0,85","-418,79","0,88","R$ 961,80 M","0,00%"
1,30/06/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
2,31/03/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
3,31/12/2023,"-136,93","-2,69","0,57","6,12","10,29","0,62","8,48","-1,90","18,96","13,20","-0,40","1,27","23,03","1,39","R$ 1,11 B","0,00%"
4,30/09/2023,"-2,02","-0,48","0,11","0,93","1,25","0,12","1,68","-0,34","13,48","9,33","-0,08","0,87","10,04","0,97","R$ 209,44 M","0,00%"
5,30/06/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
6,31/03/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
7,31/12/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
8,30/09/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
9,30/06/2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
10,31/03/2022,"-2,77","-0,76","0,08","1,28","2,39","0,09","0,91","-0,42","7,28","5,45","-0,07","0,65","19,10","0,74","R$ 170,39 M","0,00%"
11,31/12/2021,"-2,70","-0,93","0,08","1,95","6,23","0,09","1,04","-0,59","8,21","5,82","-0,07","0,66","49,01","0,68","R$ 170,43 M","0,00%"
12,30/09/2021,"-9,70","-1,49","0,09","1,40","2,69","0,09","1,57","-2,07","12,25","7,63","-0,08","0,70","20,91","0,73","R$ 168,38 M","0,00%"
13,30/06/2021,"-14,44","-2,80","0,15","0,65","0,75","0,14","2,54","12,00","12,55","7,80","-0,14","0,72","3,73","0,70","R$ 262,83 M","0,00%"
14,31/03/2021,"-6,25","-4,93","0,20","1,18","1,46","0,15","4,59","1,18","22,20","11,68","-0,17","0,98","7,05","0,73","R$ 308,01 M","0,00%"
15,31/12/2020,"-1,81","-4,14","0,19","1,35","1,77","0,16","3,79","1,39","16,78","9,32","-0,17","0,84","7,83","0,71","R$ 275,03 M","0,00%"
16,30/09/2020,"-1,98","-3,70","0,19","1,83","2,82","0,16","2,40","-12,10","12,24","9,00","-0,15","0,98","14,36","0,82","R$ 275,15 M","0,00%"
17,30/06/2020,"-3,22","-11,85","0,26","-2,48","-1,69","0,21","3,25","-201,60","13,41","9,21","-0,20","1,09","-6,98","0,85","R$ 369,53 M","0,00%"
18,31/03/2020,"-4,48","-20,33","0,27","-4,85","-2,59","0,23","2,95","45,36","10,57","7,84","-0,23","0,98","-9,29","0,81","R$ 410,68 M","0,00%"
