,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"18,67","0,00","4,04","13,62","14,35","0,00","16,55","0,00","16,65","12,78","0,00","4,06","14,43","0,00","R$ 2,80 B","20,46%"
1,30/06/2024,NA,NA,NA,NA,NA,NA,NA,NA,"14,84","11,39",NA,"3,62","12,86","0,00","R$ 2,50 B","16,45%"
2,31/03/2024,"10,44","0,00","2,37","5,67","5,89","0,00","8,06","0,00","7,96","5,43","0,00","2,34","5,82","0,00","R$ 2,36 B","16,58%"
3,31/12/2023,NA,NA,NA,NA,NA,NA,NA,NA,"5,00","3,64",NA,"1,78","4,64","0,00","R$ 2,47 B","7,61%"
4,30/09/2023,NA,NA,NA,NA,NA,NA,NA,NA,"5,60","4,13",NA,"2,09","4,65","0,82","R$ 2,46 B","11,90%"
5,30/06/2023,NA,NA,NA,NA,NA,NA,NA,NA,"5,59","4,17",NA,"2,15","7,39","0,84","R$ 2,47 B","12,11%"
6,31/03/2023,NA,NA,NA,NA,NA,NA,NA,NA,"5,67","4,19",NA,"2,09","7,27","0,80","R$ 2,36 B","12,62%"
7,31/12/2022,"9,39","1,22","1,67","4,99","5,37","0,61","4,76","-3,90","6,39","4,60","-0,94","2,24","7,21","0,83","R$ 2,31 B","9,91%"
8,30/09/2022,"13,95","1,01","1,54","5,92","6,65","0,55","5,37","-4,54","7,60","5,12","-0,97","2,17","9,41","0,78","R$ 2,16 B","0,00%"
9,30/06/2022,"29,99","1,18","1,69","5,55","6,11","0,58","8,46","-5,53","11,44","6,85","-0,95","2,28","8,26","0,79","R$ 2,39 B","0,00%"
10,31/03/2022,"46,73","1,33","1,92","7,07","7,96","0,66","10,80","-5,03","14,19","7,89","-1,04","2,52","10,47","0,87","R$ 2,50 B","0,00%"
11,31/12/2021,"-311,20","1,44","2,03","-3,39","-3,27","0,69","13,29","-4,73","18,97","9,88","-1,04","2,90","-4,67","0,99","R$ 2,80 B","10,14%"
12,30/09/2021,"6,34","1,61","2,37","-3,83","-3,72","0,79","2,88","-5,19","3,93","3,39","-1,21","3,24","-5,08","1,09","R$ 3,06 B","10,77%"
13,30/06/2021,"6,49","1,72","2,57","-5,26","-4,99","0,81","2,75","-8,53","3,74","3,30","-1,30","3,49","-6,79","1,10","R$ 3,32 B","10,00%"
14,31/03/2021,"6,51","1,92","2,81","-5,80","-5,53","0,84","2,93","-7,85","3,75","3,37","-1,26","3,59","-7,07","1,08","R$ 3,65 B","12,37%"
15,31/12/2020,"5,51","2,02","2,67","7,65","8,21","0,68","2,78","-3,93","2,54","2,34","-0,81","2,44","7,51","0,62","R$ 3,58 B","4,60%"
16,30/09/2020,"16,17","2,20","2,65","7,52","8,39","0,91","6,97","-8,19","7,39","5,31","-1,30","2,81","8,90","0,96","R$ 4,14 B","8,02%"
17,30/06/2020,"13,70","2,21","2,75","7,57","8,44","0,86","7,63","-14,58","8,50","5,94","-1,28","3,06","9,41","0,96","R$ 4,32 B","8,04%"
18,31/03/2020,"11,15","1,96","2,29","5,35","5,87","0,74","6,12","-13,86","7,32","5,21","-1,09","2,74","7,03","0,88","R$ 3,78 B","5,66%"
