,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 1,94 B","- R$ 1,26 B","R$ 85,05 M","R$ 1,15 B",13
1,31/03/2024,"R$ 831,29 M","R$ 362,64 M","- R$ 516,07 M","R$ 737,48 M",13
2,31/12/2023,"R$ 3,61 B","- R$ 1,97 B","- R$ 928,09 M","R$ 91,12 M",13
3,30/09/2023,"R$ 2,34 B","- R$ 1,51 B","- R$ 531,85 M","R$ 358,49 M",13
4,30/06/2023,"R$ 3,22 B","- R$ 1,21 B","- R$ 1,95 B","- R$ 25,84 M",13
5,31/03/2023,"R$ 1,96 B","- R$ 1,07 B","- R$ 719,40 M","R$ 106,02 M",13
6,31/12/2022,"R$ 1,72 B","- R$ 1,73 B","- R$ 3,42 B","- R$ 3,71 B",13
7,30/09/2022,"R$ 3,25 B","- R$ 1,14 B","- R$ 1,93 B","R$ 408,90 M",13
8,30/06/2022,"R$ 3,86 B","- R$ 975,20 M","- R$ 2,59 B","R$ 881,59 M",13
9,31/03/2022,"R$ 2,32 B","- R$ 615,80 M","- R$ 314,52 M","R$ 734,51 M",13
10,31/12/2021,"R$ 7,82 B","- R$ 1,10 B","- R$ 6,54 B","R$ 184,58 M",13
11,30/09/2021,"R$ 2,58 B","- R$ 827,57 M","- R$ 895,12 M","R$ 949,85 M",13
12,30/06/2021,"R$ 550,36 M","- R$ 597,47 M","- R$ 959,43 M","- R$ 1,22 B",13
13,31/03/2021,"R$ 1,57 B","- R$ 471,57 M","- R$ 1,59 B","- R$ 375,33 M",13
14,31/12/2020,"R$ 2,59 B","- R$ 1,06 B","- R$ 882,97 M","R$ 446,08 M",13
15,30/09/2020,"R$ 2,49 B","- R$ 344,60 M","- R$ 2,02 B","R$ 107,47 M",13
16,30/06/2020,"R$ 166,36 M","- R$ 278,98 M","R$ 214,69 M","R$ 247,81 M",13
17,31/03/2020,"R$ 1,16 B","- R$ 549,52 M","R$ 195,16 M","R$ 1,17 B",13
18,31/12/2019,"- R$ 217,37 M","- R$ 499,99 M","R$ 1,08 B","R$ 350,24 M",13
19,30/09/2019,"R$ 1,63 B","- R$ 560,73 M","- R$ 579,13 M","R$ 540,56 M",13
20,30/06/2019,"R$ 618,18 M","- R$ 538,96 M","- R$ 272,05 M","- R$ 190,91 M",13
21,31/03/2019,"- R$ 388,45 M","- R$ 299,78 M","- R$ 238,27 M","- R$ 948,38 M",13
22,31/12/2018,"R$ 1,72 B","R$ 1,48 B","- R$ 3,00 B","R$ 94,95 M",13
23,30/09/2018,"R$ 33,36 M","R$ 502,05 M","- R$ 494,84 M","R$ 157,51 M",13
24,30/06/2018,"R$ 453,09 M","R$ 286,01 M","- R$ 734,50 M","R$ 262,24 M",13
25,31/03/2018,"- R$ 204,06 M","R$ 111,29 M","- R$ 28,77 M","- R$ 179,89 M",13
26,31/12/2017,"R$ 2,29 B","- R$ 279,27 M","- R$ 2,85 B","- R$ 707,66 M",13
27,30/09/2017,"- R$ 230,95 M","- R$ 44,60 M","- R$ 634,92 M","- R$ 1,04 B",13
28,30/06/2017,"- R$ 19,62 M","- R$ 159,47 M","- R$ 109,61 M","- R$ 170,69 M",13
29,31/03/2017,"R$ 36,40 M","- R$ 52,15 M","- R$ 457,37 M","- R$ 587,26 M",13
30,31/12/2016,"R$ 1,68 B","- R$ 32,71 M","- R$ 506,37 M","R$ 1,11 B",13
31,30/09/2016,"R$ 364,11 M","- R$ 186,27 M","- R$ 72,24 M","R$ 139,20 M",13
32,30/06/2016,"R$ 543,71 M","- R$ 337,98 M","- R$ 736,17 M","- R$ 920,60 M",13
33,31/03/2016,"R$ 929,12 M","- R$ 512,28 M","- R$ 1,02 B","- R$ 918,06 M",13
34,31/12/2015,"R$ 1,95 B","- R$ 538,19 M","- R$ 843,07 M","R$ 457,55 M",13
35,30/09/2015,"R$ 2,98 B","- R$ 534,88 M","- R$ 1,70 B","R$ 1,40 B",13
36,30/06/2015,"R$ 1,28 B","- R$ 676,05 M","- R$ 216,49 M","R$ 194,36 M",13
37,31/03/2015,"R$ 944,00 M","- R$ 672,54 M","- R$ 79,69 M","R$ 546,19 M",13
38,31/12/2014,"R$ 617,99 M","R$ 194,85 M","- R$ 813,59 M","R$ 177,88 M",13
39,30/09/2014,"R$ 671,55 M","- R$ 390,98 M","- R$ 190,22 M","R$ 244,03 M",13
40,30/06/2014,"R$ 1,11 B","- R$ 421,48 M","R$ 82,33 M","R$ 757,16 M",13
41,31/03/2014,"R$ 166,97 M","- R$ 723,11 M","R$ 398,06 M","- R$ 228,33 M",13
42,31/12/2013,"R$ 890,67 M","- R$ 656,60 M","- R$ 153,47 M","R$ 133,77 M",13
43,30/09/2013,"R$ 1,83 B","- R$ 812,73 M","- R$ 279,78 M","R$ 726,26 M",13
44,30/06/2013,"R$ 906,87 M","- R$ 725,54 M","- R$ 52,91 M","R$ 179,78 M",13
45,31/03/2013,"R$ 465,98 M","- R$ 508,69 M","- R$ 318,37 M","- R$ 377,82 M",13
46,31/12/2012,"R$ 1,17 B","- R$ 733,17 M","- R$ 667,67 M","- R$ 228,33 M",13
47,30/09/2012,"R$ 1,31 B","- R$ 890,03 M","- R$ 432,78 M","R$ 1,49 M",13
48,30/06/2012,"R$ 1,05 B","- R$ 985,81 M","R$ 153,44 M","R$ 305,32 M",13
49,31/03/2012,"R$ 815,37 M","- R$ 829,02 M","- R$ 89,29 M","- R$ 117,85 M",13
50,31/12/2011,"R$ 1,33 B","- R$ 694,22 M","- R$ 432,72 M","R$ 198,00 M",13
51,30/09/2011,"R$ 337,69 M","- R$ 662,91 M","R$ 280,22 M","R$ 96,19 M",13
52,30/06/2011,"- R$ 874,09 M","- R$ 375,65 M","R$ 1,38 B","R$ 103,94 M",13
53,31/03/2011,"R$ 913,16 M","- R$ 378,38 M","- R$ 502,41 M","R$ 17,43 M",13
