,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"9,25%","8,24%","14,01%","12,48%","9,54%","6,32%","13,58%","7,44%","11,38%","16,25%","0,85","1,48","0,48","0,42"
1,30/06/2024,"9,95%","8,84%","15,08%","13,39%","10,34%","6,86%","13,98%","7,84%","11,84%","16,73%","0,88","1,49","0,49","0,71"
2,31/03/2024,"11,47%","10,09%","17,37%","15,29%","13,04%","8,37%","15,28%","9,57%","13,45%","18,19%","0,87","1,48","0,48","0,61"
3,31/12/2023,"14,10%","12,27%","21,36%","18,58%","16,27%","10,16%","16,44%","10,89%","15,17%","19,71%","0,93","1,53","0,53","0,58"
4,30/09/2023,"16,45%","14,23%","24,93%","21,57%","16,53%","10,19%","17,50%","11,27%","16,69%","20,93%","0,90","1,51","0,51","0,57"
5,30/06/2023,"19,93%","17,26%","30,19%","26,16%","20,20%","12,31%","19,11%","12,54%","18,52%","22,47%","0,98","1,51","0,51","0,48"
6,31/03/2023,"25,71%","22,39%","38,95%","33,92%","27,66%","16,36%","21,25%","14,46%","21,04%","24,72%","1,13","1,56","0,56","0,48"
7,31/12/2022,"26,36%","22,32%","39,94%","33,82%","26,82%","15,48%","22,75%","13,86%","21,54%","25,06%","1,12","1,60","0,60","0,49"
8,30/09/2022,"28,49%","24,07%","43,17%","36,48%","33,51%","18,27%","24,43%","16,01%","23,00%","26,20%","1,14","1,62","0,62","0,30"
9,30/06/2022,"36,58%","30,78%","55,43%","46,63%","45,48%","24,42%","26,33%","18,95%","26,35%","29,40%","1,29","1,64","0,64","0,26"
10,31/03/2022,"38,03%","30,93%","57,62%","46,86%","46,36%","23,47%","26,97%","19,39%","27,30%","30,37%","1,21","1,69","0,69","0,31"
11,31/12/2021,"38,83%","31,71%","58,84%","48,04%","50,21%","24,55%","26,57%","19,78%","26,83%","30,05%","1,24","1,73","0,73","0,42"
12,30/09/2021,"32,73%","26,99%","49,59%","40,90%","41,55%","20,49%","25,98%","18,45%","27,09%","30,66%","1,11","1,83","0,83","0,61"
13,30/06/2021,"20,54%","16,96%","31,12%","25,69%","23,96%","11,50%","22,13%","11,75%","19,68%","23,79%","0,98","1,86","0,86","0,88"
14,31/03/2021,"14,58%","12,05%","22,08%","18,26%","15,80%","7,59%","17,42%","9,03%","16,26%","21,19%","0,84","1,97","0,97","1,25"
15,31/12/2020,"9,70%","8,49%","14,69%","12,87%","8,78%","4,38%","13,54%","5,40%","11,86%","17,43%","0,81","2,05","1,05","1,69"
16,30/09/2020,"6,15%","5,21%","9,32%","7,90%","5,19%","2,67%","9,93%","3,57%","8,05%","13,92%","0,75","2,03","1,03","2,78"
17,30/06/2020,"4,92%","4,23%","7,45%","6,41%","3,48%","1,79%","8,64%","2,45%","6,73%","12,63%","0,73","2,08","1,08","3,58"
18,31/03/2020,"5,19%","4,48%","7,86%","6,79%","3,70%","1,86%","9,76%","2,50%","6,87%","12,34%","0,74","2,08","1,08","3,38"
19,31/12/2019,"6,62%","5,57%","10,02%","8,43%","4,68%","2,35%","10,60%","3,04%","8,03%","13,26%","0,77","2,00","1,00","2,55"
20,30/09/2019,"5,95%","5,11%","9,02%","7,74%","5,60%","2,65%","11,78%","3,63%","7,92%","12,89%","0,73","1,94","0,94","2,50"
21,30/06/2019,"7,13%","6,17%","10,81%","9,34%","7,83%","3,65%","13,00%","4,52%","8,70%","13,28%","0,81","1,94","0,94","2,22"
22,31/03/2019,"7,96%","7,03%","12,06%","10,66%","9,68%","4,54%","13,27%","5,05%","8,90%","13,14%","0,90","1,99","0,99","2,17"
