,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 13,59 B","R$ 3,28 B","R$ 4,86",674.854.731,0,0,674.854.731,0,0,0,0,674.854.731,0,674.854.731,82
1,31/03/2024,"R$ 10,53 B","R$ 3,17 B","R$ 4,71",672.170.267,0,0,672.170.267,0,0,0,0,672.170.267,0,672.170.267,82
2,31/12/2023,"R$ 10,02 B","R$ 2,98 B","R$ 4,44",672.170.267,0,0,672.170.267,0,0,0,0,672.170.267,0,672.170.267,82
3,30/09/2023,"R$ 9,67 B","R$ 2,95 B","R$ 4,39",672.170.267,0,0,672.170.267,0,0,0,0,672.170.267,0,672.170.267,82
4,30/06/2023,"R$ 9,34 B","R$ 2,81 B","R$ 4,18",672.170.267,0,0,672.170.267,0,0,0,0,672.170.267,0,672.170.267,82
5,31/03/2023,"R$ 9,34 B","R$ 2,74 B","R$ 4,07",672.170.267,0,0,672.170.267,0,0,0,0,672.170.267,0,672.170.267,82
6,31/12/2022,"R$ 9,00 B","R$ 2,59 B","R$ 3,87",669.708.835,0,0,669.708.835,0,0,0,0,669.708.835,0,669.708.835,82
7,30/09/2022,"R$ 7,50 B","R$ 2,51 B","R$ 3,75",669.708.835,0,0,669.708.835,0,0,0,0,669.708.835,0,669.708.835,82
8,30/06/2022,"R$ 7,13 B","R$ 2,42 B","R$ 3,61",669.708.835,0,0,669.708.835,0,0,0,0,669.708.835,0,669.708.835,82
9,31/03/2022,"R$ 6,76 B","R$ 2,28 B","R$ 3,42",667.490.790,0,0,667.490.790,0,0,0,0,667.490.790,0,667.490.790,82
10,31/12/2021,"R$ 6,60 B","R$ 2,20 B","R$ 3,29",667.490.790,0,0,667.490.790,0,0,0,0,667.490.790,0,667.490.790,82
11,30/09/2021,"R$ 5,55 B","R$ 2,17 B","R$ 3,25",667.490.790,0,0,667.490.790,0,0,0,0,667.490.790,0,667.490.790,82
12,30/06/2021,"R$ 5,17 B","R$ 2,01 B","R$ 3,01",667.490.790,0,0,667.490.790,0,0,0,0,667.490.790,0,667.490.790,82
13,31/03/2021,"R$ 4,51 B","R$ 883,17 M","R$ 1,53",577.303.200,0,0,577.303.200,0,0,0,0,577.303.200,0,577.303.200,82
14,31/12/2020,"R$ 4,48 B","R$ 738,71 M","R$ 129,25",5.715.416,0,0,5.715.416,0,0,0,0,5.715.416,0,5.715.416,82
