,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 1,53 B","- R$ 1,28 B","- R$ 365,62 M","- R$ 115,68 M",76
1,31/03/2024,"R$ 1,25 B","- R$ 1,20 B","- R$ 379,71 M","- R$ 330,43 M",76
2,31/12/2023,"R$ 954,38 M","- R$ 1,08 B","- R$ 380,64 M","- R$ 506,51 M",76
3,30/09/2023,"R$ 1,55 B","- R$ 758,21 M","- R$ 371,06 M","R$ 422,02 M",76
4,30/06/2023,"R$ 554,24 M","- R$ 513,16 M","R$ 424,82 M","R$ 465,90 M",76
5,31/03/2023,"R$ 1,06 B","- R$ 496,01 M","R$ 485,24 M","R$ 1,05 B",76
6,31/12/2022,"R$ 977,78 M","- R$ 599,59 M","R$ 540,20 M","R$ 918,39 M",76
7,30/09/2022,"- R$ 120,05 M","- R$ 1,23 B","R$ 1,09 B","- R$ 264,29 M",76
8,30/06/2022,"R$ 297,80 M","- R$ 1,43 B","R$ 337,53 M","- R$ 797,13 M",76
9,31/03/2022,"- R$ 18,25 M","- R$ 1,47 B","R$ 310,09 M","- R$ 1,18 B",76
10,31/12/2021,"- R$ 104,26 M","- R$ 1,42 B","R$ 292,54 M","- R$ 1,24 B",76
11,30/09/2021,"- R$ 845,26 M","- R$ 1,06 B","R$ 2,05 B","R$ 147,09 M",76
12,30/06/2021,"- R$ 453,95 M","- R$ 982,45 M","R$ 2,18 B","R$ 742,90 M",76
13,31/03/2021,"- R$ 206,43 M","- R$ 839,61 M","R$ 2,63 B","R$ 1,59 B",76
14,31/12/2020,"- R$ 234,16 M","- R$ 641,79 M","R$ 2,59 B","R$ 1,71 B",76
15,30/09/2020,"R$ 571,62 M","- R$ 458,00 M","R$ 469,43 M","R$ 583,06 M",76
16,30/06/2020,"R$ 458,83 M","- R$ 335,21 M","R$ 433,89 M","R$ 557,51 M",76
17,31/03/2020,"R$ 151,21 M","- R$ 250,08 M","R$ 27,11 M","- R$ 71,75 M",76
18,31/12/2019,"R$ 325,75 M","- R$ 194,33 M","R$ 4,17 M","R$ 135,59 M",76
