,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"7,09","0,62","0,18","0,88","1,25","0,14","1,58","0,53","2,13","1,49","-0,28","0,24","1,69","0,19","R$ 11,46 B","10,88%"
1,30/09/2024,"6,52","0,57","0,17","0,81","1,15","0,13","1,45","0,49","2,02","1,41","-0,26","0,23","1,60","0,18","R$ 10,66 B","12,04%"
2,30/06/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,31/03/2024,"5,20","0,63","0,17","1,04","1,62","0,14","1,26","0,58","2,09","1,54","-0,28","0,28","2,68","0,24","R$ 11,25 B","14,21%"
4,31/12/2023,"4,05","0,62","0,15","0,88","1,55","0,14","1,00","0,57","1,77","1,36","-0,26","0,27","2,75","0,24","R$ 10,50 B","15,82%"
5,30/09/2023,"4,10","0,63","0,16","1,28","3,28","0,15","0,94","0,53","1,65","1,31","-0,30","0,27","5,75","0,25","R$ 11,18 B","10,66%"
6,30/06/2023,"4,14","0,76","0,17","1,34","2,66","0,18","0,94","0,63","1,52","1,25","-0,36","0,28","4,29","0,29","R$ 13,21 B","9,84%"
7,31/03/2023,"3,04","0,68","0,15","1,11","1,96","0,15","0,69","0,58","1,25","1,07","-0,30","0,26","3,54","0,28","R$ 11,60 B","10,98%"
8,31/12/2022,"3,58","0,81","0,16","1,22","1,99","0,18","0,76","0,71","1,31","1,13","-0,34","0,28","3,44","0,31","R$ 13,06 B","9,65%"
9,30/09/2022,"2,94","0,80","0,15","0,72","0,91","0,17","0,67","0,62","0,99","0,87","-0,31","0,23","1,34","0,24","R$ 12,94 B","6,14%"
10,30/06/2022,"1,99","0,65","0,12","0,61","0,75","0,14","0,47","0,51","0,76","0,68","-0,26","0,20","1,22","0,22","R$ 10,43 B","24,85%"
11,31/03/2022,"2,43","0,87","0,15","0,91","1,16","0,18","0,57","0,61","0,90","0,81","-0,34","0,25","1,84","0,28","R$ 12,38 B","19,98%"
12,31/12/2021,"2,17","0,75","0,14","0,83","1,07","0,15","0,52","0,57","0,99","0,88","-0,27","0,26","2,02","0,28","R$ 10,82 B","22,92%"
13,30/09/2021,"3,26","0,93","0,20","2,46","4,16","0,18","0,73","0,59","1,41","1,24","-0,37","0,38","7,99","0,35","R$ 13,68 B","7,24%"
14,30/06/2021,"5,05","1,19","0,26","2,85","4,25","0,23","1,22","0,84","2,15","1,80","-0,44","0,46","7,49","0,41","R$ 15,28 B","3,07%"
