,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 42,10 M","R$ 28,14 M","R$ 14,53 M","- R$ 553,00 mil","R$ 15,08 M","- R$ 240,85 M","- R$ 124,87",390
1,31/03/2024,"R$ 41,49 M","R$ 28,87 M","R$ 720,00 mil","- R$ 538,00 mil","R$ 1,26 M","- R$ 104,29 M","- R$ 54,07",390
2,31/12/2023,"R$ 44,50 M","R$ 30,39 M","R$ 17,30 M","- R$ 502,00 mil","R$ 17,81 M","R$ 121,92 M","R$ 63,21",390
3,30/09/2023,"R$ 39,02 M","R$ 26,90 M","R$ 11,55 M","- R$ 589,00 mil","R$ 12,14 M","- R$ 83,79 M","- R$ 43,44",390
4,30/06/2023,"R$ 39,96 M","R$ 27,80 M","R$ 14,00 M","- R$ 516,00 mil","R$ 14,52 M","R$ 60,30 M","R$ 31,26",390
5,31/03/2023,"R$ 37,23 M","R$ 25,61 M","R$ 9,04 M","- R$ 481,00 mil","R$ 9,52 M","- R$ 5,27 M","- R$ 2,73",390
6,31/12/2022,"R$ 41,10 M","R$ 27,24 M","R$ 6,88 M","- R$ 505,00 mil","R$ 7,39 M","R$ 11,90 M","R$ 6,17",390
7,30/09/2022,"R$ 35,91 M","R$ 24,50 M","R$ 12,92 M","- R$ 727,00 mil","R$ 13,64 M","- R$ 85,52 M","- R$ 44,34",390
8,30/06/2022,"R$ 39,19 M","R$ 28,06 M","R$ 14,87 M","- R$ 953,00 mil","R$ 15,82 M","- R$ 177,20 M","- R$ 91,87",390
9,31/03/2022,"R$ 37,90 M","R$ 28,27 M","R$ 13,33 M","- R$ 821,00 mil","R$ 14,15 M","R$ 164,05 M","R$ 85,06",390
10,31/12/2021,"R$ 40,59 M","R$ 29,71 M","R$ 18,20 M","- R$ 823,00 mil","R$ 19,02 M","- R$ 75,88 M","- R$ 39,34",390
11,30/09/2021,"R$ 36,07 M","R$ 27,45 M","R$ 16,57 M","- R$ 813,00 mil","R$ 17,39 M","- R$ 151,66 M","- R$ 78,63",390
12,30/06/2021,"R$ 26,54 M","R$ 18,79 M","R$ 7,95 M","- R$ 728,00 mil","R$ 8,68 M","R$ 130,26 M","R$ 67,54",390
13,31/03/2021,"R$ 27,38 M","R$ 19,64 M","R$ 7,62 M","- R$ 672,00 mil","R$ 8,30 M","- R$ 159,20 M","- R$ 82,54",390
14,31/12/2020,"R$ 30,32 M","R$ 19,90 M","R$ 55,70 M","- R$ 632,00 mil","R$ 56,33 M","R$ 117,05 M","R$ 60,68",390
15,30/09/2020,"R$ 18,64 M","R$ 11,63 M","- R$ 19,08 M","- R$ 601,00 mil","- R$ 18,48 M","- R$ 104,46 M","- R$ 54,16",390
16,30/06/2020,"R$ 14,47 M","R$ 9,96 M","- R$ 28,94 M","- R$ 582,00 mil","- R$ 28,36 M","- R$ 174,81 M","- R$ 90,63",390
17,31/03/2020,"R$ 28,35 M","R$ 19,54 M","R$ 8,55 M","- R$ 587,00 mil","R$ 9,14 M","- R$ 310,72 M","- R$ 161,10",390
18,31/12/2019,"R$ 32,21 M","R$ 21,27 M","R$ 58,92 M","- R$ 597,00 mil","R$ 59,52 M","R$ 50,80 M","R$ 0,73",390
