,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 27,33 B","R$ 3,11 B","R$ 1,17 B","- R$ 473,92 M","R$ 1,65 B","- R$ 548,82 M","- R$ 0,07",2
1,31/03/2024,"R$ 27,98 B","R$ 3,49 B","R$ 1,57 B","- R$ 492,06 M","R$ 2,06 B","- R$ 460,08 M","- R$ 0,06",2
2,31/12/2023,"R$ 27,77 B","R$ 3,04 B","R$ 1,17 B","- R$ 483,37 M","R$ 1,66 B","- R$ 757,93 M","- R$ 0,10",2
3,30/09/2023,"R$ 26,95 B","R$ 6,58 B","R$ 159,61 M","- R$ 2,21 B","R$ 2,37 B","- R$ 1,02 B","- R$ 0,14",2
4,30/06/2023,"R$ 26,39 B","R$ 6,32 B","R$ 165,86 M","- R$ 2,34 B","R$ 2,50 B","- R$ 785,37 M","- R$ 0,10",2
5,31/03/2023,"R$ 25,63 B","R$ 6,21 B","- R$ 29,83 M","- R$ 2,37 B","R$ 2,34 B","- R$ 936,45 M","- R$ 0,13",2
6,31/12/2022,"R$ 23,75 B","R$ 5,66 B","- R$ 155,87 M","- R$ 2,19 B","R$ 2,03 B","- R$ 775,84 M","- R$ 0,11",2
7,30/09/2022,"R$ 19,85 B","R$ 5,00 B","R$ 100,15 M","- R$ 1,79 B","R$ 1,89 B","- R$ 260,55 M","- R$ 0,04",2
8,30/06/2022,"R$ 16,08 B","R$ 4,18 B","R$ 44,17 M","- R$ 1,36 B","R$ 1,40 B","- R$ 251,52 M","- R$ 0,04",2
9,31/03/2022,"R$ 12,40 B","R$ 3,39 B","R$ 259,93 M","- R$ 996,03 M","R$ 1,26 B","R$ 165,64 M","R$ 0,02",2
10,31/12/2021,"R$ 9,88 B","R$ 3,07 B","R$ 543,27 M","- R$ 895,09 M","R$ 1,44 B","R$ 497,80 M","R$ 0,13",2
11,30/09/2021,"R$ 9,56 B","R$ 2,97 B","R$ 561,08 M","- R$ 920,69 M","R$ 1,48 B","R$ 389,39 M","R$ 0,10",2
12,30/06/2021,"R$ 9,13 B","R$ 3,11 B","R$ 838,87 M","- R$ 863,70 M","R$ 1,70 B","R$ 594,97 M","R$ 0,15",2
13,31/03/2021,"R$ 8,80 B","R$ 3,35 B","R$ 1,21 B","- R$ 812,63 M","R$ 2,02 B","R$ 769,22 M","R$ 0,21",2
14,31/12/2020,"R$ 8,55 B","R$ 3,35 B","R$ 1,27 B","- R$ 752,49 M","R$ 2,02 B","R$ 783,46 M","R$ 0,21",2
15,30/09/2020,"R$ 8,07 B","R$ 3,27 B","R$ 1,36 B","- R$ 603,64 M","R$ 1,96 B","R$ 900,93 M","R$ 1,21",2
16,30/06/2020,"R$ 7,26 B","R$ 2,92 B","R$ 1,26 B","- R$ 454,88 M","R$ 1,71 B","R$ 864,60 M","R$ 1,16",2
17,31/03/2020,"R$ 6,46 B","R$ 2,50 B","R$ 1,07 B","- R$ 327,36 M","R$ 1,40 B","R$ 809,10 M","R$ 1,09",2
18,31/12/2019,"R$ 5,63 B","R$ 2,23 B","R$ 1,03 B","- R$ 199,84 M","R$ 1,23 B","R$ 849,83 M","R$ 1,14",2
19,30/09/2019,"R$ 5,06 B","R$ 2,02 B","R$ 987,63 M","- R$ 101,79 M","R$ 1,09 B","R$ 874,95 M","R$ 1,19",2
20,30/06/2019,"R$ 4,91 B","R$ 1,96 B","R$ 935,02 M","- R$ 80,37 M","R$ 1,02 B","R$ 852,42 M","R$ 1,27",2
21,31/03/2019,"R$ 4,74 B","R$ 1,87 B","R$ 869,05 M","- R$ 61,54 M","R$ 930,60 M","R$ 778,97 M","R$ 1,16",2
22,31/12/2018,"R$ 4,58 B","R$ 1,82 B","R$ 870,52 M","- R$ 42,46 M","R$ 912,97 M","R$ 787,47 M","R$ 1,17",2
23,30/09/2018,"R$ 4,41 B","R$ 1,81 B","R$ 871,63 M","- R$ 50,52 M","R$ 922,15 M","R$ 1,20 B","R$ 1,79",2
24,30/06/2018,"R$ 4,23 B","R$ 1,77 B","R$ 872,26 M","- R$ 47,36 M","R$ 919,63 M","R$ 690,91 M","R$ 1,03",2
25,31/03/2018,"R$ 4,05 B","R$ 1,72 B","R$ 865,50 M","- R$ 44,15 M","R$ 909,65 M","R$ 703,31 M","R$ 1,26",2
26,31/12/2017,"R$ 3,85 B","R$ 1,61 B","R$ 783,45 M","- R$ 40,99 M","R$ 824,44 M","R$ 648,77 M","R$ 1,16",2
