,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 39,77 M","R$ 31,60 M","R$ 16,59 M","- R$ 1,12 M","R$ 17,70 M","- R$ 19,45 M","- R$ 0,19",179
1,31/03/2024,"R$ 37,69 M","R$ 30,49 M","R$ 17,64 M","- R$ 1,06 M","R$ 18,69 M","- R$ 16,02 M","- R$ 0,16",179
2,31/12/2023,"R$ 39,04 M","R$ 31,02 M","R$ 359,71 M","- R$ 459,00 mil","R$ 360,17 M","R$ 151,19 M","R$ 1,47",179
3,30/09/2023,"R$ 38,37 M","R$ 30,05 M","R$ 18,57 M","- R$ 476,00 mil","R$ 19,05 M","- R$ 7,10 M","- R$ 0,07",179
4,30/06/2023,"R$ 39,00 M","R$ 32,13 M","R$ 19,73 M","- R$ 562,00 mil","R$ 20,30 M","- R$ 10,77 M","- R$ 0,10",179
5,31/03/2023,"R$ 36,98 M","R$ 31,07 M","R$ 35,64 M","- R$ 480,00 mil","R$ 36,12 M","- R$ 1,50 M","- R$ 0,01",179
6,31/12/2022,"R$ 38,05 M","R$ 32,16 M","R$ 170,95 M","- R$ 305,00 mil","R$ 171,26 M","R$ 72,11 M","R$ 0,70",179
7,30/09/2022,"R$ 34,38 M","R$ 29,92 M","R$ 19,44 M","- R$ 243,00 mil","R$ 19,68 M","R$ 3,86 M","R$ 0,04",179
8,30/06/2022,"R$ 34,30 M","R$ 29,36 M","R$ 19,02 M","- R$ 194,00 mil","R$ 19,21 M","- R$ 7,42 M","- R$ 0,07",179
9,31/03/2022,"R$ 34,13 M","R$ 27,13 M","R$ 15,17 M","- R$ 173,00 mil","R$ 15,34 M","- R$ 5,52 M","- R$ 0,05",179
10,31/12/2021,"R$ 29,92 M","R$ 24,40 M","R$ 284,94 M","- R$ 155,00 mil","R$ 285,09 M","R$ 188,68 M","R$ 1,83",179
11,30/09/2021,"R$ 21,35 M","R$ 18,64 M","R$ 11,64 M","- R$ 166,00 mil","R$ 11,81 M","- R$ 5,02 M","- R$ 0,05",179
12,30/06/2021,"R$ 17,50 M","R$ 14,77 M","R$ 2,39 M","- R$ 157,00 mil","R$ 2,55 M","- R$ 18,19 M","- R$ 0,18",179
13,31/03/2021,"R$ 19,13 M","R$ 16,04 M","R$ 10,57 M","- R$ 144,00 mil","R$ 10,72 M","- R$ 9,31 M","- R$ 0,09",179
14,31/12/2020,"R$ 21,86 M","R$ 17,25 M","R$ 38,63 M","- R$ 134,00 mil","R$ 38,76 M","- R$ 22,93 M","- R$ 0,35",179
15,30/09/2020,"R$ 17,66 M","R$ 15,44 M","R$ 22,28 M","- R$ 135,00 mil","R$ 22,41 M","R$ 5,00 M","R$ 0,03",179
16,30/06/2020,"R$ 18,31 M","R$ 16,73 M","- R$ 11,14 M","- R$ 134,00 mil","- R$ 11,00 M","- R$ 20,80 M","- R$ 0,11",179
17,31/03/2020,"R$ 19,51 M","R$ 15,96 M","R$ 37,67 M","- R$ 118,00 mil","R$ 37,79 M","R$ 17,93 M","R$ 0,09",179
18,31/12/2019,,,,,,,,179
