,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 432,35 M","R$ 25,83 M","- R$ 127,97 M","R$ 374,93 M",79
1,31/03/2024,"R$ 507,38 M","- R$ 92,30 M","- R$ 112,68 M","R$ 384,33 M",79
2,31/12/2023,"R$ 441,62 M","- R$ 86,97 M","- R$ 111,85 M","R$ 262,37 M",79
3,30/09/2023,"R$ 418,32 M","- R$ 54,50 M","- R$ 264,78 M","R$ 148,21 M",79
4,30/06/2023,"R$ 514,50 M","- R$ 102,86 M","- R$ 143,35 M","R$ 280,32 M",79
5,31/03/2023,"R$ 375,21 M","- R$ 241,75 M","- R$ 140,24 M","R$ 3,91 M",79
6,31/12/2022,"R$ 514,58 M","- R$ 32,74 M","- R$ 140,58 M","R$ 325,09 M",79
7,30/09/2022,"R$ 529,75 M","- R$ 501,10 M","R$ 389,99 M","R$ 378,97 M",79
8,30/06/2022,"R$ 207,66 M","- R$ 579,32 M","R$ 245,22 M","- R$ 105,22 M",79
9,31/03/2022,"R$ 345,74 M","- R$ 458,77 M","R$ 85,00 M","- R$ 39,56 M",79
10,31/12/2021,"R$ 47,73 M","- R$ 741,00 M","R$ 518,64 M","- R$ 138,39 M",79
11,30/09/2021,"R$ 53,01 M","- R$ 151,47 M","R$ 154,26 M","R$ 80,35 M",79
12,30/06/2021,"R$ 136,95 M","- R$ 152,71 M","R$ 224,41 M","R$ 207,24 M",79
13,31/03/2021,"R$ 11,22 M","- R$ 182,55 M","R$ 322,20 M","R$ 154,66 M",79
14,31/12/2020,"R$ 238,43 M","R$ 18,73 M","- R$ 99,38 M","R$ 169,68 M",79
15,30/09/2020,"R$ 225,36 M","- R$ 136,66 M","- R$ 103,16 M","- R$ 11,86 M",79
16,30/06/2020,"R$ 194,36 M","- R$ 111,12 M","- R$ 134,91 M","- R$ 42,45 M",79
17,31/03/2020,"R$ 162,46 M","- R$ 90,42 M","- R$ 226,79 M","- R$ 134,16 M",79
18,31/12/2019,"R$ 126,69 M","- R$ 5,73 M","- R$ 213,82 M","- R$ 90,50 M",79
19,30/09/2019,"- R$ 59,79 M","- R$ 380,71 M","R$ 223,58 M","- R$ 254,77 M",79
20,30/06/2019,"- R$ 74,22 M","- R$ 17,23 M","R$ 235,96 M","R$ 20,67 M",79
