,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"- R$ 55,41 M","R$ 41,25 M","- R$ 45,05 M","- R$ 59,21 M"
1,31/03/2024,"- R$ 53,78 M","R$ 75,90 M","- R$ 30,12 M","- R$ 8,00 M"
2,31/12/2023,"- R$ 45,13 M","R$ 99,47 M","- R$ 30,19 M","R$ 24,15 M"
3,30/09/2023,"- R$ 66,95 M","R$ 101,01 M","- R$ 55,33 M","- R$ 21,27 M"
4,30/06/2023,"- R$ 39,48 M","R$ 91,65 M","- R$ 10,95 M","R$ 41,23 M"
5,31/03/2023,"- R$ 30,73 M","R$ 51,77 M","- R$ 16,88 M","R$ 4,17 M"
6,31/12/2022,"- R$ 39,65 M","R$ 28,44 M","- R$ 20,11 M","- R$ 31,32 M"
7,30/09/2022,"- R$ 168,92 M","R$ 34,87 M","R$ 170,15 M","R$ 36,10 M"
8,30/06/2022,"- R$ 226,30 M","R$ 36,88 M","R$ 159,49 M","- R$ 29,93 M"
9,31/03/2022,"- R$ 93,46 M","R$ 19,09 M","R$ 99,47 M","R$ 25,10 M"
10,31/12/2021,"- R$ 80,77 M","R$ 28,56 M","R$ 94,61 M","R$ 42,39 M"
11,30/09/2021,"R$ 46,47 M","R$ 20,75 M","- R$ 52,30 M","R$ 14,92 M"
12,30/06/2021,"R$ 104,43 M","R$ 18,75 M","- R$ 48,44 M","R$ 74,74 M"
13,31/03/2021,"- R$ 16,30 M","R$ 12,72 M","R$ 14,57 M","R$ 10,99 M"
14,31/12/2020,"R$ 4,30 M","- R$ 11,38 M","R$ 15,33 M","R$ 8,25 M"
15,30/09/2020,"R$ 98,07 M","- R$ 13,86 M","- R$ 81,48 M","R$ 2,72 M"
16,30/06/2020,"R$ 75,24 M","- R$ 15,03 M","- R$ 63,78 M","- R$ 3,57 M"
17,31/03/2020,"R$ 3,15 M","- R$ 14,60 M","R$ 10,49 M","- R$ 956,00 mil"
18,31/12/2019,"- R$ 9,56 M","- R$ 2,35 M","R$ 9,38 M","- R$ 2,53 M"
19,30/09/2019,"- R$ 113,02 M","- R$ 379,00 mil","R$ 103,94 M","- R$ 9,46 M"
20,30/06/2019,"- R$ 135,85 M","R$ 58,00 mil","R$ 141,47 M","R$ 5,67 M"
21,31/03/2019,"- R$ 55,86 M","- R$ 976,00 mil","R$ 60,19 M","R$ 3,36 M"
22,31/12/2018,"- R$ 48,76 M","- R$ 811,00 mil","R$ 55,19 M","R$ 5,62 M"
23,30/09/2018,"- R$ 39,48 M","- R$ 917,00 mil","R$ 53,00 M","R$ 12,60 M"
24,30/06/2018,"R$ 10,09 M","- R$ 966,00 mil","- R$ 8,38 M","R$ 753,00 mil"
25,31/03/2018,"R$ 10,48 M","- R$ 952,00 mil","- R$ 10,24 M","- R$ 720,00 mil"
26,31/12/2017,"R$ 8,96 M","R$ 314,00 mil","- R$ 9,55 M","- R$ 273,00 mil"
27,30/09/2017,"R$ 8,44 M","R$ 419,00 mil","- R$ 8,42 M","R$ 442,00 mil"
28,30/06/2017,"R$ 5,14 M","R$ 539,00 mil","- R$ 6,46 M","- R$ 773,00 mil"
29,31/03/2017,"R$ 2,74 M","R$ 487,00 mil","- R$ 5,23 M","- R$ 2,01 M"
30,31/12/2016,"R$ 8,47 M","- R$ 1,35 M","- R$ 9,55 M","- R$ 2,43 M"
31,30/09/2016,"R$ 13,70 M","- R$ 1,74 M","- R$ 15,21 M","- R$ 3,25 M"
32,30/06/2016,"R$ 21,56 M","- R$ 794,00 mil","- R$ 29,41 M","- R$ 8,64 M"
33,31/03/2016,"R$ 19,53 M","R$ 1,28 M","- R$ 21,19 M","- R$ 381,00 mil"
34,31/12/2015,"R$ 11,16 M","R$ 5,64 M","- R$ 18,89 M","- R$ 2,09 M"
35,30/09/2015,"R$ 3,30 M","R$ 8,34 M","- R$ 14,54 M","- R$ 2,90 M"
36,30/06/2015,"- R$ 10,77 M","R$ 9,33 M","R$ 6,02 M","R$ 4,57 M"
37,31/03/2015,"- R$ 13,24 M","R$ 9,11 M","- R$ 3,31 M","- R$ 7,45 M"
38,31/12/2014,"- R$ 15,68 M","R$ 10,45 M","- R$ 5,93 M","- R$ 11,16 M"
39,30/09/2014,"R$ 6,59 M","- R$ 8,78 M","R$ 5,10 M","R$ 2,92 M"
40,30/06/2014,"R$ 16,49 M","- R$ 11,29 M","- R$ 4,28 M","R$ 919,00 mil"
41,31/03/2014,"R$ 16,56 M","- R$ 8,62 M","- R$ 1,16 M","R$ 6,79 M"
42,31/12/2013,"R$ 18,43 M","- R$ 9,56 M","- R$ 164,00 mil","R$ 8,70 M"
43,30/09/2013,"- R$ 2,42 M","R$ 7,00 M","- R$ 9,22 M","- R$ 4,64 M"
44,30/06/2013,"- R$ 9,54 M","R$ 11,31 M","- R$ 2,93 M","- R$ 1,16 M"
45,31/03/2013,"- R$ 11,25 M","R$ 8,77 M","R$ 4,46 M","R$ 1,98 M"
46,31/12/2012,"- R$ 7,81 M","R$ 3,98 M","R$ 5,84 M","R$ 2,00 M"
47,30/09/2012,"- R$ 2,01 M","- R$ 3,67 M","R$ 12,67 M","R$ 6,99 M"
48,30/06/2012,"R$ 5,71 M","- R$ 6,21 M","R$ 2,78 M","R$ 2,29 M"
49,31/03/2012,"R$ 7,20 M","R$ 731,00 mil","- R$ 6,94 M","R$ 995,00 mil"
50,31/12/2011,"R$ 6,18 M","R$ 1,40 M","- R$ 2,70 M","R$ 4,88 M"
51,30/09/2011,"- R$ 759,00 mil","R$ 13,31 M","- R$ 11,67 M","R$ 877,00 mil"
52,30/06/2011,"- R$ 6,80 M","R$ 12,21 M","- R$ 3,50 M","R$ 1,92 M"
53,31/03/2011,"R$ 3,38 M","R$ 7,38 M","- R$ 9,49 M","R$ 1,28 M"
