,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 26,85 M","R$ 15,92 M","R$ 5,11 M","- R$ 2,36 M","R$ 7,47 M","- R$ 15,49 M","- R$ 0,84"
1,31/03/2024,"R$ 43,49 M","R$ 30,75 M","R$ 27,88 M","- R$ 2,34 M","R$ 30,23 M","R$ 12,63 M","R$ 0,69"
2,31/12/2023,"R$ 43,37 M","R$ 29,66 M","R$ 91,99 M","- R$ 2,70 M","R$ 94,68 M","R$ 51,36 M","R$ 2,80"
3,30/09/2023,"R$ 33,51 M","R$ 22,49 M","R$ 9,87 M","- R$ 2,91 M","R$ 12,77 M","R$ 3,21 M","R$ 0,17"
4,30/06/2023,"R$ 27,67 M","R$ 16,46 M","- R$ 16,40 M","- R$ 2,93 M","- R$ 13,48 M","- R$ 16,67 M","- R$ 0,91"
5,31/03/2023,"R$ 43,21 M","R$ 34,84 M","R$ 94,56 M","- R$ 2,49 M","R$ 97,05 M","R$ 85,61 M","R$ 4,66"
6,31/12/2022,"R$ 32,45 M","R$ 21,38 M","R$ 65,42 M","- R$ 2,26 M","R$ 67,69 M","R$ 54,29 M","R$ 2,96"
7,30/09/2022,"R$ 24,90 M","R$ 16,55 M","R$ 26,54 M","- R$ 2,25 M","R$ 28,79 M","R$ 16,80 M","R$ 0,91"
8,30/06/2022,"R$ 20,70 M","R$ 13,93 M","R$ 150,09 M","- R$ 2,25 M","R$ 152,34 M","R$ 148,67 M","R$ 8,09"
9,31/03/2022,"R$ 22,40 M","R$ 15,03 M","- R$ 15,77 M","- R$ 2,26 M","- R$ 13,51 M","- R$ 22,07 M","- R$ 1,20"
10,31/12/2021,"R$ 21,05 M","R$ 13,19 M","- R$ 19,16 M","- R$ 2,39 M","- R$ 16,77 M","- R$ 24,95 M","- R$ 1,36"
11,30/09/2021,"R$ 9,78 M","R$ 5,82 M","R$ 4,19 M","- R$ 2,40 M","R$ 6,59 M","R$ 1,37 M","R$ 0,07"
12,30/06/2021,"R$ 6,52 M","R$ 3,83 M","- R$ 6,03 M","- R$ 2,81 M","- R$ 3,22 M","- R$ 7,55 M","- R$ 0,41"
13,31/03/2021,"R$ 8,78 M","R$ 5,19 M","- R$ 8,34 M","- R$ 2,84 M","- R$ 5,50 M","- R$ 8,82 M","- R$ 0,48"
14,31/12/2020,"R$ 8,10 M","R$ 5,16 M","- R$ 16,52 M","- R$ 2,87 M","- R$ 13,65 M","- R$ 31,43 M","- R$ 1,71"
15,30/09/2020,"R$ 3,41 M","R$ 2,26 M","- R$ 6,07 M","- R$ 2,88 M","- R$ 3,20 M","- R$ 6,51 M","- R$ 0,35"
16,30/06/2020,"R$ 703,00 mil","- R$ 4,98 M","- R$ 26,17 M","- R$ 2,89 M","- R$ 23,29 M","- R$ 29,35 M","- R$ 1,60"
17,31/03/2020,"R$ 23,94 M","R$ 14,94 M","- R$ 19,94 M","- R$ 2,90 M","- R$ 17,04 M","- R$ 23,49 M","- R$ 1,28"
18,31/12/2019,"R$ 25,92 M","R$ 17,18 M","- R$ 101,56 M","- R$ 2,82 M","- R$ 98,74 M","- R$ 112,60 M","- R$ 6,13"
19,30/09/2019,"R$ 20,68 M","R$ 13,09 M","- R$ 2,43 M","- R$ 2,82 M","R$ 389,00 mil","- R$ 11,95 M","- R$ 0,65"
20,30/06/2019,"R$ 18,60 M","R$ 11,34 M","- R$ 5,27 M","- R$ 2,84 M","- R$ 2,43 M","- R$ 8,98 M","- R$ 0,49"
21,31/03/2019,"R$ 25,77 M","R$ 18,16 M","R$ 2,64 M","- R$ 2,84 M","R$ 5,48 M","- R$ 3,10 M","- R$ 0,17"
22,31/12/2018,"- R$ 8,26 M","- R$ 76,00 mil","- R$ 23,52 M","- R$ 2,89 M","- R$ 20,63 M","- R$ 38,90 M","- R$ 2,12"
23,30/09/2018,"R$ 27,94 M","R$ 15,30 M","- R$ 4,84 M","- R$ 2,92 M","- R$ 1,45 M","- R$ 21,30 M","- R$ 1,16"
24,30/06/2018,"R$ 23,64 M","R$ 11,11 M","- R$ 10,15 M","- R$ 2,93 M","- R$ 7,22 M","- R$ 18,53 M","- R$ 1,01"
25,31/03/2018,"R$ 36,42 M","R$ 23,16 M","R$ 2,35 M","- R$ 2,91 M","R$ 5,27 M","- R$ 15,75 M","- R$ 0,86"
26,31/12/2017,"R$ 31,56 M","R$ 17,53 M","- R$ 7,51 M","- R$ 2,92 M","- R$ 4,58 M","- R$ 13,58 M","- R$ 0,74"
27,30/09/2017,"R$ 26,47 M","R$ 14,37 M","- R$ 6,50 M","- R$ 2,93 M","- R$ 3,58 M","- R$ 12,28 M","- R$ 0,67"
28,30/06/2017,"R$ 24,42 M","R$ 13,23 M","- R$ 6,98 M","- R$ 2,92 M","- R$ 4,06 M","- R$ 13,24 M","- R$ 0,72"
29,31/03/2017,"R$ 35,00 M","R$ 22,40 M","R$ 5,38 M","- R$ 2,91 M","R$ 8,29 M","- R$ 1,02 M","- R$ 0,06"
30,31/12/2016,"R$ 32,25 M","R$ 19,30 M","R$ 18,30 M","- R$ 2,93 M","R$ 21,23 M","R$ 5,24 M","R$ 0,29"
31,30/09/2016,"R$ 45,31 M","R$ 33,02 M","R$ 13,26 M","- R$ 2,85 M","R$ 16,10 M","R$ 4,24 M","R$ 0,23"
32,30/06/2016,"R$ 27,34 M","R$ 16,17 M","- R$ 5,86 M","- R$ 2,82 M","- R$ 3,03 M","- R$ 10,37 M","- R$ 0,56"
33,31/03/2016,"R$ 38,78 M","R$ 26,47 M","R$ 2,28 M","- R$ 2,80 M","R$ 5,08 M","- R$ 3,33 M","- R$ 0,18"
34,31/12/2015,"R$ 38,83 M","R$ 25,57 M","- R$ 3,85 M","- R$ 2,73 M","- R$ 1,11 M","- R$ 14,00 M","- R$ 0,76"
35,30/09/2015,"R$ 34,88 M","R$ 23,03 M","R$ 1,90 M","- R$ 2,71 M","R$ 4,61 M","- R$ 4,83 M","- R$ 0,26"
36,30/06/2015,"R$ 31,36 M","R$ 19,42 M","- R$ 4,18 M","- R$ 2,69 M","- R$ 1,49 M","- R$ 6,57 M","- R$ 0,04"
37,31/03/2015,"R$ 39,66 M","R$ 27,57 M","R$ 6,80 M","- R$ 2,68 M","R$ 9,48 M","R$ 1,58 M","R$ 0,01"
38,31/12/2014,"R$ 33,24 M","R$ 21,67 M","- R$ 5,04 M","- R$ 2,66 M","- R$ 2,39 M","- R$ 11,48 M","- R$ 0,06"
39,30/09/2014,"R$ 46,65 M","R$ 33,28 M","R$ 9,52 M","- R$ 2,61 M","R$ 10,84 M","- R$ 137,00 mil","- R$ 0,00"
40,30/06/2014,"R$ 48,04 M","R$ 34,64 M","R$ 11,46 M","- R$ 2,56 M","R$ 14,02 M","R$ 7,48 M","R$ 0,04"
41,31/03/2014,"R$ 45,68 M","R$ 32,42 M","R$ 9,79 M","- R$ 2,54 M","R$ 12,32 M","R$ 3,30 M","R$ 0,02"
42,31/12/2013,"R$ 46,96 M","R$ 32,36 M","R$ 78,95 M","- R$ 505,00 mil","R$ 79,46 M","R$ 97,11 M","R$ 0,53"
43,30/09/2013,"R$ 43,03 M","R$ 29,98 M","R$ 7,85 M","- R$ 9,22 M","R$ 17,07 M","R$ 5,74 M","R$ 0,03"
44,30/06/2013,"R$ 39,99 M","R$ 27,99 M","R$ 23,55 M","R$ 2,99 M","R$ 20,56 M","R$ 11,11 M","R$ 0,06"
45,31/03/2013,"R$ 44,25 M","R$ 32,00 M","R$ 6,99 M","- R$ 2,99 M","R$ 9,98 M","- R$ 1,77 M","- R$ 0,01"
46,31/12/2012,"R$ 41,42 M","R$ 29,58 M","- R$ 4,06 M","- R$ 3,00 M","- R$ 1,05 M","- R$ 15,12 M","- R$ 0,08"
47,30/09/2012,"R$ 37,10 M","R$ 25,97 M","R$ 1,72 M","- R$ 3,09 M","R$ 4,80 M","- R$ 607,00 mil","- R$ 0,00"
48,30/06/2012,"R$ 37,04 M","R$ 26,14 M","R$ 3,83 M","- R$ 2,95 M","R$ 6,79 M","- R$ 6,09 M","- R$ 0,03"
49,31/03/2012,"R$ 37,11 M","R$ 26,11 M","- R$ 1,94 M","- R$ 2,93 M","R$ 986,00 mil","- R$ 6,08 M","- R$ 0,03"
50,31/12/2011,"R$ 36,03 M","R$ 16,19 M","- R$ 45,45 M","- R$ 3,48 M","- R$ 41,97 M","- R$ 45,46 M","- R$ 0,25"
51,30/09/2011,"R$ 32,08 M","R$ 29,79 M","R$ 2,32 M","- R$ 3,07 M","R$ 5,28 M","- R$ 1,54 M","- R$ 0,01"
52,30/06/2011,"R$ 29,78 M","R$ 19,69 M","R$ 4,15 M","- R$ 2,29 M","R$ 6,44 M","R$ 1,40 M","R$ 0,01"
53,31/03/2011,"R$ 32,34 M","R$ 22,61 M","R$ 3,55 M","- R$ 2,99 M","R$ 6,54 M","- R$ 2,06 M","- R$ 0,01"
54,31/12/2010,"R$ 31,07 M","R$ 20,78 M","R$ 4,35 M",NA,NA,"- R$ 2,95 M","- R$ 0,02"
