,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"- R$ 17,73 M","R$ 76,71 M","- R$ 56,66 M","R$ 2,31 M"
1,31/03/2024,"- R$ 22,05 M","R$ 77,27 M","- R$ 50,95 M","R$ 4,27 M"
2,31/12/2023,"- R$ 39,79 M","R$ 78,63 M","- R$ 42,19 M","- R$ 3,36 M"
3,30/09/2023,"R$ 40,99 M","- R$ 6,42 M","- R$ 30,14 M","R$ 4,42 M"
4,30/06/2023,"R$ 11,54 M","- R$ 6,31 M","- R$ 229,00 mil","R$ 5,00 M"
5,31/03/2023,"R$ 14,32 M","- R$ 6,91 M","- R$ 225,00 mil","R$ 7,18 M"
6,31/12/2022,"R$ 9,11 M","- R$ 5,95 M","- R$ 381,00 mil","R$ 2,78 M"
7,30/09/2022,"- R$ 42,38 M","R$ 46,37 M","- R$ 412,00 mil","R$ 3,58 M"
8,30/06/2022,"- R$ 44,47 M","R$ 48,16 M","R$ 838,00 mil","R$ 4,53 M"
9,31/03/2022,"- R$ 44,95 M","R$ 50,49 M","R$ 365,00 mil","R$ 5,91 M"
10,31/12/2021,"- R$ 45,72 M","R$ 51,22 M","- R$ 121,00 mil","R$ 5,38 M"
11,30/09/2021,"- R$ 1,28 M","R$ 657,00 mil","R$ 157,00 mil","- R$ 465,00 mil"
12,30/06/2021,"- R$ 520,00 mil","R$ 901,00 mil","- R$ 1,50 M","- R$ 1,12 M"
13,31/03/2021,"- R$ 15,80 M","R$ 13,30 M","- R$ 985,00 mil","- R$ 3,48 M"
14,31/12/2020,"- R$ 11,82 M","R$ 11,70 M","- R$ 1,01 M","- R$ 1,13 M"
15,30/09/2020,"- R$ 6,54 M","R$ 11,01 M","- R$ 1,11 M","R$ 3,36 M"
16,30/06/2020,"- R$ 6,72 M","R$ 10,73 M","- R$ 1,48 M","R$ 2,53 M"
17,31/03/2020,"R$ 9,46 M","- R$ 2,81 M","- R$ 2,37 M","R$ 4,28 M"
18,31/12/2019,"R$ 6,90 M","- R$ 1,35 M","- R$ 3,39 M","R$ 2,16 M"
19,30/09/2019,"- R$ 2,65 M","R$ 5,75 M","- R$ 2,34 M","R$ 764,00 mil"
