,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 1,60 B","- R$ 3,58 M","- R$ 0,01",637.483.368,0,0,637.483.368,0,0,0,0,637.483.368,0,637.483.368,61
1,31/03/2024,"R$ 3,20 B","R$ 1,54 B","R$ 2,41",637.483.368,0,0,637.483.368,0,0,0,0,637.483.368,0,637.483.368,61
2,31/12/2023,"R$ 3,44 B","R$ 1,62 B","R$ 2,54",637.335.513,0,0,637.335.513,0,0,0,0,637.335.513,0,637.335.513,61
3,30/09/2023,"R$ 3,21 B","R$ 1,37 B","R$ 3,53",387.335.513,0,0,387.335.513,0,0,0,0,387.335.513,0,387.335.513,61
4,30/06/2023,"R$ 3,31 B","R$ 1,42 B","R$ 3,66",387.335.513,0,0,387.335.513,0,0,0,0,387.335.513,0,387.335.513,61
5,31/03/2023,"R$ 3,20 B","R$ 1,37 B","R$ 3,74",365.529.734,0,0,365.529.734,0,0,0,0,365.529.734,0,365.529.734,61
6,31/12/2022,"R$ 3,21 B","R$ 1,44 B","R$ 3,95",365.529.734,0,0,365.529.734,0,0,0,0,365.529.734,0,365.529.734,61
7,30/09/2022,"R$ 3,33 B","R$ 1,52 B","R$ 5,38",281.938.552,0,0,281.938.552,0,0,0,0,281.938.552,0,281.938.552,61
8,30/06/2022,"R$ 3,07 B","R$ 1,18 B","R$ 4,20",281.938.552,0,0,281.938.552,0,0,0,0,281.938.552,0,281.938.552,61
9,31/03/2022,"R$ 2,93 B","R$ 1,24 B","R$ 4,40",281.636.472,0,0,281.636.472,0,0,0,0,281.636.472,0,281.636.472,61
10,31/12/2021,"R$ 2,76 B","R$ 1,29 B","R$ 4,62",278.256.540,0,0,278.256.540,0,0,0,0,278.256.540,0,278.256.540,61
11,30/09/2021,"R$ 1,50 B","R$ 921,55 M","R$ 3,78",243.958.681,0,0,243.958.681,0,0,0,0,243.958.681,0,243.958.681,61
12,30/06/2021,"R$ 1,36 B","R$ 921,91 M","R$ 3,85",239.684.976,0,0,239.684.976,0,0,0,0,239.684.976,0,239.684.976,61
13,31/03/2021,"R$ 576,78 M","R$ 79,09 M","R$ 0,43",183.285.726,0,0,183.285.726,0,0,0,0,183.285.726,0,183.285.726,61
14,31/12/2020,"R$ 420,90 M","R$ 59,03 M","R$ 0,27",220.861.983,0,0,220.861.983,0,0,0,0,220.861.983,0,220.861.983,61
