,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 1,10 B","- R$ 1,28 B","- R$ 0,03",31.978.720.000,12.627.232.000,12.627.232.000,44.605.952.000,0,0,0,0,31.978.720.000,12.627.232.000,44.605.952.000
1,31/03/2024,"R$ 1,16 B","- R$ 1,18 B","- R$ 0,03",31.685.622.000,12.627.232.000,12.627.232.000,44.312.854.000,0,0,0,0,31.685.622.000,12.627.232.000,44.312.854.000
2,31/12/2023,"R$ 1,17 B","- R$ 1,12 B","- R$ 25,38",31.685.000,12.627.000,12.627.000,44.312.000,0,0,0,0,31.685.000,12.627.000,44.312.000
3,30/09/2023,"R$ 1,24 B","- R$ 1,81 B","- R$ 41,59",30.800.000,12.627.000,12.627.000,43.427.000,0,0,0,0,30.800.000,12.627.000,43.427.000
4,30/06/2023,"R$ 1,29 B","- R$ 1,78 B","- R$ 48,43",24.059.000,12.627.000,12.627.000,36.686.000,0,0,0,0,24.059.000,12.627.000,36.686.000
5,31/03/2023,"R$ 1,32 B","- R$ 1,69 B","- R$ 9,21",120.295.000,63.136.000,63.136.000,183.431.000,0,0,0,0,120.295.000,63.136.000,183.431.000
6,31/12/2022,"R$ 1,32 B","- R$ 1,62 B","- R$ 8,85",119.917.000,63.136.000,63.136.000,183.053.000,0,0,0,0,119.917.000,63.136.000,183.053.000
7,30/09/2022,"R$ 1,33 B","- R$ 1,44 B","- R$ 7,97",118.002.000,63.136.000,63.136.000,181.138.000,0,0,0,0,118.002.000,63.136.000,181.138.000
8,30/06/2022,"R$ 1,36 B","- R$ 1,38 B","- R$ 0,01",114.429.660.000,63.136.160.000,63.136.160.000,177.565.820.000,0,0,0,0,114.429.660.000,63.136.160.000,177.565.820.000
9,31/03/2022,"R$ 1,50 B","- R$ 1,31 B","- R$ 7,55",110.978.000,63.136.000,63.136.000,174.114.000,0,0,0,0,110.978.000,63.136.000,174.114.000
10,31/12/2021,"R$ 1,51 B","- R$ 1,26 B","- R$ 7,56",103.546.000,63.136.000,63.136.000,166.682.000,0,0,0,0,103.546.000,63.136.000,166.682.000
