,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 9,32 M","- R$ 61,12 M","- R$ 63,36 M","- R$ 115,16 M",159
1,31/03/2024,"R$ 212,34 M","- R$ 45,21 M","- R$ 105,55 M","R$ 61,59 M",159
2,31/12/2023,"R$ 246,85 M","- R$ 65,26 M","- R$ 76,89 M","R$ 104,70 M",159
3,30/09/2023,"R$ 121,82 M","- R$ 51,93 M","- R$ 186,36 M","- R$ 116,47 M",159
4,30/06/2023,"R$ 94,27 M","- R$ 47,62 M","- R$ 98,09 M","- R$ 51,45 M",159
5,31/03/2023,"R$ 85,95 M","- R$ 49,56 M","- R$ 226,82 M","- R$ 190,44 M",159
6,31/12/2022,"R$ 309,18 M","- R$ 69,05 M","R$ 413,65 M","R$ 653,77 M",159
7,30/09/2022,"R$ 252,45 M","- R$ 41,33 M","R$ 37,73 M","R$ 248,86 M",159
8,30/06/2022,"R$ 197,94 M","- R$ 121,27 M","- R$ 85,41 M","- R$ 8,74 M",159
9,31/03/2022,"- R$ 133,55 M","- R$ 43,39 M","- R$ 100,99 M","- R$ 277,92 M",159
10,31/12/2021,"- R$ 4,08 M","- R$ 43,25 M","R$ 40,44 M","- R$ 6,89 M",159
11,30/09/2021,"R$ 164,91 M","- R$ 50,83 M","- R$ 93,76 M","R$ 20,32 M",159
12,30/06/2021,"- R$ 36,56 M","- R$ 117,72 M","- R$ 47,75 M","- R$ 202,03 M",159
13,31/03/2021,"- R$ 166,39 M","- R$ 24,74 M","R$ 567,61 M","R$ 376,47 M",159
14,31/12/2020,"R$ 26,29 M","- R$ 2,11 M","R$ 109,80 M","R$ 133,98 M",159
15,30/09/2020,"R$ 139,82 M","- R$ 9,37 M","- R$ 129,69 M","R$ 769,00 mil",159
16,30/06/2020,"R$ 31,18 M","- R$ 13,36 M","R$ 110,15 M","R$ 127,98 M",159
17,31/03/2020,"R$ 41,04 M","- R$ 28,17 M","R$ 75,76 M","R$ 88,63 M",159
18,31/12/2019,,,,,159
