,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 695,28 M","- R$ 88,20 M","- R$ 554,62 M","R$ 61,36 M"
1,31/03/2024,"R$ 480,83 M","- R$ 86,20 M","- R$ 374,63 M","R$ 7,09 M"
2,31/12/2023,"R$ 490,81 M","- R$ 88,36 M","- R$ 374,13 M","R$ 2,54 M"
3,30/09/2023,"R$ 479,23 M","- R$ 702,93 M","- R$ 1,71 B","- R$ 663,31 M"
4,30/06/2023,"- R$ 1,28 B","- R$ 1,20 B","- R$ 1,65 B","- R$ 60,57 M"
5,31/03/2023,"- R$ 630,73 M","- R$ 641,63 M","- R$ 630,60 M","- R$ 630,46 M"
6,31/12/2022,"- R$ 550,48 M","- R$ 609,27 M","R$ 1,16 B","- R$ 20,98 M"
7,30/09/2022,"- R$ 686,50 M","- R$ 470,78 M","R$ 1,17 B","- R$ 617,00 mil"
8,30/06/2022,"R$ 488,83 M","- R$ 436,58 M","- R$ 24,49 M","R$ 24,23 M"
9,31/03/2022,"R$ 820,53 M","- R$ 800,59 M","- R$ 22,69 M","- R$ 16,05 M"
10,31/12/2021,"- R$ 129,86 M","R$ 161,14 M","- R$ 25,92 M","R$ 24,21 M"
11,30/09/2021,"- R$ 1,07 B","R$ 304,92 M","R$ 790,71 M","R$ 30,66 M"
12,30/06/2021,"- R$ 2,00 B","- R$ 1,11 B","R$ 3,08 B","- R$ 103,34 M"
13,31/03/2021,"- R$ 2,57 B","- R$ 479,84 M","R$ 3,08 B","- R$ 51,85 M"
14,31/12/2020,"- R$ 1,49 B","- R$ 1,27 B","R$ 2,81 B","- R$ 21,30 M"
15,30/09/2020,"- R$ 626,72 M","- R$ 1,12 B","R$ 1,80 B","- R$ 25,99 M"
16,30/06/2020,"- R$ 198,72 M","R$ 768,43 M","- R$ 469,21 M","R$ 116,33 M"
17,31/03/2020,"R$ 29,85 M","R$ 1,20 B","- R$ 1,20 B","R$ 74,24 M"
18,31/12/2019,"R$ 940,32 M","- R$ 78,88 M","- R$ 925,42 M","- R$ 7,27 M"
19,30/09/2019,"R$ 1,61 B","- R$ 699,54 M","- R$ 907,81 M","R$ 28,90 M"
20,30/06/2019,"R$ 1,64 B","- R$ 772,76 M","- R$ 907,81 M","- R$ 30,40 M"
21,31/03/2019,"R$ 783,13 M","- R$ 144,22 M","- R$ 684,26 M","R$ 3,93 M"
22,31/12/2018,"- R$ 557,28 M","R$ 1,23 B","- R$ 684,26 M","R$ 17,36 M"
23,30/09/2018,"- R$ 781,34 M","R$ 1,47 B","- R$ 739,34 M","R$ 12,59 M"
24,30/06/2018,"- R$ 772,89 M","R$ 1,48 B","- R$ 739,34 M","R$ 21,81 M"
25,31/03/2018,"R$ 52,64 M","R$ 332,16 M","- R$ 652,12 M","- R$ 266,17 M"
26,31/12/2017,"- R$ 255,57 M","R$ 771,53 M","- R$ 699,31 M","- R$ 191,80 M"
27,30/09/2017,"- R$ 368,15 M","R$ 757,66 M","- R$ 549,36 M","- R$ 184,72 M"
28,30/06/2017,"- R$ 480,21 M","R$ 976,14 M","- R$ 636,06 M","- R$ 159,85 M"
29,31/03/2017,"- R$ 521,80 M","R$ 1,07 B","- R$ 238,01 M","R$ 280,86 M"
30,31/12/2016,"R$ 156,19 M","R$ 757,33 M","- R$ 680,89 M","R$ 199,30 M"
