,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 7,22 B","R$ 2,07 B","R$ 6,83",303.541.864,0,0,303.541.864,1.994.200,0,0,1.994.200,301.547.664,0,301.547.664,167
1,31/03/2024,"R$ 6,70 B","R$ 2,07 B","R$ 6,84",303.541.864,0,0,303.541.864,1.994.200,0,0,1.994.200,301.547.664,0,301.547.664,167
2,31/12/2023,"R$ 6,74 B","R$ 2,07 B","R$ 6,83",303.541.864,0,0,303.541.864,1.994.200,0,0,1.994.200,301.547.664,0,301.547.664,167
3,30/09/2023,"R$ 6,55 B","R$ 2,00 B","R$ 6,58",303.541.864,0,0,303.541.864,1.994.200,0,0,1.994.200,301.547.664,0,301.547.664,167
4,30/06/2023,"R$ 6,30 B","R$ 1,99 B","R$ 6,74",294.697.091,0,0,294.697.091,1.994.200,0,0,1.994.200,292.702.891,0,292.702.891,167
5,31/03/2023,"R$ 6,12 B","R$ 1,94 B","R$ 6,57",294.697.091,0,0,294.697.091,1.994.200,0,0,1.994.200,292.702.891,0,292.702.891,167
6,31/12/2022,"R$ 5,89 B","R$ 2,13 B","R$ 7,21",294.697.091,0,0,294.697.091,1.625.200,0,0,1.625.200,293.071.891,0,293.071.891,167
7,30/09/2022,"R$ 5,30 B","R$ 1,68 B","R$ 5,69",294.697.091,0,0,294.697.091,1.350.200,0,0,1.350.200,293.346.891,0,293.346.891,167
8,30/06/2022,"R$ 4,70 B","R$ 1,51 B","R$ 5,12",294.697.091,0,0,294.697.091,0,0,0,0,294.697.091,0,294.697.091,167
9,31/03/2022,"R$ 4,25 B","R$ 1,39 B","R$ 4,71",294.697.091,0,0,294.697.091,0,0,0,0,294.697.091,0,294.697.091,167
10,31/12/2021,"R$ 3,77 B","R$ 1,33 B","R$ 4,51",294.697.091,0,0,294.697.091,0,0,0,0,294.697.091,0,294.697.091,167
11,30/09/2021,"R$ 3,56 B","R$ 1,21 B","R$ 4,09",294.697.091,0,0,294.697.091,0,0,0,0,294.697.091,0,294.697.091,167
12,30/06/2021,"R$ 3,54 B","R$ 1,25 B","R$ 4,24",294.697.091,0,0,294.697.091,0,0,0,0,294.697.091,0,294.697.091,167
13,31/03/2021,"R$ 3,46 B","R$ 1,14 B","R$ 3,85",294.697.091,0,0,294.697.091,0,0,0,0,294.697.091,0,294.697.091,167
14,31/12/2020,"R$ 2,81 B","R$ 555,77 M","R$ 2,44",228.099.500,0,0,228.099.500,0,0,0,0,228.099.500,0,228.099.500,167
15,30/09/2020,"R$ 3,02 B","R$ 631,35 M","R$ 1,38 mil",456.199,0,0,456.199,0,0,0,0,456.199,0,456.199,167
16,30/06/2020,"R$ 2,70 B","R$ 565,74 M","R$ 1,24 mil",456.199,0,0,456.199,0,0,0,0,456.199,0,456.199,167
17,31/03/2020,"R$ 2,54 B","R$ 601,16 M","R$ 1,32 mil",456.199,0,0,456.199,0,0,0,0,456.199,0,456.199,167
