,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"53,41","0,86","0,95","2,18","6,70","0,25","3,90","0,99","10,74","3,33","-0,53","2,62","18,42","0,68","R$ 1,78 B","1,16%"
1,30/06/2024,"62,99","1,01","1,12","2,57","7,90","0,29","4,60","1,16","11,44","3,55","-0,63","2,79","19,62","0,72","R$ 2,09 B","0,98%"
2,31/03/2024,"23,89","0,98","1,07","2,92","10,70","0,30","5,42","1,47","13,34","3,57","-0,63","2,62","26,31","0,75","R$ 2,03 B","6,61%"
3,31/12/2023,"101,45","1,06","1,32","4,68","72,89","0,33","9,35","1,18","21,76","5,43","-0,79","3,06","169,65","0,76","R$ 2,21 B","6,09%"
4,30/09/2023,"6,49","1,29","1,52","5,24","46,04","0,39","3,05","1,54","6,32","3,52","-0,89","3,16","95,46","0,81","R$ 2,57 B","5,22%"
5,30/06/2023,"3,77","1,18","1,37","4,59","19,01","0,37","2,87","1,79","6,09","3,39","-0,78","2,90","40,29","0,79","R$ 2,34 B","5,57%"
6,31/03/2023,"3,43","1,23","1,39","3,84","11,16","0,39","2,43","1,95","4,84","3,05","-0,80","2,77","22,21","0,77","R$ 2,38 B","2,21%"
7,31/12/2022,"2,56","1,04","1,22","2,96","5,74","0,37","2,29","1,62","4,49","2,78","-0,92","2,38","11,23","0,73","R$ 2,20 B","2,38%"
8,30/09/2022,"3,44","1,19","1,20","3,28","7,04","0,38","2,82","1,02","4,52","2,70","-1,19","1,92","11,30","0,60","R$ 2,00 B","4,92%"
9,30/06/2022,"5,83","1,52","1,51","3,86","8,43","0,49","3,03","1,71","4,67","3,03","-1,23","2,32","12,96","0,75","R$ 2,29 B","4,29%"
10,31/03/2022,"6,97","1,95","1,86","4,18","7,83","0,64","3,59","2,14","4,81","3,15","-1,69","2,50","10,48","0,85","R$ 2,70 B","3,20%"
11,31/12/2021,"8,39","2,19","2,09","4,46","7,07","0,77","3,27","2,64","4,27","2,94","-2,16","2,73","9,24","1,01","R$ 2,90 B","2,98%"
12,30/09/2021,"13,20","2,49","2,31","4,93","6,86","0,84","3,98","2,61","4,87","3,19","-2,49","2,83","8,38","1,03","R$ 3,00 B","1,36%"
13,30/06/2021,"8,73","2,12","2,10","4,13","5,42","0,75","3,75","2,30","4,73","2,99","-2,31","2,65","6,85","0,94","R$ 2,65 B","1,54%"
14,31/03/2021,"16,22","2,43","2,55","5,42","7,54","0,80","5,32","2,55","6,73","3,90","-2,23","3,22","9,54","1,01","R$ 2,76 B","0,00%"
15,31/12/2020,"19,04","3,44","1,98","4,76","7,18","0,68","4,86","3,10","8,13","4,42","-1,17","3,30","11,99","1,14","R$ 1,91 B","0,00%"
16,30/09/2020,"0,04","0,01","0,00","0,01","0,01","0,00","0,01","0,01","3,53","1,77","0,00","1,28","3,92","0,42","R$ 4,12 M","0,00%"
17,30/06/2020,"0,09","0,01","0,00","0,01","0,01","0,00","0,02","0,01","5,59","2,35","0,00","1,52","4,62","0,51","R$ 4,12 M","0,00%"
18,31/03/2020,"0,05","0,01","0,00","0,01","0,01","0,00","0,02","0,01","5,47","2,31","0,00","1,51","4,47","0,53","R$ 4,12 M","0,00%"
