,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"5,38","0,60","1,97","31,54","-23,99","0,26","2,99","1,53","5,99","5,63","-0,64","3,95","-47,98","0,52","R$ 3,08 B","7,48%"
1,30/06/2024,"5,00","0,56","1,83","29,32","-22,30","0,24","2,78","1,42","5,78","5,43","-0,59","3,81","-46,29","0,50","R$ 2,87 B","6,90%"
2,31/03/2024,"5,51","0,58","1,82","-63,54","-10,76","0,24","2,89","1,36","5,99","5,70","-0,58","3,79","-22,35","0,49","R$ 2,85 B","9,11%"
3,31/12/2023,"6,46","0,61","1,83","24,37","-25,32","0,26","3,17","2,00","6,37","6,03","-0,61","3,68","-50,86","0,53","R$ 2,92 B","8,58%"
4,30/09/2023,"8,99","0,64","2,14","126,90","-9,04","0,30","4,53","1,62","8,39","7,75","-0,87","3,98","-16,76","0,56","R$ 3,23 B","9,86%"
5,30/06/2023,"7,95","0,67","2,02","-33,35","-5,47","0,32","4,48","1,48","8,09","7,51","-1,01","3,64","-9,87","0,57","R$ 3,38 B","7,64%"
6,31/03/2023,"4,83","0,52","1,44","-17,34","-3,94","0,25","3,01","1,06","6,23","5,79","-0,84","2,97","-8,15","0,51","R$ 2,58 B","6,31%"
7,31/12/2022,"4,26","0,54","1,39","-12,25","-3,39","0,26","2,95","1,06","6,08","5,70","-0,89","2,85","-6,99","0,53","R$ 2,64 B","4,95%"
8,30/09/2022,"5,18","0,84","2,11","28,56","-9,66","0,43","4,34","1,94","7,04","6,65","-1,55","3,42","-15,68","0,69","R$ 4,18 B","2,62%"
9,30/06/2022,"5,18","0,94","2,33","32,54","-12,23","0,48","4,60","2,26","6,66","6,30","-1,70","3,38","-17,71","0,69","R$ 4,52 B","5,17%"
10,31/03/2022,"4,74","1,01","2,22","15,39","-22,80","0,54","4,13","3,87","5,78","5,52","-1,67","3,11","-31,89","0,76","R$ 4,63 B","5,10%"
