,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"7,16%","8,77%","10,84%","13,29%","11,39%","5,38%","61,32%","36,69%","65,93%","70,13%","0,15","2,34","1,34","2,81"
1,31/03/2024,"6,94%","8,42%","10,51%","12,76%","10,38%","4,94%","59,25%","33,10%","63,21%","66,52%","0,15","2,41","1,41","2,95"
2,31/12/2023,"6,55%","7,91%","9,92%","11,98%","9,25%","4,38%","59,13%","28,40%","57,79%","61,08%","0,15","2,30","1,30","3,03"
3,30/09/2023,"5,22%","6,21%","7,91%","9,41%","7,22%","3,66%","53,40%","23,84%","47,37%","51,32%","0,15","2,13","1,13","3,57"
4,30/06/2023,"6,02%","7,26%","9,11%","11,00%","8,80%","4,48%","55,96%","25,35%","44,96%","48,46%","0,18","2,12","1,12","3,35"
5,31/03/2023,"7,34%","8,78%","11,12%","13,30%","11,63%","6,24%","57,79%","29,80%","47,75%","51,36%","0,21","2,10","1,10","2,99"
6,31/12/2022,"8,08%","9,78%","12,24%","14,82%","13,86%","7,36%","59,65%","32,54%","46,91%","50,09%","0,23","2,11","1,11","2,93"
7,30/09/2022,"8,99%","10,50%","13,61%","15,92%","18,14%","10,02%","62,96%","40,71%","48,61%","51,48%","0,25","1,97","0,97","2,55"
8,30/06/2022,"9,80%","11,88%","14,85%","18,00%","20,48%","10,87%","64,27%","45,10%","50,73%","53,60%","0,24","1,97","0,97","1,95"
9,31/03/2022,"12,07%","14,90%","18,28%","22,58%","24,87%","12,84%","67,38%","46,94%","53,79%","56,31%","0,27","1,86","0,86","1,57"
10,31/12/2021,"12,25%","15,20%","18,56%","23,03%","26,77%","13,78%","69,44%","49,99%","55,47%","58,32%","0,28","1,88","0,88","1,33"
11,30/09/2021,"11,44%","14,67%","17,33%","22,23%","24,07%","13,08%","70,88%","47,92%","55,69%","58,30%","0,27","1,81","0,81","1,43"
12,30/06/2021,"12,15%","16,19%","18,40%","24,53%","27,28%","13,92%","73,03%","49,22%","57,67%","59,95%","0,28","1,88","0,88","1,11"
13,31/03/2021,"12,10%","16,20%","18,34%","24,55%","27,30%","13,94%","72,96%","58,88%","69,99%","72,49%","0,24","1,94","0,94","1,02"
14,31/12/2020,"10,36%","13,69%","15,69%","20,75%","21,36%","11,03%","69,23%","54,99%","69,73%","71,91%","0,20","1,94","0,94","1,29"
15,30/09/2020,"13,19%","18,08%","19,99%","27,39%","28,85%","13,40%","65,12%","69,21%","95,65%","98,35%","0,19","1,84","0,84","1,04"
16,30/06/2020,"12,76%","17,37%","19,34%","26,31%","25,88%","11,94%","56,85%","73,34%","108,42%","111,78%","0,16","1,96","0,96","1,11"
17,31/03/2020,"10,00%","12,42%","15,16%","18,82%","15,14%","7,21%","49,43%","49,86%","89,60%","93,48%","0,14","1,96","0,96","1,52"
18,31/12/2019,"9,77%","11,94%","14,80%","18,09%","14,46%","6,69%","48,75%","50,60%","95,95%","99,83%","0,13","1,94","0,94","1,45"
19,30/09/2019,"7,75%","9,17%","11,74%","13,89%","8,24%","3,92%","47,93%","31,28%","86,56%","89,95%","0,13","2,15","1,15","2,00"
20,30/06/2019,"6,49%","7,87%","9,83%","11,93%","9,94%","4,57%","49,54%","38,83%","77,17%","80,40%","0,12","2,17","1,17","2,35"
21,31/03/2019,"5,91%","7,13%","8,95%","10,81%","9,41%","4,43%","49,06%","38,17%","71,69%","74,55%","0,12","2,10","1,10","2,56"
22,31/12/2018,"5,24%","6,28%","7,94%","9,52%","8,59%","4,08%","50,19%","37,54%","67,65%","70,44%","0,11","2,16","1,16","3,36"
23,30/09/2018,"3,06%","3,68%","4,64%","5,57%","6,38%","3,07%","47,09%","31,68%","44,42%","47,18%","0,10","2,10","1,10","6,99"
24,30/06/2018,"2,39%","2,87%","3,62%","4,35%","-0,47%","-0,23%","42,32%","-2,71%","39,76%","43,26%","0,08","2,18","1,18","8,48"
