,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"7,14","0,37","0,10","1,51","1,59","0,10","1,44","0,23","9,01","8,25","-0,33","0,63","9,99","0,62","R$ 225,11 M","2,05%"
1,30/06/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,97%"
2,31/03/2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,06%"
3,31/12/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,91%"
4,30/09/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,73%"
5,30/06/2023,"15,31","0,38","0,10","37,37","175,89","0,10","2,10","0,31","13,16","11,47","-0,23","0,63","1.102,33","0,61","R$ 219,15 M","3,97%"
6,31/03/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3,77%"
7,31/12/2022,"7,48","0,40","0,10","-2,33","-2,24","0,09","1,76","0,31","11,52","10,26","-0,21","0,66","-14,71","0,62","R$ 230,35 M","3,83%"
8,30/09/2022,"7,11","0,40","0,11","-1,29","-1,31","0,09","1,94","0,25","13,01","11,42","-0,22","0,70","-8,75","0,61","R$ 230,76 M","3,83%"
9,30/06/2022,"6,83","0,46","0,12","-1,26","-1,27","0,11","2,28","0,28","13,29","11,57","-0,30","0,71","-7,43","0,64","R$ 258,45 M","3,40%"
10,31/03/2022,"8,78","0,49","0,13","-5,85","-6,22","0,12","2,68","0,32","12,60","10,76","-0,32","0,61","-29,23","0,57","R$ 268,28 M","3,28%"
11,31/12/2021,"9,94","0,56","0,15","-6,66","-6,66","0,14","3,65","0,36","17,42","14,45","-0,38","0,73","-31,72","0,66","R$ 306,53 M","2,96%"
12,30/09/2021,"19,87","0,60","0,17","1,70","1,75","0,15","5,61","0,40","23,56","18,26","-0,40","0,73","7,35","0,63","R$ 329,14 M","2,76%"
13,30/06/2021,"14,99","0,69","0,21","1,80","1,89","0,18","4,03","0,52","15,25","12,89","-0,45","0,80","7,14","0,68","R$ 371,55 M","2,45%"
14,31/03/2021,"9,70","0,60","0,19","2,67","2,93","0,16","2,70","0,53","11,19","9,79","-0,36","0,80","12,13","0,66","R$ 321,28 M","3,81%"
15,31/12/2020,"13,28","0,81","0,27","6,01","6,91","0,21","3,60","0,73","12,13","10,62","-0,46","0,91","23,30","0,70","R$ 425,38 M","0,72%"
16,30/09/2020,"6,75","0,60","0,22","-12,79","-7,54","0,15","2,17","0,55","8,75","7,88","-0,33","0,88","-30,43","0,62","R$ 324,00 M","0,94%"
17,30/06/2020,"11,90","0,62","0,25","270,40","-24,59","0,17","3,55","0,61","14,18","12,03","-0,37","1,00","-98,11","0,67","R$ 322,49 M","0,94%"
18,31/03/2020,"21,78","0,59","0,24","-3,54","-3,02","0,16","5,05","0,60","20,35","15,98","-0,36","0,96","-12,16","0,66","R$ 296,03 M","0,00%"
19,31/12/2019,"27,73","0,59","0,24","-4,67","-3,69","0,16","10,13","0,50","41,08","26,84","-0,42","0,99","-14,96","0,67","R$ 295,80 M","0,00%"
20,30/09/2019,"106,50","0,53","0,22","-1,89","-1,75","0,14","52,44","0,43","241,48","59,18","-0,35","1,01","-8,05","0,65","R$ 264,29 M","2,60%"
21,30/06/2019,"19,17","0,52","0,21","-1,35","-1,27","0,14","9,48","0,40","44,00","27,96","-0,36","0,97","-5,90","0,65","R$ 254,10 M","2,70%"
22,31/03/2019,"9,77","0,48","0,20","-4,61","-3,64","0,12","5,38","0,37","25,33","18,85","-0,31","0,96","-17,13","0,59","R$ 235,94 M","2,91%"
23,31/12/2018,"9,06","0,45","0,20","-5,66","-4,26","0,12","3,46","0,32","17,52","14,15","-0,34","1,00","-21,59","0,61","R$ 218,94 M","2,49%"
24,30/09/2018,"6,88","0,49","0,22","9,32","18,44","0,14","2,68","0,41","11,71","10,06","-0,37","0,98","80,67","0,61","R$ 243,26 M","2,24%"
25,30/06/2018,"8,19","0,43","0,20","3,83","4,93","0,12","2,95","0,38","14,97","12,36","-0,28","1,00","24,99","0,60","R$ 206,29 M","2,64%"
26,31/03/2018,"10,79","0,45","0,20","1,94","2,14","0,13","3,12","0,45","8,36","6,88","-0,30","0,53","5,74","0,34","R$ 210,73 M","2,59%"
27,31/12/2017,"9,67","0,39","0,17","1,44","1,53","0,11","2,79","0,31","8,48","6,97","-0,29","0,53","4,65","0,33","R$ 185,77 M","4,72%"
28,30/09/2017,"26,17","0,57","0,24","2,03","2,13","0,16","4,21","0,53","10,61","8,69","-0,39","0,61","5,38","0,41","R$ 264,56 M","3,30%"
29,30/06/2017,"16,53","0,53","0,22","3,23","3,52","0,15","3,21","0,44","8,55","7,26","-0,37","0,59","9,38","0,39","R$ 248,87 M","3,51%"
30,31/03/2017,"7,10","0,46","0,18","11,37","19,97","0,13","2,09","0,40","6,47","5,70","-0,32","0,57","61,70","0,40","R$ 211,64 M","4,13%"
31,31/12/2016,"6,88","0,46","0,18","14,97","50,59","0,13","1,86","0,45","6,17","5,51","-0,29","0,60","167,78","0,42","R$ 211,33 M","3,26%"
32,30/09/2016,"4,80","0,48","0,19","-39,64","-10,67","0,14","1,77","0,66","5,88","5,32","-0,28","0,64","-35,56","0,46","R$ 221,99 M","3,10%"
33,30/06/2016,"4,28","0,51","0,21","-8,63","-4,85","0,15","1,66","0,74","5,03","4,59","-0,30","0,63","-14,66","0,45","R$ 233,07 M","2,96%"
34,31/03/2016,"7,23","0,41","0,17","-13,11","-4,84","0,12","1,95","0,60","6,79","5,94","-0,23","0,58","-16,83","0,41","R$ 180,19 M","3,83%"
35,31/12/2015,"7,00","0,39","0,16","-4,22","-2,61","0,11","1,93","0,48","7,48","6,52","-0,22","0,62","-10,10","0,42","R$ 169,84 M","3,45%"
36,30/09/2015,"6,99","0,29","0,12","-1,71","-1,35","0,08","1,49","0,28","7,47","6,48","-0,20","0,59","-6,78","0,41","R$ 122,44 M","4,80%"
37,30/06/2015,"13,05","0,33","0,13","-4,06","-2,90","0,10","2,06","0,32","8,33","7,03","-0,26","0,54","-11,72","0,40","R$ 137,96 M","4,25%"
38,31/03/2015,"8,55","0,48","0,19","-4,63","-3,79","0,14","2,48","0,44","7,43","6,49","-0,36","0,58","-11,32","0,42","R$ 201,78 M","2,90%"
39,31/12/2014,"9,82","0,48","0,20","-2,88","-2,43","0,14","2,71","0,47","8,29","7,20","-0,36","0,60","-7,44","0,44","R$ 201,65 M","2,90%"
40,30/09/2014,"10,22","0,47","0,17","-4,13","-4,29","0,12","2,41","0,58","8,34","7,26","-0,24","0,60","-14,85","0,43","R$ 174,80 M","3,13%"
41,30/06/2014,"9,71","0,48","0,17","-2,37","-2,25","0,13","2,51","0,59","8,28","7,24","-0,25","0,58","-7,42","0,42","R$ 174,97 M","3,13%"
42,31/03/2014,"9,79","0,49","0,17","-10,29","-5,37","0,13","2,46","0,51","7,82","6,88","-0,26","0,56","-17,04","0,41","R$ 174,80 M","23,15%"
43,31/12/2013,"9,12","0,49","0,18","17,47","-7,53","0,13","2,51","0,53","7,69","6,78","-0,27","0,54","-23,03","0,40","R$ 175,58 M","23,08%"
44,30/09/2013,"9,78","0,50","0,18","9,10","-5,35","0,13","2,54","0,46","7,17","6,34","-0,30","0,51","-15,11","0,38","R$ 180,61 M","24,75%"
45,30/06/2013,"7,52","0,47","0,18","4,33","-15,78","0,13","2,34","0,43","5,74","5,10","-0,33","0,45","-38,77","0,33","R$ 180,15 M","24,75%"
46,31/03/2013,"6,19","0,51","0,21","25,83","-5,53","0,16","2,56","0,59","6,24","5,56","-0,40","0,51","-13,47","0,40","R$ 196,36 M","4,88%"
47,31/12/2012,"7,40","0,65","0,27","21,95","-16,76","0,21","3,10","0,68","6,50","5,81","-0,54","0,56","-35,15","0,43","R$ 248,91 M","2,14%"
48,30/09/2012,"5,39","0,54","0,24","-23,55","-5,45","0,18","2,49","0,72","5,64","5,04","-0,42","0,54","-12,36","0,40","R$ 207,84 M","2,56%"
49,30/06/2012,"6,40","0,56","0,25","-44,22","-7,31","0,19","2,63","0,79","5,37","4,75","-0,45","0,52","-14,92","0,39","R$ 206,78 M","2,56%"
50,31/03/2012,"8,92","0,58","0,26","-18,34","-5,79","0,19","3,13","0,84","6,45","5,54","-0,45","0,54","-11,92","0,40","R$ 206,52 M","2,56%"
51,31/12/2011,"11,10","0,58","0,28","-5,92","-3,94","0,20","3,36","0,93","7,14","6,03","-0,46","0,60","-8,37","0,43","R$ 207,17 M","2,56%"
52,30/09/2011,"22,72","0,60","0,30","-5,52","-3,66","0,20","4,80","0,79","9,84","7,88","-0,50","0,62","-7,51","0,42","R$ 211,25 M","1,63%"
53,30/06/2011,"29,14","0,62","0,31","-6,57","-3,92","0,21","6,78","1,17","12,83","9,53","-0,44","0,58","-7,41","0,40","R$ 211,31 M","1,63%"
54,31/03/2011,"30,73","0,62","0,31","-6,70","-3,80","0,21","6,56","1,21","16,43","12,27","-0,43","0,79","-9,52","0,52","R$ 211,36 M","1,63%"
55,31/12/2010,"17,41","0,61","0,31","-10,41","-4,14","0,21","5,88","1,24","14,85","11,52","-0,44","0,78","-10,46","0,54","R$ 211,36 M","1,63%"
56,30/09/2010,"18,46","0,64","0,32","131,76","-10,42","0,24","6,54","1,60","11,24",NA,"-0,49","0,56","-17,90","0,41","R$ 221,82 M","0,43%"
57,30/06/2010,"23,68","0,62","0,31","8,54",NA,"0,23","6,30","1,48","10,16",NA,"-0,49","0,50",NA,"0,37","R$ 211,31 M","0,46%"
58,31/03/2010,"31,05","0,62","0,30","15,39","-11,90","0,23","7,47","1,53","11,90",NA,"-0,47","0,48","-18,94","0,36","R$ 209,55 M","0,46%"
59,31/12/2009,"61,79","1,15","0,30","5,12","49,56","0,38","10,63","1,52","16,94",NA,"-0,91","0,48","78,94","0,61","R$ 210,01 M","0,46%"
60,30/09/2009,"23,39","1,09","0,21","4,79","-29,72","0,35","4,99","1,29","8,22",NA,"-0,88","0,35","-48,98","0,58","R$ 199,97 M","3,94%"
61,30/06/2009,"31,98","1,11","0,27","5,52","-14,56","0,35","6,74","1,58","10,66",NA,"-0,77","0,42","-23,03","0,56","R$ 200,86 M","3,91%"
62,31/03/2009,"9,33","1,08","0,25","-6,02","-2,47","0,33","3,45","1,42","5,20",NA,"-0,73","0,38","-3,72","0,50","R$ 195,57 M","4,02%"
63,31/12/2008,"5,70","0,88","0,20","-2,29","-1,56","0,27","2,23","1,08","3,96",NA,"-0,61","0,36","-2,76","0,48","R$ 158,05 M","3,98%"
64,30/09/2008,"5,17","0,92","0,23",NA,NA,"0,30","2,17","1,26","3,59",NA,"-0,68","0,38",NA,"0,49","R$ 173,10 M","3,63%"
65,30/06/2008,"11,42","2,10","0,57",NA,NA,"0,71","5,24","3,09","6,56",NA,"-1,62","0,71",NA,"0,88","R$ 379,14 M","1,65%"
66,31/03/2008,"16,76","2,43","0,68",NA,NA,"0,91","7,31","3,82","7,96",NA,"-2,36","0,74",NA,"0,99","R$ 407,08 M","1,54%"
67,31/12/2007,"13,90","1,92","0,55",NA,NA,"0,74","5,95","3,12","6,23",NA,"-1,94","0,58",NA,"0,77","R$ 306,77 M","2,12%"
68,30/09/2007,"11,58","1,77","0,53",NA,NA,"0,68","5,26","2,61","5,86",NA,"-1,90","0,59",NA,"0,76","R$ 286,26 M","2,27%"
69,30/06/2007,"12,83","1,85","0,55",NA,NA,"0,64","5,35","2,51","6,14",NA,"-1,61","0,63",NA,"0,74","R$ 286,64 M","2,27%"
70,31/03/2007,"13,08","1,92","0,54",NA,NA,"0,65","5,18","2,62","5,58",NA,"-1,58","0,59",NA,"0,70","R$ 276,49 M","2,27%"
71,31/12/2006,"12,53","2,00","0,55",NA,NA,"0,64","5,37","2,87","5,85",NA,"-1,42","0,60",NA,"0,70","R$ 275,98 M","2,27%"
72,30/09/2006,"15,13","2,01","0,58",NA,NA,"0,60","6,72","2,76","7,70",NA,"-1,25","0,66",NA,"0,69","R$ 275,73 M","2,27%"
73,30/06/2006,"14,53","2,08","0,60",NA,NA,"0,60","6,21","2,60","7,17",NA,"-1,23","0,69",NA,"0,69","R$ 275,97 M","2,27%"
74,31/03/2006,"3,46","0,80","0,21",NA,NA,"0,23","1,91","1,02","2,62",NA,"-0,47","0,29",NA,"0,31","R$ 103,50 M","7,61%"
75,31/12/2005,"3,74","0,84","0,21",NA,NA,"0,24","1,84","1,09","2,60",NA,"-0,47","0,30",NA,"0,33","R$ 103,50 M","7,61%"
76,30/09/2005,"3,38","0,73","0,20",NA,NA,"0,24","1,64","0,86","1,49",NA,"-0,59","0,18",NA,"0,22","R$ 102,27 M","7,61%"
77,30/06/2005,"2,84","0,75","0,19",NA,NA,"0,24","1,56","0,86","1,46",NA,"-0,58","0,18",NA,"0,22","R$ 102,27 M","7,61%"
78,31/03/2005,"4,01","0,86","0,19",NA,NA,"0,25","1,85","0,93","1,89",NA,"-0,57","0,19",NA,"0,26","R$ 102,27 M","7,61%"
79,31/12/2004,"4,18","0,88","0,18",NA,NA,"0,26","1,92","0,97","1,90",NA,"-0,59","0,18",NA,"0,26","R$ 102,27 M","7,61%"
80,30/09/2004,"6,69","0,90","0,19",NA,NA,"0,25","3,04","0,96","3,87",NA,"-0,52","0,24",NA,"0,31","R$ 102,27 M","7,61%"
81,30/06/2004,"18,78","1,00","0,19",NA,NA,"0,24","3,88","0,98","5,60",NA,"-0,46","0,27",NA,"0,34","R$ 102,27 M","7,61%"
82,31/03/2004,"7,77","1,04","0,19",NA,NA,"0,26","2,70","1,01","4,62",NA,"-0,52","0,32",NA,"0,44","R$ 102,27 M","7,61%"
83,31/12/2003,"8,59","1,08","0,20",NA,NA,"0,26","2,72","1,06","5,42",NA,"-0,51","0,40",NA,"0,52","R$ 102,27 M","7,61%"
84,30/09/2003,"5,07","2,13","0,21",NA,NA,"0,31","1,14","9,28","2,36",NA,"-0,38","0,44",NA,"0,64","R$ 102,27 M","7,61%"
85,30/06/2003,"-63,59","2,18","0,24",NA,NA,"0,30","1,62","6,86","3,42",NA,"-0,37","0,51",NA,"0,64","R$ 102,27 M","7,61%"
