,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"40,78%","37,13%","61,79%","56,25%","35,62%","17,57%","30,43%","14,72%","19,70%","22,06%","1,19","2,06","1,06","-0,30"
1,30/06/2024,"40,68%","36,97%","61,64%","56,02%","37,35%","20,47%","29,93%","15,46%","19,86%","22,23%","1,32","2,06","1,06","-0,38"
2,31/03/2024,"36,06%","32,92%","54,63%","49,88%","37,82%","18,85%","29,87%","15,68%","19,92%","22,28%","1,20","1,80","0,80","-0,43"
3,31/12/2023,"40,24%","38,77%","60,96%","58,75%","41,06%","19,25%","29,68%","16,22%","19,96%","22,27%","1,19","2,03","1,03","-0,37"
4,30/09/2023,"39,15%","38,50%","59,32%","58,33%","41,85%","20,10%","32,03%","17,47%","22,32%","24,52%","1,15","2,03","1,03","-0,28"
5,30/06/2023,"53,64%","52,80%","81,27%","80,01%","56,50%","25,15%","34,29%","19,31%","25,06%","27,02%","1,30","1,82","0,82","-0,22"
6,31/03/2023,"77,11%","75,27%","116,83%","114,04%","68,93%","32,67%","34,97%","19,99%","26,36%","28,15%","1,63","2,01","1,01","-0,05"
7,31/12/2022,"90,20%","87,42%","136,67%","132,46%","82,85%","37,56%","36,48%","21,07%","28,54%","30,20%","1,78","2,13","1,13","-0,15"
8,30/09/2022,"91,81%","88,91%","139,10%","134,71%","51,51%","26,54%","35,87%","20,45%","28,11%","29,82%","1,30","2,08","1,08","-0,10"
9,30/06/2022,"75,58%","73,91%","114,52%","111,99%","43,01%","24,45%","34,09%","18,08%","25,30%","27,19%","1,35","2,25","1,25","-0,11"
10,31/03/2022,"60,09%","58,67%","91,05%","88,90%","43,19%","24,28%","31,53%","16,19%","22,30%","24,31%","1,50","2,11","1,11","-0,29"
11,31/12/2021,"51,34%","49,26%","77,78%","74,64%","29,87%","16,30%","27,03%","12,61%","16,71%","19,02%","1,29","2,21","1,21","-0,30"
12,30/09/2021,"21,61%","20,92%","32,74%","31,69%","17,69%","10,68%","22,84%","8,60%","11,03%","13,67%","1,24","1,94","0,94","-2,26"
13,30/06/2021,"15,43%","14,63%","23,38%","22,17%","14,80%","9,99%","22,36%","7,83%","10,16%","13,15%","1,27","1,76","0,76","-2,46"
14,31/03/2021,"14,33%","13,52%","21,70%","20,48%","15,98%","11,49%","23,59%","9,76%","12,34%","15,92%","1,18","1,78","0,78","-1,42"
15,31/12/2020,"11,94%","11,25%","18,09%","17,05%","14,47%","10,01%","24,21%","10,08%","11,98%","16,20%","0,99","1,83","0,83","-2,24"
16,30/09/2020,"11,62%","10,95%","17,60%","16,59%","14,90%","10,14%","26,02%","11,29%","13,33%","18,13%","0,90","1,66","0,66","-1,34"
