,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 14,20 B","R$ 2,55 B","R$ 1,31 B","- R$ 822,37 M","R$ 2,13 B","- R$ 370,31 M","- R$ 0,99",71
1,31/03/2024,"R$ 13,82 B","R$ 2,38 B","R$ 1,24 B","- R$ 804,81 M","R$ 2,04 B","- R$ 209,33 M","- R$ 0,56",71
2,31/12/2023,"R$ 14,12 B","R$ 2,84 B","R$ 1,54 B","- R$ 786,62 M","R$ 2,32 B","R$ 255,16 M","R$ 0,68",71
3,30/09/2023,"R$ 13,29 B","R$ 2,19 B","- R$ 1,95 B","- R$ 771,78 M","- R$ 1,18 B","- R$ 5,29 B","- R$ 14,19",71
4,30/06/2023,"R$ 13,26 B","R$ 2,14 B","- R$ 1,98 B","- R$ 757,12 M","- R$ 1,22 B","- R$ 5,27 B","- R$ 14,14",71
5,31/03/2023,"R$ 13,32 B","R$ 2,18 B","- R$ 1,77 B","- R$ 742,39 M","- R$ 1,03 B","- R$ 5,46 B","- R$ 14,65",71
6,31/12/2022,"R$ 13,25 B","R$ 1,98 B","- R$ 1,91 B","- R$ 730,77 M","- R$ 1,18 B","- R$ 5,67 B","- R$ 15,23",71
7,30/09/2022,"R$ 14,49 B","R$ 2,69 B","R$ 1,58 B","- R$ 723,25 M","R$ 2,30 B","- R$ 105,67 M","- R$ 0,28",71
8,30/06/2022,"R$ 14,94 B","R$ 2,68 B","R$ 1,47 B","- R$ 740,81 M","R$ 2,21 B","R$ 250,44 M","R$ 0,67",71
9,31/03/2022,"R$ 14,75 B","R$ 2,49 B","R$ 1,20 B","- R$ 710,58 M","R$ 1,91 B","R$ 333,69 M","R$ 0,90",71
10,31/12/2021,"R$ 14,90 B","R$ 2,42 B","R$ 1,14 B","- R$ 678,11 M","R$ 1,82 B","R$ 397,95 M","R$ 1,07",71
