,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"4,97%","5,30%","7,54%","8,02%","8,60%","5,23%","97,54%","150,13%","193,56%","196,04%","0,03","1,80","0,80","3,74"
1,30/06/2024,"4,13%","4,42%","6,26%","6,70%","7,38%","4,32%","97,59%","132,52%","172,76%","175,04%","0,03","1,73","0,73","5,16"
2,31/03/2024,"3,26%","3,57%","4,94%","5,41%","6,08%","3,66%","97,85%","106,21%","135,57%","137,61%","0,03","1,69","0,69","6,21"
3,31/12/2023,"3,11%","3,41%","4,71%","5,16%","5,36%","3,12%","98,23%","87,29%","118,60%","120,41%","0,04","1,68","0,68","5,66"
4,30/09/2023,"3,48%","3,72%","5,27%","5,64%","4,48%","2,66%","98,51%","69,23%","124,48%","125,97%","0,04","1,65","0,65","4,75"
5,30/06/2023,"4,33%","4,59%","6,56%","6,95%","6,36%","4,00%","98,61%","91,28%","140,74%","141,90%","0,04","1,71","0,71","4,54"
6,31/03/2023,"5,64%","5,99%","8,54%","9,08%","8,19%","5,45%","98,66%","115,88%","174,39%","175,32%","0,05","1,66","0,66","3,69"
7,31/12/2022,"7,07%","7,52%","10,71%","11,40%","11,66%","7,48%","98,60%","177,72%","229,35%","230,11%","0,04","1,72","0,72","2,95"
8,30/09/2022,"7,30%","7,72%","11,07%","11,69%","12,96%","8,32%","98,52%","222,57%","260,16%","260,76%","0,04","1,68","0,68","3,11"
9,30/06/2022,"7,56%","8,09%","11,45%","12,26%","12,73%","8,85%","98,49%","242,15%","274,08%","274,70%","0,04","1,59","0,59","3,11"
10,31/03/2022,"6,66%","7,10%","10,09%","10,76%","12,33%","8,50%","98,45%","254,72%","258,96%","259,57%","0,03","1,50","0,50","3,10"
11,31/12/2021,"7,52%","8,01%","11,40%","12,14%","12,06%","8,76%","98,55%","247,01%","276,97%","277,53%","0,04","1,56","0,56","2,56"
12,30/09/2021,"6,63%","6,91%","10,04%","10,47%","10,41%","7,71%","98,64%","215,12%","248,79%","249,33%","0,04","1,56","0,56","2,67"
13,30/06/2021,"7,95%","8,29%","12,05%","12,56%","9,73%","7,15%","98,73%","196,79%","285,54%","286,06%","0,04","1,44","0,44","1,36"
14,31/03/2021,"7,01%","7,27%","10,62%","11,02%","7,88%","5,78%","98,82%","161,03%","254,89%","255,41%","0,04","1,45","0,45","1,41"
15,31/12/2020,"4,82%","4,98%","7,31%","7,55%","4,76%","3,51%","98,80%","98,89%","177,16%","177,68%","0,04","1,38","0,38","1,38"
16,30/09/2020,"5,22%","5,37%","7,90%","8,14%","6,22%","4,18%","98,71%","102,20%","185,08%","185,60%","0,04","1,35","0,35","1,75"
17,30/06/2020,"3,74%","3,84%","5,66%","5,81%","4,39%","2,98%","98,58%","73,33%","135,08%","135,62%","0,04","1,36","0,36","1,98"
18,31/03/2020,"3,71%","3,81%","5,63%","5,78%","4,18%","2,80%","98,37%","71,55%","137,67%","138,22%","0,04","1,36","0,36","2,14"
19,31/12/2019,"3,94%","4,05%","5,97%","6,13%","4,20%","2,80%","98,31%","70,45%","140,72%","141,30%","0,04","1,36","0,36","2,11"
20,30/09/2019,"3,23%","3,31%","4,90%","5,01%","2,88%","2,04%","98,68%","50,86%","118,52%","119,02%","0,04","1,49","0,49","6,09"
21,30/06/2019,"2,11%","2,16%","3,20%","3,27%","2,33%","1,65%","99,11%","43,07%","80,11%","80,53%","0,04","1,47","0,47","9,57"
22,31/03/2019,"2,00%","2,05%","3,03%","3,10%","2,16%","1,54%","99,58%","41,73%","79,22%","79,55%","0,04","1,49","0,49","10,17"
23,31/12/2018,"1,83%","1,87%","2,77%","2,83%","2,15%","1,41%","100,00%","41,48%","79,60%","79,83%","0,03","1,50","0,50","9,44"
24,30/09/2018,"1,77%","1,82%","2,68%","2,75%","2,47%","1,64%","100,00%","45,91%","73,36%","73,59%","0,04","1,41","0,41","9,66"
25,30/06/2018,"1,74%","1,80%","2,63%","2,73%","2,49%","1,57%","100,00%","44,17%","72,94%","73,18%","0,04","1,41","0,41","9,34"
