,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 255,76 M","- R$ 117,40 M","- R$ 261,13 M","- R$ 122,77 M"
1,31/03/2024,"R$ 175,39 M","- R$ 59,67 M","- R$ 157,12 M","- R$ 41,40 M"
2,31/12/2023,"R$ 130,89 M","- R$ 176,72 M","R$ 94,92 M","R$ 49,09 M"
3,30/09/2023,"R$ 140,25 M","R$ 25,34 M","- R$ 123,59 M","R$ 42,01 M"
4,30/06/2023,"R$ 90,41 M","R$ 10,09 M","- R$ 94,53 M","R$ 5,96 M"
5,31/03/2023,"R$ 144,08 M","- R$ 1,77 M","- R$ 140,23 M","R$ 2,09 M"
6,31/12/2022,"R$ 145,91 M","- R$ 55,56 M","- R$ 158,74 M","- R$ 68,39 M"
7,30/09/2022,"R$ 154,84 M","- R$ 29,59 M","R$ 18,05 M","R$ 143,30 M"
8,30/06/2022,"R$ 181,45 M","- R$ 18,24 M","- R$ 113,95 M","R$ 49,25 M"
9,31/03/2022,"R$ 85,79 M","R$ 10,34 M","- R$ 99,32 M","- R$ 3,19 M"
10,31/12/2021,"R$ 132,76 M","- R$ 54,49 M","R$ 41,47 M","R$ 119,74 M"
11,30/09/2021,"R$ 111,84 M","- R$ 13,32 M","- R$ 84,98 M","R$ 13,54 M"
12,30/06/2021,"R$ 118,43 M","- R$ 20,23 M","- R$ 97,73 M","R$ 471,00 mil"
13,31/03/2021,"R$ 53,05 M","- R$ 10,32 M","- R$ 61,53 M","- R$ 18,80 M"
14,31/12/2020,"R$ 78,50 M","- R$ 10,61 M","- R$ 63,12 M","R$ 4,77 M"
15,30/09/2020,"R$ 81,72 M","- R$ 9,43 M","- R$ 30,92 M","R$ 41,38 M"
16,30/06/2020,"R$ 37,66 M","- R$ 55,79 M","R$ 38,86 M","R$ 20,73 M"
17,31/03/2020,"R$ 42,65 M","- R$ 13,58 M","- R$ 49,92 M","- R$ 20,85 M"
18,31/12/2019,"R$ 77,60 M","- R$ 648,61 M","R$ 566,10 M","- R$ 4,91 M"
19,30/09/2019,"R$ 74,94 M","- R$ 42,05 M","- R$ 17,79 M","R$ 15,10 M"
20,30/06/2019,"R$ 91,10 M","- R$ 72,99 M","R$ 9,55 M","R$ 27,66 M"
21,31/03/2019,"R$ 55,60 M","- R$ 5,85 M","- R$ 49,32 M","R$ 432,00 mil"
22,31/12/2018,"R$ 16,05 M","- R$ 6,59 M","- R$ 24,07 M","- R$ 14,61 M"
23,30/09/2018,"R$ 41,17 M","- R$ 19,83 M","- R$ 30,48 M","- R$ 9,14 M"
24,30/06/2018,"R$ 14,54 M","- R$ 6,70 M","- R$ 330,00 mil","R$ 7,51 M"
25,31/03/2018,"R$ 27,89 M","- R$ 17,63 M","- R$ 28,55 M","- R$ 18,29 M"
26,31/12/2017,"R$ 55,72 M","- R$ 26,96 M","- R$ 58,31 M","- R$ 29,55 M"
27,30/09/2017,"R$ 88,75 M","- R$ 1,05 M","- R$ 33,78 M","R$ 53,93 M"
28,30/06/2017,"R$ 87,11 M","- R$ 30,63 M","- R$ 51,13 M","R$ 5,36 M"
29,31/03/2017,"R$ 6,10 M","- R$ 23,49 M","- R$ 22,15 M","- R$ 39,55 M"
30,31/12/2016,"R$ 50,09 M","- R$ 12,95 M","- R$ 47,08 M","- R$ 9,94 M"
31,30/09/2016,"R$ 31,84 M","- R$ 5,96 M","R$ 16,26 M","R$ 42,14 M"
32,30/06/2016,"R$ 50,61 M","- R$ 8,91 M","- R$ 44,52 M","- R$ 2,83 M"
33,31/03/2016,"R$ 52,44 M","- R$ 11,98 M","- R$ 34,07 M","R$ 6,40 M"
34,31/12/2015,"R$ 51,78 M","- R$ 30,03 M","- R$ 24,02 M","- R$ 2,27 M"
35,30/09/2015,"R$ 26,35 M","- R$ 30,33 M","R$ 14,02 M","R$ 10,04 M"
