,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 2,98 B","- R$ 845,63 M","- R$ 2,58 B","- R$ 487,23 M"
1,31/03/2024,"R$ 3,05 B","- R$ 872,64 M","- R$ 2,35 B","- R$ 243,93 M"
2,31/12/2023,"R$ 2,66 B","- R$ 892,92 M","- R$ 2,01 B","- R$ 316,16 M"
3,30/09/2023,"R$ 2,31 B","- R$ 964,20 M","- R$ 2,60 B","- R$ 1,29 B"
4,30/06/2023,"R$ 1,68 B","- R$ 988,90 M","- R$ 2,71 B","- R$ 2,05 B"
5,31/03/2023,"R$ 1,60 B","- R$ 1,15 B","- R$ 3,55 B","- R$ 3,10 B"
6,31/12/2022,"R$ 1,54 B","- R$ 1,19 B","- R$ 2,98 B","- R$ 2,64 B"
7,30/09/2022,"R$ 1,39 B","- R$ 1,01 B","- R$ 1,72 B","- R$ 1,34 B"
8,30/06/2022,"R$ 1,88 B","- R$ 1,02 B","- R$ 1,44 B","- R$ 574,86 M"
9,31/03/2022,"R$ 1,06 B","- R$ 898,21 M","R$ 2,80 B","R$ 2,96 B"
10,31/12/2021,"R$ 1,22 B","- R$ 1,03 B","R$ 3,24 B","R$ 3,42 B"
11,30/09/2021,"R$ 1,32 B","- R$ 901,64 M","R$ 3,55 B","R$ 3,97 B"
12,30/06/2021,"R$ 825,36 M","- R$ 807,38 M","R$ 3,20 B","R$ 3,22 B"
13,31/03/2021,"R$ 1,09 B","- R$ 718,48 M","R$ 721,32 M","R$ 1,11 B"
14,31/12/2020,"R$ 608,38 M","- R$ 543,83 M","R$ 1,01 B","R$ 1,09 B"
15,30/09/2020,"R$ 490,84 M","- R$ 667,87 M","R$ 873,10 M","R$ 714,08 M"
16,30/06/2020,"R$ 745,06 M","- R$ 736,47 M","R$ 1,06 B","R$ 1,08 B"
17,31/03/2020,"R$ 1,38 B","- R$ 761,22 M","R$ 108,27 M","R$ 733,42 M"
18,31/12/2019,"R$ 1,56 B","- R$ 750,27 M","- R$ 621,32 M","R$ 203,38 M"
19,30/09/2019,"R$ 1,63 B","- R$ 725,29 M","- R$ 696,24 M","R$ 207,95 M"
20,30/06/2019,"R$ 1,22 B","- R$ 626,35 M","- R$ 542,75 M","R$ 52,76 M"
21,31/03/2019,"R$ 920,53 M","- R$ 594,31 M","- R$ 412,00 M","- R$ 86,62 M"
22,31/12/2018,"R$ 811,38 M","- R$ 609,81 M","- R$ 317,51 M","- R$ 115,20 M"
23,30/09/2018,"R$ 789,84 M","- R$ 612,20 M","- R$ 389,99 M","- R$ 215,83 M"
24,30/06/2018,"R$ 651,31 M","- R$ 588,75 M","- R$ 269,58 M","- R$ 212,65 M"
25,31/03/2018,"R$ 770,50 M","- R$ 573,00 M","- R$ 307,45 M","- R$ 116,64 M"
26,31/12/2017,"R$ 845,59 M","- R$ 545,52 M","- R$ 129,23 M","R$ 164,99 M"
27,30/09/2017,"R$ 652,68 M","- R$ 479,46 M","- R$ 119,28 M","R$ 53,17 M"
28,30/06/2017,"R$ 783,73 M","- R$ 450,24 M","- R$ 149,55 M","R$ 185,63 M"
29,31/03/2017,"R$ 705,68 M","- R$ 455,86 M","- R$ 171,33 M","R$ 78,31 M"
30,31/12/2016,"R$ 914,21 M","- R$ 476,92 M","- R$ 279,29 M","R$ 157,35 M"
31,30/09/2016,"R$ 907,33 M","- R$ 503,36 M","- R$ 245,60 M","R$ 158,16 M"
32,30/06/2016,"R$ 951,62 M","- R$ 564,40 M","- R$ 299,11 M","R$ 88,11 M"
33,31/03/2016,"R$ 890,65 M","- R$ 587,03 M","- R$ 224,83 M","R$ 78,95 M"
34,31/12/2015,"R$ 771,96 M","- R$ 570,95 M","- R$ 298,08 M","- R$ 96,81 M"
35,30/09/2015,"R$ 741,64 M","- R$ 561,46 M","- R$ 247,29 M","- R$ 66,84 M"
