,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 26/09/2024,"62,84","0,39","0,30","1,22","0,18","R$ 254,13 M","0,00%"
1,30/06/2024,"57,08","0,35","0,28","1,11","0,16","R$ 230,85 M","0,00%"
2,31/03/2024,"-332,40","0,39","0,29","1,07","0,18","R$ 248,31 M","0,00%"
3,31/12/2023,"-21,13","0,40","0,28","1,23","0,19","R$ 250,89 M","0,35%"
4,30/09/2023,"-520,25","0,43","0,29","2,93","0,20","R$ 274,17 M","0,32%"
5,30/06/2023,"26,47","0,57","0,36","4,12","0,26","R$ 365,99 M","0,24%"
6,31/03/2023,"19,50","0,57","0,34","2,84","0,25","R$ 367,93 M","0,24%"
7,31/12/2022,"20,26","0,72","0,44","-44,62","0,29","R$ 469,45 M","2,40%"
8,30/09/2022,"7,23","0,51","0,31","22,47","0,20","R$ 331,72 M","3,39%"
9,30/06/2022,"12,63","0,84","0,50","-18,99","0,31","R$ 539,94 M","2,08%"
10,31/03/2022,"8,77","0,85","0,49","-4,60","0,41","R$ 534,12 M","2,11%"
11,31/12/2021,"11.089,37","1.276,42","753,31","-27.193,84","538,58","R$ 803,47 B","0,00%"
12,30/09/2021,"14,32","1,78","1,09","-7,13","0,71","R$ 1,09 B","0,00%"
13,30/06/2021,"10,92","5,80","1,06","228,15","0,89","R$ 963,03 M","0,00%"
14,31/03/2021,"13,63","7,09","1,24","8,86","0,96","R$ 989,46 M","0,00%"
15,31/12/2020,"28,04","15,23","2,76","15,94","2,17","R$ 1,98 B","0,00%"
