,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-26,41","-0,72","0,00","-28,54",NA,"5,94","-26,41","-241,81","-24,34","-24,34","-0,64","0,00",NA,"5,48","R$ 4,24 M","0,00%"
1,30/06/2024,"-29,52","-0,80","0,00","-31,90",NA,"6,65","-29,52","-270,35","-25,89","-25,89","-0,72","0,00",NA,"5,83","R$ 4,50 M","0,00%"
2,31/03/2024,"-42,44","-0,97","0,00","-41,57",NA,"7,91","-42,44","-145,49","-40,38","-40,38","-0,86","0,00",NA,"7,52","R$ 5,82 M","0,00%"
3,31/12/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
4,30/09/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
5,30/06/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
6,31/03/2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0,00%"
7,31/12/2022,"-37,53","-1,03","0,00","-37,53",NA,"8,11","-37,53","-1.253,37","-37,53","-37,53","-0,91","0,00",NA,"8,11","R$ 6,27 M","0,00%"
8,30/09/2022,"-19,40","-1,03","0,00","-21,10",NA,"8,11","-36,02","-3.133,43","-96,69","-96,69","-0,92","0,00",NA,"21,76","R$ 16,82 M","0,00%"
9,30/06/2022,"-75,17","-2,27","0,00","-73,96",NA,"17,80","-75,58","-2.292,64","-131,84","-131,84","-2,01","0,00",NA,"31,04","R$ 23,99 M","0,00%"
10,31/03/2022,"-55,17","-2,17","0,00","-72,74",NA,"16,84","-55,41","-317,58","-100,52","-100,52","-1,91","0,00",NA,"30,56","R$ 23,62 M","0,00%"
11,31/12/2021,"-101,96","-3,06","0,00","-101,96",NA,"23,48","-102,53","-4.537,04","-148,11","-148,11","-2,71","0,00",NA,"33,91","R$ 26,21 M","0,00%"
12,30/09/2021,"-203,93","-5,91","0,00","-711,67",NA,"45,11","-205,13","-8.718,02","-203,93","-203,93","-5,22","0,00",NA,"44,85","R$ 34,67 M","0,00%"
13,30/06/2021,"-200,41","-5,93","0,00","-206,34",NA,"45,11","-201,57","-3.170,19","-200,39","-200,39","-5,24","0,00",NA,"44,85","R$ 34,67 M","0,00%"
14,31/03/2021,"-222,27","-5,89","0,00","-208,71",NA,"44,28","-223,72","-877,66","-224,46","-224,46","-5,17","0,00",NA,"44,43","R$ 34,34 M","0,00%"
15,31/12/2020,"-245,72","-7,27","0,00","-245,72",NA,"54,04","-247,18","-8.354,59","-224,43","-224,43","-6,40","0,00",NA,"49,07","R$ 37,93 M","0,00%"
16,30/09/2020,"-309,75","-9,46","0,00","-288,33",NA,"70,12","-313,33","-13.551,40","-289,74","-289,74","-8,33","0,00",NA,"64,84","R$ 50,12 M","0,00%"
17,30/06/2020,"-228,43","-7,09","0,00","-199,17",NA,"52,30","-231,04","-8.086,28","-246,64","-246,64","-6,24","0,00",NA,"55,84","R$ 43,16 M","0,00%"
18,31/03/2020,"-304,58","-9,91","0,00","-314,85",NA,"72,50","-307,93","-1.143,74","-280,51","-280,51","-8,65","0,00",NA,"66,05","R$ 51,05 M","0,00%"
19,31/12/2019,"-186,03","-5,44","0,00","-179,43",NA,"39,23","-188,34","-7.580,88","-236,36","-236,36","-4,77","0,00",NA,"49,23","R$ 38,05 M","0,00%"
20,30/09/2019,"-287,15","-8,28","0,00","-278,45",NA,"59,44","-296,42","-2.702,63","-296,45","-296,45","-7,24","0,00",NA,"59,44","R$ 45,95 M","0,00%"
21,30/06/2019,"-637,54","-18,46","0,00","-610,82",NA,"131,96","-658,11","-3.290,53","-611,20","-611,20","-16,12","0,00",NA,"122,56","R$ 94,74 M","0,00%"
22,31/03/2019,"-12,63","-0,37","0,00","-11,49",NA,"2,62","-13,04","-48,13","-29,49","-29,49","-0,32","0,00",NA,"5,91","R$ 4,57 M","0,00%"
23,31/12/2018,"-11,49","-0,37","0,00","-11,69","-11,69","2,62","-11,82","-202,16","-24,55","-24,55","-0,33","0,00","-24,27","5,43","R$ 4,20 M","0,00%"
24,30/09/2018,"-16,16","-0,51","0,00","-16,96",NA,"3,55","-16,35","-124,89","-27,17","-27,17","-0,44","0,00",NA,"5,91","R$ 4,57 M","0,00%"
25,30/06/2018,"-18,66","-0,56","0,00","-20,43",NA,"3,91","-18,89","-79,56","-29,40","-29,40","-0,49","0,00",NA,"6,09","R$ 4,70 M","0,00%"
26,31/03/2018,"-21,31","-0,57","0,00","-22,94",NA,"3,89","-21,62","-51,81","-33,78","-33,78","-0,49","0,00",NA,"6,07","R$ 4,70 M","0,00%"
27,31/12/2017,"-21,31","-0,57","0,00","-21,46","-21,46","3,89","-21,62","-429,26","-33,78","-33,78","-0,50","0,00","-33,54","6,07","R$ 4,70 M","0,00%"
28,30/09/2017,"-14,83","-0,50","0,00","-15,00",NA,"3,38","-15,00","-186,40","-25,84","-25,84","-0,43","0,00",NA,"5,82","R$ 4,50 M","0,00%"
29,30/06/2017,"-7,41","-0,28","0,00","-7,48",NA,"1,88","-7,48","-60,49","-20,16","-20,16","-0,24","0,00",NA,"5,06","R$ 3,91 M","0,00%"
30,31/03/2017,"-7,48","-0,28","0,00","-7,26",NA,"1,88","-7,56","-30,25","-20,37","-20,37","-0,24","0,00",NA,"5,06","R$ 3,91 M","0,00%"
31,31/12/2016,"-7,26","-0,28","0,00","-7,33","-7,33","1,88","-7,33","-241,98","-19,75","-19,75","-0,25","0,00","-19,75","5,06","R$ 3,91 M","0,00%"
32,30/09/2016,"-8,43","-0,36","0,00","-8,39",NA,"2,37","-8,43","-152,38","-18,90","-18,90","-0,31","0,00",NA,"5,31","R$ 4,10 M","0,00%"
33,30/06/2016,"-9,52","-0,37","0,00","-9,52",NA,"2,40","-9,52","-84,37","-19,49","-19,49","-0,32","0,00",NA,"4,92","R$ 3,80 M","0,00%"
34,31/03/2016,"-8,14","-0,37","0,00","-8,67",NA,"2,40","-8,14","-34,37","-16,67","-16,67","-0,32","0,00",NA,"4,92","R$ 3,80 M","0,00%"
35,31/12/2015,"-8,88","-0,38","0,00","-8,88","-8,88","2,40","-8,88","-464,04","-18,19","-18,19","-0,33","0,00","-18,19","4,92","R$ 3,80 M","0,00%"
36,30/09/2015,"-17,42","-0,55","0,00","-17,53",NA,"3,45","-17,42","-204,98","-195,93","-195,93","-0,47","0,00",NA,"38,78","R$ 29,98 M","0,00%"
37,30/06/2015,"-21,16","-0,67","0,00","-21,30",NA,"4,16","-21,16","-146,19","-29,53","-29,53","-0,57","0,00",NA,"5,81","R$ 4,49 M","0,00%"
38,31/03/2015,"-26,25","-0,70","0,00","-24,32",NA,"4,28","-26,25","-82,70","-37,07","-37,07","-0,59","0,00",NA,"6,04","R$ 4,67 M","0,00%"
39,31/12/2014,"-21,97","-0,65","0,00","-22,46","-22,46","3,92","-21,97","-758,09","-32,84","-32,84","-0,55","0,00","-33,57","5,86","R$ 4,53 M","0,00%"
40,30/09/2014,"-32,63","-0,96","0,00","-33,35",NA,"5,82","-32,63","-375,22","-37,24","-37,24","-0,82","0,00",NA,"6,65","R$ 5,14 M","0,00%"
