,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 2,28 B","R$ 716,22 M","- R$ 344,92 M","- R$ 106,41 M","- R$ 238,51 M","- R$ 367,74 M","- R$ 0,96"
1,31/03/2024,"R$ 2,25 B","R$ 725,81 M","R$ 429,54 M","- R$ 103,75 M","R$ 533,28 M","R$ 134,62 M","R$ 0,35"
2,31/12/2023,"R$ 2,19 B","R$ 711,85 M","R$ 423,61 M","- R$ 102,00 M","R$ 525,61 M","R$ 119,65 M","R$ 0,31"
3,30/09/2023,"R$ 2,16 B","R$ 721,42 M","R$ 428,91 M","- R$ 106,03 M","R$ 534,94 M","R$ 107,83 M","R$ 0,28"
4,30/06/2023,"R$ 2,06 B","R$ 705,40 M","R$ 414,29 M","- R$ 104,29 M","R$ 518,58 M","R$ 115,30 M","R$ 0,30"
5,31/03/2023,"R$ 1,94 B","R$ 682,54 M","R$ 379,23 M","- R$ 99,55 M","R$ 478,78 M","R$ 104,13 M","R$ 0,27"
6,31/12/2022,"R$ 1,76 B","R$ 623,19 M","R$ 337,90 M","- R$ 90,07 M","R$ 427,97 M","R$ 103,51 M","R$ 0,27"
7,30/09/2022,"R$ 1,54 B","R$ 563,41 M","R$ 291,41 M","- R$ 73,73 M","R$ 365,13 M","R$ 111,14 M","R$ 0,31"
8,30/06/2022,"R$ 1,80 B","R$ 686,08 M","R$ 394,23 M","- R$ 77,14 M","R$ 471,37 M","R$ 210,65 M","R$ 0,55"
9,31/03/2022,"R$ 1,37 B","R$ 524,46 M","R$ 307,16 M","- R$ 57,03 M","R$ 364,18 M","R$ 171,50 M","R$ 0,45"
10,31/12/2021,"R$ 1,02 B","R$ 404,66 M","R$ 242,27 M","- R$ 40,85 M","R$ 283,12 M","R$ 144,92 M","R$ 0,38"
11,30/09/2021,NA,NA,NA,"- R$ 50,29 M","R$ 201,02 M",NA,NA
12,30/06/2021,"R$ 899,33 M","R$ 398,20 M","R$ 212,31 M","- R$ 37,39 M","R$ 249,70 M","R$ 130,45 M","R$ 0,37"
13,31/03/2021,"R$ 774,38 M","R$ 318,85 M","R$ 142,31 M","- R$ 38,12 M","R$ 180,43 M","R$ 83,70 M","R$ 0,29"
14,31/12/2020,"R$ 717,86 M","R$ 290,06 M","R$ 116,80 M","- R$ 38,50 M","R$ 155,30 M","R$ 72,64 M","R$ 0,63"
