,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"- R$ 487,00 mil","- R$ 40,08 M","R$ 147,55 M","R$ 106,99 M"
1,31/03/2024,"R$ 46,14 M","- R$ 88,64 M","- R$ 22,40 M","- R$ 64,90 M"
2,31/12/2023,"R$ 26,76 M","- R$ 44,84 M","- R$ 20,30 M","- R$ 38,37 M"
3,30/09/2023,"R$ 87,82 M","- R$ 30,48 M","- R$ 15,62 M","R$ 41,72 M"
4,30/06/2023,"- R$ 3,32 M","- R$ 13,11 M","R$ 33,42 M","R$ 16,99 M"
5,31/03/2023,"R$ 45,95 M","- R$ 76,24 M","- R$ 9,15 M","- R$ 39,45 M"
6,31/12/2022,"- R$ 12,58 M","- R$ 68,47 M","- R$ 18,44 M","- R$ 99,50 M"
7,30/09/2022,"R$ 47,28 M","- R$ 119,24 M","R$ 24,70 M","- R$ 47,26 M"
8,30/06/2022,"R$ 29,66 M","- R$ 251,32 M","- R$ 50,28 M","- R$ 271,95 M"
9,31/03/2022,"R$ 33,97 M","- R$ 305,43 M","- R$ 63,63 M","- R$ 335,09 M"
10,31/12/2021,"- R$ 36,13 M",NA,"R$ 833,19 M","R$ 134,31 M"
11,30/09/2021,"R$ 189,34 M",NA,"R$ 1,13 B","R$ 744,69 M"
12,30/06/2021,"R$ 32,56 M","- R$ 410,30 M","R$ 1,17 B","R$ 794,88 M"
13,31/03/2021,"R$ 12,36 M","- R$ 37,87 M","- R$ 19,01 M","- R$ 44,53 M"
14,31/12/2020,NA,NA,NA,NA
