,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/06/2024,"-11,00%","-10,80%","-16,67%","-16,36%","-15,86%","-10,05%","44,19%","-14,90%","-15,67%","-3,84%","0,67","1,66","0,66","3,40"
1,31/03/2024,"-11,95%","-11,68%","-18,11%","-17,70%","-15,77%","-9,83%","44,08%","-15,53%","-16,54%","-4,66%","0,63","1,68","0,68","-2,24"
2,31/12/2023,"-11,93%","-11,57%","-18,07%","-17,52%","-15,37%","-9,39%","43,40%","-15,71%","-15,96%","-4,06%","0,60","1,70","0,70","5,29"
3,30/09/2023,"-10,84%","-10,31%","-16,42%","-15,63%","-14,17%","-9,11%","43,04%","-14,07%","-14,31%","-2,13%","0,65","1,59","0,59","-3,46"
4,30/06/2023,"-9,71%","-9,47%","-14,72%","-14,35%","-12,87%","-8,42%","42,26%","-12,41%","-13,31%","-1,94%","0,68","1,58","0,58","-0,89"
5,31/03/2023,"-10,31%","-9,94%","-15,63%","-15,07%","-14,04%","-9,30%","40,92%","-13,71%","-14,05%","-2,93%","0,68","1,60","0,60","1,46"
6,31/12/2022,"-11,68%","-11,33%","-17,69%","-17,17%","-14,02%","-8,99%","39,90%","-14,10%","-15,09%","-4,34%","0,64","1,64","0,64","2,19"
7,30/09/2022,"-12,24%","-11,94%","-18,55%","-18,10%","-13,64%","-8,93%","39,58%","-13,75%","-14,05%","-3,98%","0,65","1,56","0,56","1,71"
8,30/06/2022,"-19,52%","-18,94%","-29,57%","-28,70%","-14,11%","-10,50%","39,38%","-14,16%","-13,83%","-4,39%","0,74","1,53","0,53","0,78"
9,31/03/2022,"-31,38%","-30,09%","-47,54%","-45,59%","-12,27%","-9,14%","39,19%","-12,08%","-11,68%","-3,83%","0,76","1,51","0,51","1,03"
10,31/12/2021,"-76,38%","-67,98%","-115,72%","-102,99%","453,43%","-27,34%","39,79%","-11,76%","-10,76%","-4,30%","2,33","1,56","0,56","2,61"
11,30/09/2021,"-333,31%","-176,42%","-505,01%","-267,31%","-1.839,35%","-35,16%","38,99%","-12,88%","-11,34%","-6,00%","2,73","1,53","0,53","3,54"
12,30/06/2021,"-55,13%","-44,80%","-83,53%","-67,88%","-2.066,51%","-23,81%","39,76%","-9,09%","-6,95%","-2,79%","2,62","1,34","0,34","17,91"
13,31/03/2021,"-41,52%","-33,68%","-62,90%","-51,03%","-512,79%","-27,75%","40,49%","-8,34%","-5,46%","-1,28%","3,33","1,34","0,34","60,93"
14,31/12/2020,"-25,25%","-20,69%","-38,25%","-31,35%","693,83%","-18,84%","40,05%","-6,67%","-3,59%","0,68%","2,82","-16,58","-17,58","22,96"
15,30/09/2020,"-1,41%","-1,15%","-2,13%","-1,75%","273,65%","-7,43%","41,03%","-2,90%","-0,22%","4,23%","2,56","52,32","51,32","1,09"
16,30/06/2020,"-23,80%","-19,50%","-36,05%","-29,55%","605,50%","-16,44%","40,32%","-7,57%","-4,40%","0,57%","2,17","86,80","85,80","26,10"
17,31/03/2020,"-32,58%","-26,70%","-49,36%","-40,46%","725,78%","-19,71%","40,35%","-9,85%","-6,54%","-1,58%","2,00","18,48","17,48","-8,84"
18,31/12/2019,NA,NA,NA,NA,NA,NA,"40,78%","-9,39%","-6,44%","-1,74%",NA,"-36,83","-37,83","-10,59"
