,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 2,24 B","R$ 768,75 M","R$ 84,63 M","- R$ 260,88 M","R$ 345,50 M","- R$ 64,90 M","- R$ 0,23",178
1,31/03/2024,"R$ 2,24 B","R$ 774,11 M","R$ 78,77 M","- R$ 238,99 M","R$ 317,76 M","- R$ 52,62 M","- R$ 0,18",178
2,31/12/2023,"R$ 2,23 B","R$ 770,60 M","R$ 79,06 M","- R$ 228,07 M","R$ 307,13 M","- R$ 82,00 M","- R$ 0,29",178
3,30/09/2023,"R$ 2,34 B","R$ 775,26 M","R$ 311,05 M","- R$ 245,26 M","R$ 556,31 M","R$ 116,86 M","R$ 0,41",178
4,30/06/2023,"R$ 2,33 B","R$ 755,83 M","R$ 278,18 M","- R$ 251,89 M","R$ 530,07 M","R$ 95,98 M","R$ 0,34",178
5,31/03/2023,"R$ 2,28 B","R$ 720,81 M","R$ 263,77 M","- R$ 236,04 M","R$ 499,81 M","R$ 56,14 M","R$ 0,20",178
6,31/12/2022,"R$ 2,24 B","R$ 693,90 M","R$ 263,66 M","- R$ 225,34 M","R$ 489,00 M","R$ 72,67 M","R$ 0,25",178
7,30/09/2022,"R$ 2,31 B","R$ 745,92 M","R$ 22,11 M","- R$ 115,12 M","R$ 137,23 M","- R$ 91,68 M","- R$ 0,32",178
8,30/06/2022,"R$ 2,19 B","R$ 698,05 M","R$ 22,55 M","- R$ 110,36 M","R$ 132,91 M","- R$ 91,65 M","- R$ 0,32",178
9,31/03/2022,"R$ 2,02 B","R$ 642,58 M","R$ 26,88 M","- R$ 123,32 M","R$ 150,20 M","- R$ 65,73 M","- R$ 0,23",178
10,31/12/2021,"R$ 1,85 B","R$ 588,68 M","- R$ 3,23 M","- R$ 102,85 M","R$ 99,62 M","- R$ 80,45 M","- R$ 0,28",178
