,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_fcf,preco_ativo_total,preco_ebit,preco_capital_giro,ev_ebit,ev_ebitda,preco_ncav,ev_receita_liquida,ev_fcf,ev_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 08/11/2024,"-5,82","0,36","0,17","4,51","-7,43","0,14","4,47","-55,92","8,61","2,11","-0,23","0,33","-14,32","0,27","R$ 378,01 M","0,00%"
1,30/06/2024,"-7,28","0,45","0,21","5,64","-9,29","0,18","5,58","-69,90","9,72","2,38","-0,29","0,37","-16,18","0,31","R$ 472,51 M","0,00%"
2,31/03/2024,"-8,27","0,43","0,19","6,05","-6,92","0,16","5,53","24,44","9,74","2,41","-0,27","0,34","-12,20","0,29","R$ 435,28 M","0,00%"
3,31/12/2023,"-7,37","0,59","0,27","5,72","-22,28","0,22","7,64","-14,13","11,45","2,95","-0,34","0,41","-33,36","0,33","R$ 604,24 M","0,00%"
4,30/09/2023,"4,31","0,45","0,22","-34,84","-2,91","0,18","1,62","-5,53","2,64","1,48","-0,29","0,35","-4,75","0,30","R$ 504,01 M","0,00%"
5,30/06/2023,"7,79","0,69","0,32","-9,94","-3,41","0,29","2,69","-5,58","3,98","2,09","-0,45","0,48","-5,06","0,42","R$ 747,42 M","0,00%"
6,31/03/2023,"11,73","0,62","0,29","-7,88","-3,02","0,25","2,50","-7,12","3,73","1,97","-0,38","0,43","-4,52","0,37","R$ 658,65 M","0,00%"
7,31/12/2022,"7,57","0,49","0,25","-7,53","-2,95","0,19","2,09","-9,94","3,52","1,90","-0,29","0,41","-4,99","0,31","R$ 549,83 M","0,00%"
8,30/09/2022,"-6,53","0,56","0,26","15,12","-5,41","0,21","27,07","-4,17","40,24","6,48","-0,32","0,39","-8,04","0,32","R$ 598,51 M","0,00%"
9,30/06/2022,"-6,31","0,55","0,26","5,10","-10,31","0,20","25,65","-10,05","39,10","6,63","-0,31","0,40","-15,72","0,31","R$ 578,47 M","0,00%"
10,31/03/2022,"-9,58","0,62","0,31","4,61","-28,56","0,23","23,44","5,45","34,43","6,16","-0,39","0,46","-41,96","0,34","R$ 630,01 M","0,00%"
11,31/12/2021,"-10,64","0,76","0,46","6,83","-21,97","0,29","-264,93","5,13","-349,99","11,36","-0,52","0,61","-29,02","0,38","R$ 856,24 M","0,00%"
12,30/09/2021,"-11,56","0,78","0,55","10,72","-67,70","0,30","-41,38","2,56","-49,26","6,86","-0,62","0,65","-80,60","0,36","R$ 904,93 M","0,00%"
13,30/06/2021,"-13,25","0,90","0,74","27,93","-29,06","0,38","-18,13","3,20","-20,80","10,25","-0,85","0,85","-33,34","0,44","R$ 1,05 B","0,00%"
14,31/03/2021,"-2,07","0,86","0,90","-19,30","-7,30","0,36","-1,78","3,53","-2,11","-3,10","-0,75","1,07","-8,66","0,43","R$ 999,43 M","0,00%"
15,31/12/2020,"-2,30","0,92","0,94","-12,49","-5,66","0,40","-1,95","3,35","-2,20","-3,24","-0,87","1,06","-6,37","0,44","R$ 1,09 B","0,00%"
16,30/09/2020,"-2,20","0,81","0,82","-199,31","-7,71","0,38","-1,95","3,23","-2,03","-2,91","-0,90","0,85","-8,00","0,39","R$ 1,01 B","0,00%"
17,30/06/2020,"-1,66","0,83","0,53","16,07","-6,47","0,30","-1,53","-7,03","-2,31","-2,92","-0,44","0,81","-9,76","0,45","R$ 724,90 M","0,00%"
18,31/03/2020,"-13,76","0,60","0,46","5,83","-24,18","0,27","98,40","-2,10","135,07","12,90","-0,39","0,63","-33,19","0,37","R$ 742,54 M","0,00%"
19,31/12/2019,"-41,06","0,57","0,41","3,81","16,80","0,24","13,16","10,61","17,79","6,72","-0,44","0,55","22,71","0,33","R$ 650,45 M","0,35%"
20,30/09/2019,"144,68","1,21","0,74","9,48","50,52","0,54","26,18","4,25","29,58","10,66","-1,26","0,84","57,09","0,61","R$ 1,16 B","9,24%"
21,30/06/2019,"352,32","1,72","0,99","14,03","38,99","0,81","41,89","12,88","45,80","11,31","-1,71","1,08","42,64","0,88","R$ 1,57 B","6,81%"
22,31/03/2019,"189,81","1,31","0,76","13,59","74,53","0,60","37,55","9,48","42,20","10,39","-1,25","0,85","83,76","0,67","R$ 1,20 B","8,93%"
23,31/12/2018,"136,91","1,06","0,68","14,16","194,28","0,66","42,95","13,19","44,11","10,56","-2,00","0,70","199,52","0,68","R$ 1,08 B","9,81%"
24,30/09/2018,"-165,49","1,04","0,69","16,70","-138,79","0,70","39,96","8,61","40,45","10,30","-2,81","0,70","-140,50","0,71","R$ 1,08 B","0,08%"
25,30/06/2018,"590,68","1,17","0,79","22,59","-71,67","0,78","39,49","8,97","40,08","11,32","-3,26","0,80","-72,73","0,80","R$ 1,21 B","4,20%"
26,31/03/2018,"95,59","1,37","0,91","18,49","71,38","0,92","39,68","10,67","39,71","12,11","-3,80","0,91","71,44","0,92","R$ 1,37 B","3,71%"
27,31/12/2017,"381,58","1,40","0,94","20,05","102,39","0,92","48,56","10,94","48,14","12,54","-3,60","0,93","101,49","0,92","R$ 1,40 B","3,57%"
28,30/09/2017,"-39,49","1,81","1,21","22,30","72,47","1,27","-156,37","18,98","-153,50","23,61","-5,47","1,18","71,14","1,25","R$ 1,80 B","2,78%"
29,30/06/2017,"-23,92","1,29","0,89","15,44","40,99","0,91","-48,15","12,31","-45,87","20,44","-4,12","0,85","39,04","0,87","R$ 1,33 B","0,00%"
30,31/03/2017,"-16,27","1,13","0,76","17,03","391,07","0,79","-24,30","11,39","-23,29","24,20","-3,41","0,73","374,83","0,76","R$ 1,14 B","0,00%"
31,31/12/2016,"-14,16","1,05","0,70","14,33","74,40","0,72","-22,06","10,78","-20,82","22,03","-2,91","0,66","70,22","0,68","R$ 1,08 B","0,00%"
32,30/09/2016,"-11,84","0,86","0,60","23,64","-219,88","0,61","-15,16","6,40","-14,01","25,43","-3,16","0,56","-203,11","0,57","R$ 957,56 M","0,00%"
33,30/06/2016,"-9,12","0,87","0,58","31,74","-59,47","0,60","-12,96","6,58","-12,37","28,43","-2,78","0,56","-56,74","0,57","R$ 949,23 M","0,00%"
34,31/03/2016,"-5,78","0,63","0,43","19,62","-354,18","0,41","-8,81","3,22","-8,00","24,01","-1,92","0,39","-321,71","0,37","R$ 709,42 M","0,00%"
35,31/12/2015,"-3,70","0,31","0,23","8,82","64,65","0,16","-5,31","0,94","-6,34","11,78","-0,57","0,27","77,19","0,20","R$ 365,81 M","0,00%"
36,30/09/2015,"-9,77","0,42","0,25","3,60","5,41","0,19","75,24","-4,06","169,57","7,49","-0,33","0,55","12,19","0,44","R$ 417,34 M","0,00%"
37,30/06/2015,"-21,96","0,71","0,52","6,45","9,94","0,34","-3.108,33","-5,18","-5.162,59","12,41","-0,57","0,87","16,52","0,56","R$ 658,97 M","0,00%"
38,31/03/2015,"-82,51","0,70","0,80","8,13","18,05","0,33","51,63","-5,74","86,73","15,01","-0,56","1,34","30,32","0,56","R$ 675,86 M","0,00%"
39,31/12/2014,"-67,86","0,61","1,19","8,79","29,09","0,30","113,42","-7,98","193,69","22,63","-0,53","2,03","49,67","0,50","R$ 557,59 M","0,00%"
40,30/09/2014,"36,17","2,95","1,38","7,86","33,23","1,10","15,47","-15,21","17,54","9,28","-1,57","1,57","37,68","1,24","R$ 452,34 M","0,00%"
41,30/06/2014,"25,74","2,98","1,43","14,57","-42,73","1,16","12,33","-16,58","14,13","8,47","-1,71","1,64","-48,97","1,33","R$ 452,34 M","0,00%"
42,31/03/2014,"20,76","3,05","1,48","16,44","-198,22","1,17","11,14","-45,50","12,63","8,15","-1,82","1,68","-224,66","1,32","R$ 452,34 M","0,00%"
43,31/12/2013,"17,23","2,87","1,54","13,16","43,18","1,15","10,13","23,41","11,00","7,41","-2,10","1,67","46,88","1,25","R$ 452,34 M","0,00%"
44,31/12/2012,"16,42","3,36","1,78","16,46","26,70","1,78","9,60","-34,77","10,07","7,01","-3,42","1,87","28,01","1,87","R$ 452,34 M","0,00%"
45,31/12/2011,"39,52","4,20","2,15","10,97","14,72","1,82","15,12","-27,08","16,42","9,50","-2,87","2,34","15,99","1,98","R$ 446,40 M","0,00%"
