,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 2,46 B","R$ 1,17 B","R$ 5,67",206.269.341,0,0,206.269.341,2.308.417,0,0,2.308.417,203.960.924,0,203.960.924,103
1,31/03/2024,"R$ 2,45 B","R$ 1,24 B","R$ 6,00",206.269.341,0,0,206.269.341,3.550.937,0,0,3.550.937,202.718.404,0,202.718.404,103
2,31/12/2023,"R$ 2,42 B","R$ 1,21 B","R$ 5,84",206.269.341,0,0,206.269.341,3.550.937,0,0,3.550.937,202.718.404,0,202.718.404,103
3,30/09/2023,"R$ 2,43 B","R$ 1,17 B","R$ 5,68",206.269.341,0,0,206.269.341,3.550.937,0,0,3.550.937,202.718.404,0,202.718.404,103
4,30/06/2023,"R$ 2,40 B","R$ 1,20 B","R$ 5,79",206.269.341,0,0,206.269.341,3.550.337,0,0,3.550.337,202.719.004,0,202.719.004,103
5,31/03/2023,"R$ 2,32 B","R$ 1,23 B","R$ 5,96",206.269.341,0,0,206.269.341,4.084.900,0,0,4.084.900,202.184.441,0,202.184.441,103
6,31/12/2022,"R$ 2,30 B","R$ 1,21 B","R$ 5,80",207.969.341,0,0,207.969.341,5.784.900,0,0,5.784.900,202.184.441,0,202.184.441,103
7,30/09/2022,"R$ 2,20 B","R$ 1,20 B","R$ 5,76",207.969.341,0,0,207.969.341,5.784.900,0,0,5.784.900,202.184.441,0,202.184.441,103
8,30/06/2022,"R$ 2,06 B","R$ 1,18 B","R$ 5,69",207.969.341,0,0,207.969.341,5.784.900,0,0,5.784.900,202.184.441,0,202.184.441,103
9,31/03/2022,"R$ 1,99 B","R$ 1,18 B","R$ 5,51",207.969.341,5.784.900,5.784.900,213.754.241,0,0,0,0,207.969.341,5.784.900,213.754.241,103
10,31/12/2021,"R$ 1,95 B","R$ 1,16 B","R$ 5,55",207.969.341,0,0,207.969.341,5.784.900,0,0,5.784.900,202.184.441,0,202.184.441,103
11,30/09/2021,"R$ 1,97 B","R$ 1,18 B","R$ 5,66",207.969.341,0,0,207.969.341,5.784.900,0,0,5.784.900,202.184.441,0,202.184.441,103
12,30/06/2021,"R$ 1,85 B","R$ 1,16 B","R$ 5,59",207.969.341,0,0,207.969.341,4.783.600,0,0,4.783.600,203.185.741,0,203.185.741,103
13,31/03/2021,"R$ 1,84 B","R$ 1,16 B","R$ 5,59",207.969.341,0,0,207.969.341,2.824.100,0,0,2.824.100,205.145.241,0,205.145.241,103
14,31/12/2020,"R$ 1,79 B","R$ 1,16 B","R$ 5,59",207.969.341,0,0,207.969.341,0,0,0,0,207.969.341,0,207.969.341,103
15,30/09/2020,"R$ 1,98 B","R$ 1,16 B","R$ 5,57",207.969.341,0,0,207.969.341,0,0,0,0,207.969.341,0,207.969.341,103
16,30/06/2020,"R$ 1,46 B","R$ 536,82 M","R$ 4,68",114.723.940,0,0,114.723.940,0,0,0,0,114.723.940,0,114.723.940,103
17,31/03/2020,"R$ 1,29 B","R$ 513,99 M","R$ 4,57",112.586.770,0,0,112.586.770,0,0,0,0,112.586.770,0,112.586.770,103
18,31/12/2019,"R$ 1,22 B","R$ 447,83 M","R$ 9,05",49.475.176,0,0,49.475.176,0,0,0,0,49.475.176,0,49.475.176,103
