,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 9,01 B","R$ 2,78 B","R$ 331,72 M","- R$ 323,27 M","R$ 654,99 M","R$ 23,61 M","R$ 0,03",12
1,31/03/2024,"R$ 9,24 B","R$ 2,76 B","R$ 362,19 M","- R$ 322,67 M","R$ 684,86 M","R$ 27,93 M","R$ 0,00",12
2,31/12/2023,"R$ 10,55 B","R$ 3,19 B","R$ 243,17 M","- R$ 305,42 M","R$ 548,58 M","R$ 212,19 M","R$ 0,03",12
3,30/09/2023,"R$ 8,58 B","R$ 2,02 B","- R$ 595,72 M","- R$ 309,67 M","- R$ 286,05 M","- R$ 498,33 M","- R$ 0,07",12
4,30/06/2023,"R$ 8,57 B","R$ 2,47 B","- R$ 35,92 M","- R$ 319,80 M","R$ 283,88 M","- R$ 301,75 M","- R$ 0,04",12
5,31/03/2023,"R$ 9,07 B","R$ 2,48 B","R$ 16,33 M","- R$ 307,80 M","R$ 324,13 M","- R$ 391,22 M","- R$ 0,06",12
6,31/12/2022,"R$ 11,17 B","R$ 3,10 B","R$ 287,80 M","- R$ 354,47 M","R$ 642,27 M","- R$ 35,91 M","- R$ 0,01",12
7,30/09/2022,"R$ 8,81 B","R$ 2,45 B","R$ 222,74 M","- R$ 273,31 M","R$ 496,06 M","- R$ 166,76 M","- R$ 0,02",12
8,30/06/2022,"R$ 8,56 B","R$ 2,45 B","R$ 186,65 M","- R$ 270,79 M","R$ 457,43 M","- R$ 135,00 M","- R$ 0,02",12
9,31/03/2022,"R$ 8,76 B","R$ 2,43 B","R$ 74,45 M","- R$ 265,06 M","R$ 339,51 M","- R$ 161,30 M","- R$ 0,02",12
10,31/12/2021,"R$ 9,40 B","R$ 2,37 B","- R$ 234,02 M","- R$ 226,14 M","- R$ 7,89 M","R$ 92,97 M","R$ 0,01",12
11,30/09/2021,"R$ 8,61 B","R$ 1,73 B","- R$ 73,05 M","- R$ 207,80 M","R$ 134,75 M","R$ 143,52 M","R$ 0,02",12
12,30/06/2021,"R$ 9,01 B","R$ 2,31 B","R$ 260,41 M","- R$ 204,70 M","R$ 465,11 M","R$ 95,54 M","R$ 0,01",12
13,31/03/2021,"R$ 8,25 B","R$ 2,07 B","R$ 517,26 M","- R$ 178,33 M","R$ 695,59 M","R$ 258,64 M","R$ 0,04",12
14,31/12/2020,"R$ 10,07 B","R$ 2,49 B","R$ 318,43 M","- R$ 186,24 M","R$ 504,67 M","R$ 219,49 M","R$ 0,03",12
15,30/09/2020,"R$ 8,31 B","R$ 2,18 B","R$ 376,88 M","- R$ 169,19 M","R$ 546,07 M","R$ 205,96 M","R$ 0,03",12
16,30/06/2020,"R$ 5,57 B","R$ 1,44 B","- R$ 28,51 M","- R$ 172,26 M","R$ 143,74 M","- R$ 64,54 M","- R$ 0,04",12
17,31/03/2020,"R$ 5,23 B","R$ 1,42 B","R$ 157,78 M","- R$ 174,84 M","R$ 332,62 M","R$ 30,80 M","R$ 0,02",12
18,31/12/2019,"R$ 6,39 B","R$ 1,83 B","R$ 376,76 M","- R$ 122,29 M","R$ 499,05 M","R$ 168,00 M","R$ 0,10",12
19,30/09/2019,"R$ 4,86 B","R$ 1,42 B","R$ 337,28 M","- R$ 163,91 M","R$ 501,19 M","R$ 235,10 M","R$ 0,15",12
