,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 5,17 B","R$ 3,09 B","R$ 3,77",820.539.225,0,0,820.539.225,11.676.585,0,0,11.676.585,808.862.640,0,808.862.640
1,31/03/2024,"R$ 5,23 B","R$ 3,15 B","R$ 3,84",820.539.225,0,0,820.539.225,7.891.885,0,0,7.891.885,812.647.340,0,812.647.340
2,31/12/2023,"R$ 5,46 B","R$ 3,22 B","R$ 3,92",820.539.225,0,0,820.539.225,7.891.885,0,0,7.891.885,812.647.340,0,812.647.340
3,30/09/2023,"R$ 5,82 B","R$ 3,54 B","R$ 4,32",820.539.225,0,0,820.539.225,7.891.885,0,0,7.891.885,812.647.340,0,812.647.340
4,30/06/2023,"R$ 6,52 B","R$ 3,75 B","R$ 4,58",820.539.225,0,0,820.539.225,7.891.885,0,0,7.891.885,812.647.340,0,812.647.340
5,31/03/2023,"R$ 6,57 B","R$ 3,71 B","R$ 4,52",820.539.225,0,0,820.539.225,7.891.885,0,0,7.891.885,812.647.340,0,812.647.340
6,31/12/2022,"R$ 6,88 B","R$ 4,05 B","R$ 4,94",820.539.225,0,0,820.539.225,7.981.885,0,0,7.981.885,812.557.340,0,812.557.340
7,30/09/2022,"R$ 6,89 B","R$ 4,26 B","R$ 5,19",820.539.226,0,0,820.539.226,7.891.884,0,0,7.891.884,812.647.342,0,812.647.342
8,30/06/2022,"R$ 6,37 B","R$ 4,19 B","R$ 5,11",820.539.225,0,0,820.539.225,7.891.885,0,0,7.891.885,812.647.340,0,812.647.340
9,31/03/2022,"R$ 6,34 B","R$ 4,18 B","R$ 5,09",820.539.225,0,0,820.539.225,0,0,0,0,820.539.225,0,820.539.225
10,31/12/2021,"R$ 6,68 B","R$ 4,01 B","R$ 4,89",820.539.225,0,0,820.539.225,7.891.885,0,0,7.891.885,812.647.340,0,812.647.340
11,30/09/2021,"R$ 7,59 B","R$ 3,91 B","R$ 4,77",820.539.226,0,0,820.539.226,7.891.884,0,0,7.891.884,812.647.342,0,812.647.342
12,30/06/2021,"R$ 5,34 B","R$ 1,83 B","R$ 8,47",205.271.563,10.803.766,10.803.766,216.075.329,2.999.640,0,0,2.999.640,202.271.923,10.803.766,213.075.689
13,31/03/2021,"R$ 5,46 B","R$ 1,73 B","R$ 8,01",205.271.563,10.803.766,10.803.766,216.075.329,2.999.640,0,0,2.999.640,202.271.923,10.803.766,213.075.689
14,31/12/2020,"R$ 4,69 B","R$ 1,52 B","R$ 7,05",205.271.563,10.803.766,10.803.766,216.075.329,5.033.306,0,0,5.033.306,200.238.257,10.803.766,211.042.023
