,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 1,39 B","R$ 156,51 M","R$ 15,78",9.921.040,0,0,9.921.040,3.080,0,0,3.080,9.917.960,0,9.917.960
1,31/03/2024,"R$ 1,36 B","R$ 151,93 M","R$ 61,26",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
2,31/12/2023,"R$ 1,35 B","R$ 146,65 M","R$ 59,13",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
3,30/09/2023,"R$ 1,32 B","R$ 155,89 M","R$ 62,85",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
4,30/06/2023,"R$ 1,29 B","R$ 170,06 M","R$ 68,56",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
5,31/03/2023,"R$ 1,28 B","R$ 160,19 M","R$ 64,59",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
6,31/12/2022,"R$ 1,29 B","R$ 158,48 M","R$ 63,90",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
7,30/09/2022,"R$ 1,30 B","- R$ 752,80 M","- R$ 303,52",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
8,30/06/2022,"R$ 1,27 B","- R$ 738,90 M","- R$ 297,91",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
9,31/03/2022,"R$ 1,26 B","- R$ 740,80 M","- R$ 298,68",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
10,31/12/2021,"R$ 1,25 B","- R$ 724,01 M","- R$ 291,91",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
11,30/09/2021,"R$ 1,22 B","- R$ 115,40 M","- R$ 46,53",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
12,30/06/2021,"R$ 1,17 B","- R$ 128,97 M","- R$ 52,00",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
13,31/03/2021,"R$ 1,14 B","- R$ 140,66 M","- R$ 56,71",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
14,31/12/2020,"R$ 1,11 B","- R$ 152,79 M","- R$ 61,60",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
15,30/09/2020,"R$ 1,07 B","- R$ 156,17 M","- R$ 62,96",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
16,30/06/2020,"R$ 1,02 B","- R$ 161,72 M","- R$ 65,20",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
17,31/03/2020,"R$ 1,05 B","- R$ 146,32 M","- R$ 58,99",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
18,31/12/2019,"R$ 1,04 B","- R$ 145,32 M","- R$ 58,59",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
19,30/09/2019,"R$ 1,02 B","- R$ 142,27 M","- R$ 57,36",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
20,30/06/2019,"R$ 1,02 B","- R$ 139,08 M","- R$ 56,07",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
21,31/03/2019,"R$ 1,01 B","- R$ 134,22 M","- R$ 54,11",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
22,31/12/2018,"R$ 1,02 B","- R$ 134,68 M","- R$ 54,30",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
23,30/09/2018,"R$ 1,02 B","- R$ 138,09 M","- R$ 55,68",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
24,30/06/2018,"R$ 990,05 M","- R$ 137,59 M","- R$ 55,47",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
25,31/03/2018,"R$ 972,27 M","- R$ 138,38 M","- R$ 55,79",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
26,31/12/2017,"R$ 977,89 M","- R$ 139,22 M","- R$ 56,13",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
27,30/09/2017,"R$ 956,92 M","- R$ 94,40 M","- R$ 38,06",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
28,30/06/2017,"R$ 944,58 M","- R$ 86,50 M","- R$ 34,88",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
29,31/03/2017,"R$ 945,22 M","- R$ 69,51 M","- R$ 28,02",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
30,31/12/2016,"R$ 952,14 M","- R$ 60,48 M","- R$ 24,38",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
31,30/09/2016,"R$ 964,41 M","- R$ 54,04 M","- R$ 21,79",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
32,30/06/2016,"R$ 886,16 M","- R$ 73,25 M","- R$ 29,53",2.480.260,0,0,2.480.260,780,0,0,780,2.479.480,0,2.479.480
