,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"- R$ 831,94 M","- R$ 67,50 M","R$ 1,10 B","R$ 199,57 M"
1,31/03/2024,"- R$ 877,58 M","- R$ 30,90 M","R$ 1,25 B","R$ 341,88 M"
2,31/12/2023,"- R$ 2,37 B","- R$ 34,13 M","R$ 2,19 B","- R$ 223,45 M"
3,30/09/2023,"R$ 873,11 M","- R$ 52,97 M","- R$ 950,67 M","- R$ 130,53 M"
4,30/06/2023,"R$ 2,04 B","R$ 55,74 M","- R$ 2,09 B","R$ 393,00 mil"
5,31/03/2023,"R$ 2,69 B","- R$ 240,68 M","- R$ 2,52 B","- R$ 64,78 M"
6,31/12/2022,"- R$ 590,38 M","- R$ 317,50 M","R$ 1,06 B","R$ 149,93 M"
7,30/09/2022,"- R$ 3,76 B","- R$ 58,94 M","R$ 3,30 B","- R$ 517,81 M"
8,30/06/2022,"- R$ 616,16 M","- R$ 75,34 M","R$ 707,62 M","R$ 16,13 M"
9,31/03/2022,"R$ 794,08 M","- R$ 54,97 M","R$ 18,38 M","R$ 757,49 M"
10,31/12/2021,"- R$ 4,76 B","- R$ 38,24 M","R$ 300,14 M","- R$ 4,50 B"
11,30/09/2021,"- R$ 1,39 B","- R$ 11,56 M","R$ 3,23 B","R$ 1,83 B"
12,30/06/2021,"R$ 1,18 B","R$ 1,94 M","R$ 750,94 M","R$ 1,93 B"
13,31/03/2021,"- R$ 3,30 B","- R$ 57,44 M","R$ 4,17 B","R$ 817,90 M"
14,31/12/2020,"- R$ 377,19 M","- R$ 14,82 M","R$ 132,76 M","- R$ 259,24 M"
15,30/09/2020,"R$ 15,86 M","- R$ 21,92 M","R$ 46,54 M","R$ 40,47 M"
16,30/06/2020,"- R$ 375,63 M","- R$ 17,60 M","R$ 441,42 M","R$ 48,19 M"
17,31/03/2020,"R$ 102,71 M","- R$ 21,95 M","R$ 86,24 M","R$ 166,99 M"
18,31/12/2019,"R$ 176,90 M","- R$ 21,55 M","- R$ 211,98 M","- R$ 56,63 M"
19,30/09/2019,"- R$ 604,45 M","- R$ 19,91 M","R$ 427,17 M","- R$ 197,18 M"
20,30/06/2019,"- R$ 512,23 M","- R$ 28,84 M","R$ 708,64 M","R$ 167,58 M"
21,31/03/2019,"- R$ 192,94 M","- R$ 21,56 M","R$ 113,48 M","- R$ 101,02 M"
22,31/12/2018,"- R$ 79,66 M","- R$ 16,52 M","R$ 197,28 M","R$ 101,10 M"
23,30/09/2018,"- R$ 188,87 M","- R$ 20,78 M","- R$ 157,74 M","- R$ 367,40 M"
24,30/06/2018,"- R$ 616,80 M","- R$ 7,42 M","R$ 854,53 M","R$ 230,31 M"
25,31/03/2018,"- R$ 133,44 M","- R$ 5,77 M","R$ 23,30 M","- R$ 115,91 M"
26,31/12/2017,"- R$ 75,14 M","- R$ 7,45 M","R$ 172,62 M","R$ 90,03 M"
27,30/09/2017,"- R$ 524,42 M","- R$ 3,38 M","R$ 597,33 M","R$ 69,54 M"
28,30/06/2017,"- R$ 38,61 M","- R$ 5,15 M","R$ 98,82 M","R$ 55,06 M"
29,31/03/2017,"- R$ 382,31 M","- R$ 2,11 M","R$ 527,59 M","R$ 143,18 M"
30,31/12/2016,"R$ 113,18 M","R$ 51,75 M","- R$ 176,70 M","- R$ 11,77 M"
31,30/09/2016,"- R$ 26,04 M","- R$ 69,11 M","R$ 87,48 M","- R$ 7,67 M"
32,30/06/2016,"- R$ 190,97 M","- R$ 8,37 M","- R$ 42,04 M","- R$ 241,38 M"
33,31/03/2016,"- R$ 100,61 M","- R$ 6,25 M","- R$ 39,32 M","- R$ 146,18 M"
34,31/12/2015,"- R$ 446,09 M","R$ 305,31 M","R$ 294,80 M","R$ 154,02 M"
35,30/09/2015,"R$ 371,77 M","- R$ 30,78 M","- R$ 68,01 M","R$ 272,99 M"
36,30/06/2015,"R$ 158,88 M","- R$ 162,28 M","R$ 16,67 M","R$ 13,26 M"
37,31/03/2015,"R$ 124,07 M","- R$ 154,24 M","R$ 34,94 M","R$ 4,77 M"
38,31/12/2014,NA,NA,NA,NA
