,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao,ticker
0,30/06/2024,"R$ 289,63 M","R$ 68,87 M","R$ 23,51 M","- R$ 6,36 M","R$ 29,87 M","R$ 12,32 M","R$ 0,12",161
1,31/03/2024,"R$ 245,57 M","R$ 53,22 M","R$ 5,54 M","- R$ 6,29 M","R$ 11,83 M","R$ 1,07 M","R$ 0,01",161
2,31/12/2023,"R$ 278,71 M","R$ 54,45 M","R$ 25,61 M","- R$ 2,17 M","R$ 27,78 M","R$ 12,57 M","R$ 0,12",161
3,30/09/2023,"R$ 276,55 M","R$ 53,91 M","R$ 14,95 M","- R$ 2,01 M","R$ 16,95 M","R$ 3,53 M","R$ 0,03",161
4,30/06/2023,"R$ 180,48 M","R$ 30,62 M","R$ 43,10 M","- R$ 2,01 M","R$ 45,10 M","R$ 56,07 M","R$ 0,53",161
5,31/03/2023,"R$ 190,65 M","R$ 45,15 M","R$ 20,58 M","- R$ 1,91 M","R$ 22,49 M","R$ 18,86 M","R$ 0,18",161
6,31/12/2022,"R$ 263,43 M","R$ 69,55 M","R$ 17,60 M","- R$ 1,81 M","R$ 19,41 M","R$ 9,59 M","R$ 0,09",161
7,30/09/2022,"R$ 171,43 M","R$ 50,55 M","R$ 7,14 M","- R$ 174,00 mil","R$ 7,31 M","R$ 13,09 M","R$ 0,12",161
8,30/06/2022,"R$ 185,24 M","R$ 54,13 M","R$ 10,34 M","- R$ 1,65 M","R$ 11,99 M","R$ 4,74 M","R$ 0,04",161
9,31/03/2022,"R$ 138,54 M","R$ 47,20 M","R$ 14,24 M","- R$ 1,72 M","R$ 15,95 M","R$ 7,41 M","R$ 0,07",161
10,31/12/2021,"R$ 170,14 M","R$ 54,71 M","R$ 9,11 M","- R$ 1,18 M","R$ 10,29 M","R$ 11,22 M","R$ 0,11",161
11,30/09/2021,"R$ 154,12 M","R$ 56,53 M","R$ 12,78 M","- R$ 1,43 M","R$ 14,20 M","R$ 4,64 M","R$ 0,04",161
12,30/06/2021,"R$ 164,66 M","R$ 57,09 M","R$ 20,20 M","- R$ 1,35 M","R$ 21,55 M","R$ 20,40 M","R$ 0,19",161
13,31/03/2021,"R$ 85,07 M","R$ 27,39 M","- R$ 1,61 M","- R$ 1,08 M","- R$ 534,00 mil","- R$ 11,94 M","- R$ 0,11",161
14,31/12/2020,"R$ 154,76 M","R$ 52,64 M","R$ 11,16 M","R$ 609,00 mil","R$ 10,56 M","R$ 22,24 M","R$ 0,21",161
15,30/09/2020,"R$ 143,40 M","R$ 52,51 M","R$ 27,74 M","- R$ 1,76 M","R$ 29,51 M","R$ 22,54 M","R$ 0,21",161
16,30/06/2020,"R$ 65,08 M","R$ 20,74 M","R$ 2,39 M","- R$ 608,00 mil","R$ 2,99 M","R$ 9,95 M","R$ 0,09",161
17,31/03/2020,"R$ 48,01 M","R$ 13,87 M","- R$ 3,23 M","- R$ 479,00 mil","- R$ 2,75 M","- R$ 6,42 M","- R$ 0,06",161
18,31/12/2019,"R$ 122,10 M","R$ 33,49 M","R$ 8,65 M","- R$ 672,00 mil","R$ 9,32 M","R$ 5,24 M","R$ 0,09",161
19,30/09/2019,"R$ 60,72 M","R$ 22,97 M","R$ 8,64 M","- R$ 99,00 mil","R$ 8,74 M","R$ 5,56 M","R$ 0,10",161
20,30/06/2019,"R$ 82,20 M","R$ 26,44 M","R$ 17,97 M","- R$ 368,00 mil","R$ 18,34 M","R$ 15,89 M","R$ 0,61",161
21,31/03/2019,"R$ 46,85 M","R$ 16,34 M","R$ 6,93 M","- R$ 400,00 mil","R$ 7,33 M","R$ 5,26 M","R$ 0,20",161
22,31/12/2018,,,,,,,,161
