,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield,ticker
0,Atual - 19/09/2024,"6,88","0,79","0,75","4,61","0,63","R$ 516,18 M","4,89%",307
1,30/06/2024,"7,21","0,83","0,78","4,83","0,66","R$ 372,60 M","4,67%",307
2,31/03/2024,"5,74","0,91","0,79","3,87","0,74","R$ 406,26 M","4,76%",307
3,31/12/2023,"4,94","0,97","0,75","2,93","0,78","R$ 431,40 M","7,06%",307
4,30/09/2023,"4,73","0,96","0,64","3,04","0,74","R$ 412,15 M","7,16%",307
5,30/06/2023,"4,88","1,10","0,63","3,63","0,84","R$ 460,85 M","6,19%",307
6,31/03/2023,"3,72","0,88","0,45","3,25","0,63","R$ 351,94 M","4,95%",307
7,31/12/2022,"4,12","0,99","0,47","4,67","0,71","R$ 377,96 M","6,14%",307
8,30/09/2022,"4,81","1,06","0,51","5,69","0,69","R$ 521,96 M","5,38%",307
9,30/06/2022,"5,20","1,02","0,49","11,28","0,65","R$ 476,92 M","5,30%",307
10,31/03/2022,"6,09","1,11","0,56","-180,48","0,78","R$ 491,67 M","5,37%",307
11,31/12/2021,"6,69","1,13","0,61","-9,14","0,76","R$ 486,79 M","6,64%",307
12,30/09/2021,"7,29","1,23","0,71","-17,83","0,84","R$ 500,73 M","5,21%",307
13,30/06/2021,"6,68","1,16","0,75","26,05","0,84","R$ 482,02 M","4,71%",307
14,31/03/2021,"5,17","1,21","0,85","6,49","0,84","R$ 439,89 M","4,90%",307
15,31/12/2020,"4,95","1,02","0,77","4,73","0,79","R$ 405,37 M","2,44%",307
16,30/09/2020,"5,29","0,92","0,78","4,87","0,67","R$ 391,04 M","2,85%",307
17,30/06/2020,"4,91","0,72","0,64","10,14","0,51","R$ 357,94 M","3,75%",307
18,31/03/2020,"10,16","0,57","0,47","37,75","0,42","R$ 222,05 M","2,64%",307
19,31/12/2019,"8,11","0,60","0,51","5,13","0,47","R$ 226,14 M","5,01%",307
20,30/09/2019,"11,67","0,76","0,64","5,24","0,55","R$ 193,28 M","5,25%",307
21,30/06/2019,"12,33","0,89","0,74","11,20","0,70","R$ 208,32 M","4,57%",307
22,31/03/2019,"9,51","0,71","0,60","7,37","0,56","R$ 208,00 M","5,77%",307
23,31/12/2018,"9,59","0,68","0,58","9,20","0,56","R$ 206,62 M","3,79%",307
24,30/09/2018,"7,57","0,58","0,51","186,17","0,43","R$ 145,93 M","3,69%",307
25,30/06/2018,"8,22","0,60","0,53","5,45","0,47","R$ 146,61 M","3,65%",307
26,31/03/2018,"10,34","0,69","0,62","7,07","0,55","R$ 164,93 M","3,27%",307
27,31/12/2017,"12,51","0,75","0,68","8,85","0,60","R$ 170,79 M","3,06%",307
28,30/09/2017,"12,10","0,67","0,65","10,00","0,53","R$ 184,56 M","3,42%",307
29,30/06/2017,"10,61","0,61","0,60","8,40","0,41","R$ 150,46 M","3,85%",307
30,31/03/2017,"8,32","0,48","0,46","5,83","0,35","R$ 118,44 M","4,90%",307
31,31/12/2016,"8,74","0,56","0,54","7,04","0,37","R$ 126,47 M","4,28%",307
32,30/09/2016,"6,64","0,42","0,41","2,57","0,27","R$ 111,45 M","5,61%",307
33,30/06/2016,"8,72","0,48","0,46","2,71","0,27","R$ 116,82 M","5,05%",307
34,31/03/2016,"5,89","0,40","0,39","2,14","0,22","R$ 128,57 M","6,11%",307
35,31/12/2015,"4,85","0,40","0,36","2,07","0,19","R$ 127,59 M","6,25%",307
36,30/09/2015,"4,74","0,43","0,39","2,64","0,20","R$ 132,02 M","8,51%",307
37,30/06/2015,"4,03","0,45","0,38","2,56","0,22","R$ 132,76 M","8,38%",307
38,31/03/2015,"4,72","0,51","0,42","3,36","0,24","R$ 141,71 M","10,10%",307
39,31/12/2014,"5,88","0,61","0,50","4,51","0,29","R$ 150,87 M","8,71%",307
40,30/09/2014,"6,84","0,75","0,61","5,14","0,35","R$ 167,53 M","6,97%",307
41,30/06/2014,"6,64","0,81","0,62","6,17","0,44","R$ 170,69 M","6,71%",307
42,31/03/2014,"6,87","0,88","0,65","6,59","0,46","R$ 177,36 M","6,23%",307
43,31/12/2013,"7,30","0,90","0,67","5,44","0,47","R$ 178,08 M","6,18%",307
44,30/09/2013,"8,59","0,99","0,77","9,24","0,53","R$ 189,74 M","5,50%",307
45,30/06/2013,"9,07","1,01","0,79","6,45","0,59","R$ 189,18 M","5,53%",307
46,31/03/2013,"11,00","1,22","0,97","7,31","0,78","R$ 209,78 M","4,62%",307
47,31/12/2012,"10,38","1,30","1,03","6,50","0,88","R$ 215,83 M","4,41%",307
48,30/09/2012,"9,66","1,14","0,94","5,84","0,74","R$ 200,84 M","4,45%",307
49,30/06/2012,"11,62","1,33","1,06","12,04","0,76","R$ 215,28 M","3,96%",307
50,31/03/2012,"12,21","1,29","1,05","10,39","0,76","R$ 209,17 M","4,16%",307
51,31/12/2011,"14,85","1,59","1,26","23,33","0,92","R$ 234,15 M","3,26%",307
52,30/09/2011,"15,15","1,62","1,31","14,19","0,90","R$ 239,15 M","3,11%",307
53,30/06/2011,"14,07","1,59","1,27","11,59","0,95","R$ 231,49 M","3,28%",307
54,31/03/2011,"14,11","1,71","1,33","16,49","1,04","R$ 409,32 M","3,08%",307
55,31/12/2010,"14,12","1,79","1,41","17,55","1,08","R$ 399,46 M","3,43%",307
56,30/09/2010,"9,40","1,36","1,10","24,96","0,79","R$ 315,92 M","4,00%",307
57,30/06/2010,"11,47","1,79","1,41","47,00","1,15","R$ 332,33 M","3,14%",307
58,31/03/2010,"11,29","1,87","1,52","34,65","1,26","R$ 309,49 M","3,14%",307
59,31/12/2009,"11,00","2,53","1,49","9,27","1,62","R$ 308,91 M","3,22%",307
60,30/09/2009,"10,59","2,48","1,35","11,08","1,76","R$ 306,59 M","2,93%",307
61,30/06/2009,"8,13","2,12","0,98","6,43","1,47","R$ 274,71 M","3,66%",307
62,31/03/2009,"7,27","2,20","0,90","4,95","1,31","R$ 271,87 M","3,75%",307
63,31/12/2008,"6,98","2,18","0,82","11,77","1,24","R$ 263,19 M","3,09%",307
