,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais.1,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria.1,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao,ticker
0,30/06/2024,"R$ 105,73 B","R$ 31,61 B","R$ 26,06",1.213.156.574,0,0,1.213.156.574,640.674,0,0,640.674,1.212.515.900,0,1.212.515.900,160
1,31/03/2024,"R$ 101,97 B","R$ 30,95 B","R$ 25,52",1.213.156.574,0,0,1.213.156.574,640.674,0,0,640.674,1.212.515.900,0,1.212.515.900,160
2,31/12/2023,"R$ 99,11 B","R$ 29,87 B","R$ 24,64",1.212.191.878,0,0,1.212.191.878,1.605.370,0,0,1.605.370,1.210.586.508,0,1.210.586.508,160
3,30/09/2023,"R$ 97,42 B","R$ 29,48 B","R$ 24,28",1.213.797.248,0,0,1.213.797.248,1.605.370,0,0,1.605.370,1.212.191.878,0,1.212.191.878,160
4,30/06/2023,"R$ 96,68 B","R$ 27,83 B","R$ 22,93",1.213.797.248,0,0,1.213.797.248,1.605.370,0,0,1.605.370,1.212.191.878,0,1.212.191.878,160
5,31/03/2023,"R$ 94,35 B","R$ 28,00 B","R$ 23,07",1.213.796.848,0,0,1.213.796.848,400,0,0,400,1.213.796.448,0,1.213.796.448,160
6,31/12/2022,"R$ 92,32 B","R$ 26,74 B","R$ 22,03",1.213.796.848,0,0,1.213.796.848,400,0,0,400,1.213.796.448,0,1.213.796.448,160
7,30/09/2022,"R$ 92,02 B","R$ 26,78 B","R$ 22,06",1.213.797.248,0,0,1.213.797.248,400,0,0,400,1.213.796.848,0,1.213.796.848,160
8,30/06/2022,"R$ 90,26 B","R$ 25,47 B","R$ 20,98",1.213.797.248,0,0,1.213.797.248,400,0,0,400,1.213.796.848,0,1.213.796.848,160
9,31/03/2022,"R$ 87,71 B","R$ 24,91 B","R$ 20,52",1.213.797.248,0,0,1.213.797.248,400,0,0,400,1.213.796.848,0,1.213.796.848,160
10,31/12/2021,"R$ 85,80 B","R$ 23,89 B","R$ 19,68",1.213.796.848,0,0,1.213.796.848,400,0,0,400,1.213.796.448,0,1.213.796.448,160
11,30/09/2021,"R$ 81,03 B","R$ 23,85 B","R$ 19,65",1.213.796.848,0,0,1.213.796.848,400,0,0,400,1.213.796.448,0,1.213.796.448,160
