,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 104,66 M","- R$ 45,74 M","- R$ 59,67 M","- R$ 749,00 mil",147
1,31/03/2024,"R$ 52,03 M","- R$ 33,84 M","- R$ 19,73 M","- R$ 1,54 M",147
2,31/12/2023,"R$ 121,42 M","- R$ 54,76 M","- R$ 62,89 M","R$ 3,78 M",147
3,30/09/2023,"R$ 159,34 M","- R$ 42,19 M","- R$ 120,00 M","- R$ 2,84 M",147
4,30/06/2023,"- R$ 7,14 M","R$ 9,59 M","R$ 0,00","R$ 2,45 M",147
5,31/03/2023,"R$ 140,93 M","- R$ 145,76 M","R$ 0,00","- R$ 4,83 M",147
6,31/12/2022,"R$ 249,27 M","- R$ 86,02 M","- R$ 160,71 M","R$ 2,54 M",147
7,30/09/2022,"R$ 53,25 M","- R$ 15,93 M","- R$ 43,60 M","- R$ 6,29 M",147
8,30/06/2022,"R$ 244,83 M","- R$ 161,97 M","- R$ 77,49 M","R$ 5,37 M",147
9,31/03/2022,"R$ 147,24 M","- R$ 91,43 M","- R$ 58,02 M","- R$ 2,21 M",147
10,31/12/2021,"R$ 108,20 M","- R$ 45,04 M","- R$ 65,45 M","- R$ 2,28 M",147
11,30/09/2021,"R$ 749,75 M","- R$ 401,46 M","- R$ 364,42 M","- R$ 16,13 M",147
12,30/06/2021,"- R$ 5,63 M","R$ 6,15 M","R$ 12,31 M","R$ 12,83 M",147
13,31/03/2021,"R$ 6,10 M","- R$ 6,53 M","- R$ 12,42 M","- R$ 12,85 M",147
14,31/12/2020,"R$ 216,13 M","- R$ 13,45 M","- R$ 192,79 M","R$ 9,89 M",147
15,30/09/2020,"R$ 45,18 M","- R$ 4,75 M","- R$ 48,94 M","- R$ 8,50 M",147
16,30/06/2020,"R$ 25,09 M","- R$ 9,01 M","- R$ 13,86 M","R$ 2,21 M",147
17,31/03/2020,"R$ 18,87 M","- R$ 5,42 M","- R$ 9,27 M","R$ 4,18 M",147
