,data,retorno_sem_capital_tangivel,retorno_sem_capital_investido,retorno_sem_capital_tangivel_pre_imposto,retorno_sem_capital_investido_pre_imposto,retorno_sem_patrimonio_liq_inicial,retorno_sem_ativo_inicial,margem_bruta,margem_liquida,margem_ebit,margem_ebitda,giro_ativo_inicial,alavancagem_financeira,passivo_patrimonio_liquido,divida_liquida_ebitda
0,30/09/2024,"4,34%","2,10%","6,58%","3,18%","36,73%","25,93%","31,87%","24,07%","2,07%","4,31%","1,08","1,81","0,81","-0,10"
1,30/06/2024,"1,18%","0,53%","1,79%","0,80%","38,61%","24,99%","30,83%","23,67%","0,49%","2,78%","1,06","1,92","0,92","-0,20"
2,31/03/2024,"1,43%","0,57%","2,16%","0,86%","42,45%","25,31%","31,23%","23,86%","0,48%","2,84%","1,06","1,57","0,57","-0,21"
3,31/12/2023,"0,00%","0,00%","0,00%","0,00%","43,19%","25,32%","30,90%","24,14%","0,00%","2,32%","1,05","1,56","0,56","-0,29"
4,30/09/2023,"86,46%","37,28%","131,00%","56,49%","45,81%","25,97%","61,36%","26,30%","32,07%","34,21%","0,99","1,42","0,42","-0,01"
5,30/06/2023,"81,61%","36,25%","123,65%","54,93%","42,48%","24,16%","60,81%","24,52%","31,17%","33,20%","0,99","1,54","0,54","-0,02"
6,31/03/2023,"61,76%","29,76%","93,58%","45,09%","35,93%","21,69%","58,42%","22,39%","27,77%","29,76%","0,97","1,68","0,68","-0,02"
7,31/12/2022,"70,19%","34,43%","106,35%","52,17%","40,52%","23,38%","61,50%","23,77%","30,15%","31,85%","0,98","1,71","0,71","-0,03"
8,30/09/2022,"74,19%","33,15%","112,41%","50,23%","39,35%","23,38%","61,42%","23,72%","29,78%","32,95%","0,99","1,76","0,76","-0,02"
9,30/06/2022,"76.933,33%","35.038,04%","116.565,66%","53.087,95%","41.029,19%","22.078,52%","62,06%","24,11%","30,61%","33,76%","915,60","1,76","0,76","-0,03"
10,31/03/2022,"53,86%","29,15%","81,60%","44,16%","33,43%","21,31%","61,98%","23,49%","30,51%","33,52%","0,91","1,66","0,66","-0,02"
11,31/12/2021,"58,32%","28,72%","88,36%","43,51%","31,64%","19,80%","60,30%","20,64%","27,57%","30,70%","0,96","1,73","0,73","-0,03"
12,30/09/2021,"58,55%","29,26%","88,71%","44,33%","31,28%","18,50%","59,12%","20,70%","28,73%","30,25%","0,89","1,68","0,68","-0,03"
13,30/06/2021,"57,03%","28,70%","86,41%","43,49%","29,66%","18,34%","59,60%","20,46%","29,16%","30,57%","0,90","1,86","0,86","0,00"
14,31/03/2021,"67,62%","32,58%","102,46%","49,37%","33,55%","21,13%","61,88%","22,40%","32,09%","33,53%","0,94","1,57","0,57","-0,04"
15,31/12/2020,"70,35%","31,34%","106,60%","47,48%","32,49%","20,42%","59,60%","20,46%","29,17%","30,57%","1,00","1,60","0,60","-0,06"
16,30/09/2020,"72,92%","31,10%","110,49%","47,12%","32,52%","20,06%","59,34%","19,69%","27,80%","29,12%","1,02","1,69","0,69","-0,05"
17,30/06/2020,"67,53%","28,10%","102,32%","42,58%","29,70%","18,68%","57,06%","17,64%","24,67%","25,93%","1,06","1,62","0,62","-0,07"
18,31/03/2020,"53,83%","21,54%","81,56%","32,63%","23,58%","15,12%","53,07%","14,50%","19,67%","20,88%","1,04","1,59","0,59","-0,08"
19,31/12/2019,"71,42%","25,34%","108,22%","38,39%","27,72%","17,28%","55,20%","15,74%","21,36%","22,52%","1,10","1,59","0,59","-0,07"
20,30/09/2019,"78,62%","26,47%","119,13%","40,11%","28,78%","18,36%","55,74%","16,26%","22,16%","23,46%","1,13","1,62","0,62","-0,07"
21,30/06/2019,"58,45%","28,04%","88,57%","42,48%","30,60%","20,97%","56,47%","17,29%","23,47%","24,70%","1,21","1,59","0,59","-0,06"
22,31/03/2019,"62,30%","28,65%","94,39%","43,41%","31,52%","21,26%","56,51%","17,92%","24,23%","25,34%","1,19","1,56","0,56","-0,05"
23,31/12/2018,"62,94%","27,81%","95,37%","42,14%","30,85%","20,50%","55,79%","17,89%","23,97%","24,97%","1,15","1,60","0,60","-0,05"
24,30/09/2018,"75,70%","30,83%","114,70%","46,72%","37,13%","25,01%","57,96%","21,15%","26,09%","26,77%","1,18","1,57","0,57","-0,05"
25,30/06/2018,"66,08%","28,90%","100,11%","43,80%","35,43%","24,28%","58,17%","21,92%","26,57%","27,18%","1,11","1,46","0,46","-0,05"
26,31/03/2018,"74,50%","56,18%","112,88%","85,13%","72,10%","35,87%","73,43%","35,43%","40,92%","41,51%","1,01","1,48","0,48","-0,03"
27,31/12/2017,"77,48%","56,60%","117,39%","85,76%","72,51%","37,03%","72,51%","34,99%","40,07%","40,64%","1,06","1,51","0,51","-0,03"
28,30/09/2017,"77,23%","53,81%","117,01%","81,52%","66,90%","33,77%","69,06%","31,44%","37,20%","37,78%","1,07","1,48","0,48","-0,03"
29,30/06/2017,"82,12%","53,79%","124,43%","81,49%","66,82%","33,94%","67,51%","30,28%","35,97%","36,53%","1,12","1,46","0,46","-0,03"
30,31/03/2017,"41,47%","26,51%","62,83%","40,17%","30,40%","16,91%","50,54%","15,59%","20,16%","20,72%","1,08","2,01","1,01","-0,05"
31,31/12/2016,"50,15%","29,27%","75,98%","44,35%","33,15%","18,06%","50,78%","15,82%","20,64%","21,19%","1,14","1,96","0,96","-0,08"
32,30/09/2016,"56,42%","30,59%","85,48%","46,35%","34,44%","18,77%","51,15%","16,18%","21,21%","21,84%","1,16","1,98","0,98","-0,07"
33,30/06/2016,"60,84%","31,62%","92,18%","47,91%","34,27%","19,29%","52,25%","16,45%","22,46%","23,10%","1,17","1,97","0,97","-0,05"
34,31/03/2016,"52,45%","29,19%","79,47%","44,23%","31,51%","18,86%","53,31%","17,37%","24,02%","24,64%","1,09","1,80","0,80","-0,05"
35,31/12/2015,"65,67%","32,37%","99,51%","49,04%","34,41%","20,04%","53,39%","17,68%","24,70%","25,32%","1,13","1,83","0,83","-0,05"
