,data,preco_lucro,preco_vpa,preco_receita_liq,preco_fco,preco_ativo_total,market_cap_empresa,divdend_yield
0,Atual - 30/09/2024,"21,06","1,64","1,20","7,39","0,86","R$ 1,13 B","2,93%"
1,30/06/2024,"21,21","1,65","1,21","7,45","0,87","R$ 1,14 B","2,91%"
2,31/03/2024,"-40,14","1,61","1,18","6,42","0,88","R$ 1,13 B","2,93%"
3,31/12/2023,"-25,37","1,84","1,34","6,66","0,99","R$ 1,27 B","2,01%"
4,30/09/2023,"-47,77","1,67","1,13","4,73","0,88","R$ 1,12 B","3,07%"
5,30/06/2023,"75,79","1,98","1,31","7,23","1,01","R$ 1,31 B","2,61%"
6,31/03/2023,"12,26","1,86","1,36","8,23","1,04","R$ 1,36 B","2,51%"
7,31/12/2022,"10,41","1,85","1,31","15,19","1,01","R$ 1,36 B","2,68%"
8,30/09/2022,"11,18","1,88","1,38","42,63","1,04","R$ 1,36 B","2,13%"
9,30/06/2022,"11,10","1,83","1,32","19,10","0,96","R$ 1,24 B","2,33%"
10,31/03/2022,"9,63","1,78","1,24","34,04","0,96","R$ 1,16 B","2,50%"
11,31/12/2021,"11,34","2,01","1,43","27,79","1,08","R$ 1,29 B","1,98%"
12,30/09/2021,"13,32","2,26","1,68","21,00","1,28","R$ 1,44 B","1,59%"
13,30/06/2021,"14,45","2,85","2,03","24,92","1,61","R$ 1,71 B","1,93%"
14,31/03/2021,"17,46","3,10","2,25","19,21","1,59","R$ 1,77 B","1,87%"
15,31/12/2020,"19,72","3,16","2,42","15,81","1,60","R$ 1,77 B","1,34%"
16,30/09/2020,"19,53","2,94","2,30","14,48","1,62","R$ 1,62 B","0,68%"
17,30/06/2020,"32,98","3,21","2,61","21,63","1,79","R$ 1,66 B","0,06%"
18,31/03/2020,"28,42","2,87","2,20","23,54","1,52","R$ 1,41 B","0,07%"
19,31/12/2019,"47,21","4,44","3,53","38,75","2,51","R$ 2,18 B","0,48%"
20,30/09/2019,"53,42","4,50","3,60","28,57","2,46","R$ 2,15 B","0,80%"
21,30/06/2019,"43,60","4,65","3,58","27,03","2,55","R$ 2,16 B","0,80%"
22,31/03/2019,"27,68","3,67","2,81","28,71","1,98","R$ 1,66 B","1,04%"
23,31/12/2018,"25,47","3,85","2,98","40,96","2,07","R$ 1,75 B","0,75%"
24,30/09/2018,"20,74","3,30","2,61","35,26","1,81","R$ 1,50 B","0,77%"
25,30/06/2018,"22,18","3,07","2,43","28,54","1,50","R$ 1,33 B","0,87%"
26,31/03/2018,"27,19","3,23","2,53","16,66","1,62","R$ 1,32 B","0,87%"
27,31/12/2017,"34,68","3,26","2,62","13,28","1,63","R$ 1,32 B","0,45%"
28,30/09/2017,"429,82","3,66","3,25","15,82","1,83","R$ 1,44 B","0,00%"
29,30/06/2017,"-13.881,49","3,77","3,30","17,69","1,85","R$ 1,44 B","0,00%"
30,31/03/2017,"-13.881,49","3,77","3,30","17,69","1,85","R$ 1,44 B","0,00%"
31,31/12/2016,"-243,53","3,37","2,78","30,04","1,63","R$ 1,27 B","0,96%"
32,30/09/2016,"54,12","4,30","3,19","61,47","2,14","R$ 1,67 B","1,03%"
33,30/06/2016,"46,89","5,40","3,77","59,79","2,91","R$ 2,06 B","0,83%"
34,31/03/2016,"42,52","6,58","4,55","143,56","3,55","R$ 2,48 B","0,69%"
35,31/12/2015,"29,16","5,31","3,78","130,08","2,91","R$ 2,02 B","0,73%"
36,30/09/2015,"31,96","4,88","3,61","136,09","2,72","R$ 1,82 B","0,74%"
37,30/06/2015,"34,66","4,81","3,70","132,60","2,76","R$ 1,70 B","0,79%"
38,31/03/2015,"34,62","4,63","3,78","78,55","2,44","R$ 1,57 B","0,86%"
39,31/12/2014,"42,89","4,90","4,94","1.896,52","2,58","R$ 1,62 B","0,22%"
40,30/09/2014,NA,"6,37",NA,"-591,35","2,66","R$ 1,45 B","0,00%"
41,30/06/2014,NA,"24,14",NA,"-317,11","9,77","R$ 5,22 B","0,00%"
