,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"- R$ 2,63 B","R$ 1,62 B","R$ 317,01 M","- R$ 718,75 M",201
1,31/03/2024,"- R$ 2,40 B","R$ 1,65 B","R$ 785,31 M","R$ 49,93 M",201
2,31/12/2023,"- R$ 2,80 B","R$ 1,31 B","R$ 250,45 M","- R$ 1,22 B",201
3,30/09/2023,"- R$ 1,57 B","R$ 30,90 M","R$ 420,56 M","- R$ 1,11 B",201
4,30/06/2023,"- R$ 2,21 B","- R$ 782,34 M","R$ 456,39 M","- R$ 2,53 B",201
5,31/03/2023,"- R$ 4,34 B","R$ 18,89 B","- R$ 14,49 B","R$ 43,22 M",201
6,31/12/2022,"- R$ 2,59 B","R$ 17,42 B","- R$ 14,85 B","R$ 88,48 M",201
7,30/09/2022,"- R$ 1,01 B","R$ 16,44 B","- R$ 15,18 B","R$ 358,55 M",201
8,30/06/2022,"R$ 975,15 M","R$ 14,91 B","- R$ 12,54 B","R$ 3,40 B",201
9,31/03/2022,"R$ 1,17 B","- R$ 6,07 B","R$ 3,63 B","- R$ 1,20 B",201
10,31/12/2021,"- R$ 110,63 M","- R$ 4,80 B","R$ 3,78 B","- R$ 1,19 B",201
11,30/09/2021,"- R$ 764,74 M","- R$ 5,41 B","R$ 3,78 B","- R$ 2,44 B",201
12,30/06/2021,"R$ 274,16 M","- R$ 5,61 B","R$ 923,45 M","- R$ 4,42 B",201
13,31/03/2021,"R$ 3,49 B","- R$ 5,35 B","- R$ 1,51 B","- R$ 3,34 B",201
14,31/12/2020,"R$ 4,41 B","- R$ 3,39 B","R$ 799,63 M","R$ 2,03 B",201
15,30/09/2020,"R$ 5,12 B","- R$ 3,36 B","R$ 521,22 M","R$ 2,48 B",201
16,30/06/2020,"R$ 4,41 B","- R$ 3,38 B","R$ 553,44 M","R$ 1,79 B",201
17,31/03/2020,"R$ 3,33 B","- R$ 4,02 B","R$ 570,78 M","R$ 60,26 M",201
18,31/12/2019,"R$ 2,31 B","- R$ 6,85 B","R$ 2,24 B","- R$ 2,30 B",201
19,30/09/2019,"R$ 1,56 B","- R$ 6,25 B","R$ 2,62 B","- R$ 2,09 B",201
20,30/06/2019,"R$ 1,46 B","- R$ 5,39 B","R$ 2,90 B","- R$ 1,04 B",201
21,31/03/2019,"R$ 1,55 B","- R$ 4,89 B","R$ 3,30 B","- R$ 43,49 M",201
22,31/12/2018,"R$ 2,86 B","- R$ 4,92 B","- R$ 424,34 M","- R$ 2,48 B",201
23,30/09/2018,"R$ 2,78 B","- R$ 4,90 B","- R$ 444,71 M","- R$ 2,54 B",201
24,30/06/2018,"R$ 3,16 B","- R$ 5,04 B","- R$ 365,39 M","- R$ 2,23 B",201
25,31/03/2018,"R$ 4,30 B","- R$ 4,90 B","- R$ 840,82 M","- R$ 1,43 B",201
26,31/12/2017,"R$ 4,40 B","- R$ 4,42 B","- R$ 691,78 M","- R$ 700,57 M",201
27,30/09/2017,"R$ 5,49 B","- R$ 4,10 B","- R$ 601,36 M","R$ 655,90 M",201
28,30/06/2017,"R$ 6,41 B","- R$ 3,20 B","- R$ 345,80 M","R$ 2,48 B",201
29,31/03/2017,"R$ 3,42 B","- R$ 3,62 B","- R$ 185,04 M","- R$ 784,42 M",201
30,31/12/2016,"R$ 3,10 B","- R$ 3,92 B","- R$ 6,12 B","- R$ 7,33 B",201
31,30/09/2016,"R$ 3,02 B","- R$ 4,27 B","- R$ 4,15 B","- R$ 6,24 B",201
32,30/06/2016,"R$ 1,87 B","- R$ 5,11 B","- R$ 8,55 B","- R$ 8,64 B",201
33,31/03/2016,"- R$ 680,03 M","R$ 12,57 B","- R$ 8,77 B","R$ 6,47 B",201
34,31/12/2015,"- R$ 1,05 B","R$ 12,54 B","- R$ 2,36 B","R$ 12,45 B",201
35,30/09/2015,"R$ 5,96 B","R$ 13,41 B","- R$ 5,92 B","R$ 10,64 B",201
