,data,receita_liquida,resultado_bruto,ebit,depreciacao,ebitda,lucro_liquido,lucro_acao
0,30/06/2024,"R$ 9,07 B","- R$ 442,05 M","- R$ 2,46 B","- R$ 1,43 B","- R$ 1,03 B","R$ 8,95 B","R$ 135,62"
1,31/03/2024,"R$ 9,38 B","- R$ 76,61 M","- R$ 2,14 B","- R$ 1,47 B","- R$ 674,08 M","- R$ 6,95 B","- R$ 10,53"
2,31/12/2023,"R$ 9,72 B","R$ 433,59 M","- R$ 1,81 B","- R$ 1,55 B","- R$ 253,46 M","- R$ 5,43 B","- R$ 8,22"
3,30/09/2023,"R$ 10,06 B","- R$ 376,55 M","- R$ 16,95 B","- R$ 2,09 B","- R$ 14,85 B","- R$ 22,09 B","- R$ 33,46"
4,30/06/2023,"R$ 10,41 B","- R$ 420,30 M","- R$ 17,32 B","- R$ 2,83 B","- R$ 14,48 B","- R$ 22,50 B","- R$ 34,08"
5,31/03/2023,"R$ 10,53 B","- R$ 391,06 M","- R$ 17,84 B","- R$ 3,56 B","- R$ 14,28 B","- R$ 22,16 B","- R$ 33,56"
6,31/12/2022,"R$ 10,49 B","- R$ 198,26 M","- R$ 18,26 B","- R$ 4,22 B","- R$ 14,04 B","- R$ 19,27 B","- R$ 2,92"
7,30/09/2022,"R$ 10,42 B","- R$ 252,74 M","- R$ 3,01 B","- R$ 3,94 B","R$ 922,39 M","- R$ 3,27 B","- R$ 0,50"
8,30/06/2022,"R$ 10,29 B","R$ 411,76 M","- R$ 2,71 B","- R$ 3,99 B","R$ 1,28 B","- R$ 5,07 B","- R$ 0,77"
9,31/03/2022,"R$ 10,33 B","R$ 654,17 M","- R$ 2,64 B","- R$ 3,96 B","R$ 1,32 B","- R$ 3,65 B","- R$ 0,55"
10,31/12/2021,"R$ 10,48 B","R$ 559,13 M","- R$ 2,04 B","- R$ 4,00 B","R$ 1,96 B","- R$ 8,52 B","- R$ 1,29"
11,30/09/2021,"R$ 8,97 B","R$ 1,47 B","- R$ 1,50 B","- R$ 4,62 B","R$ 3,12 B","- R$ 4,91 B","- R$ 0,83"
12,30/06/2021,"R$ 9,04 B","R$ 1,74 B","- R$ 1,38 B","- R$ 4,44 B","R$ 3,06 B","- R$ 2,74 B","- R$ 0,42"
13,31/03/2021,"R$ 9,11 B","R$ 1,80 B","- R$ 1,49 B","- R$ 4,42 B","R$ 2,94 B","- R$ 7,29 B","- R$ 1,22"
14,31/12/2020,"R$ 9,28 B","R$ 2,01 B","- R$ 1,81 B","- R$ 4,34 B","R$ 2,53 B","- R$ 10,53 B","- R$ 1,77"
15,30/09/2020,"R$ 18,91 B","R$ 4,23 B","- R$ 838,11 M","- R$ 6,88 B","R$ 6,04 B","- R$ 14,59 B","- R$ 2,45"
16,30/06/2020,"R$ 19,21 B","R$ 4,34 B","- R$ 3,78 B","- R$ 6,89 B","R$ 3,11 B","- R$ 17,70 B","- R$ 2,97"
17,31/03/2020,"R$ 19,75 B","R$ 4,65 B","- R$ 3,71 B","- R$ 6,90 B","R$ 3,18 B","- R$ 15,85 B","- R$ 2,66"
18,31/12/2019,"R$ 20,14 B","R$ 4,82 B","- R$ 2,98 B","- R$ 6,87 B","R$ 3,90 B","- R$ 9,00 B","- R$ 1,51"
