,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes,ticker
0,30/06/2024,"R$ 128,96 M","- R$ 96,18 M","R$ 25,87 M","R$ 62,67 M",186
1,31/03/2024,"R$ 25,29 M","- R$ 55,57 M","R$ 3,97 M","- R$ 25,62 M",186
2,31/12/2023,"R$ 120,25 M","- R$ 62,59 M","- R$ 50,82 M","R$ 6,52 M",186
3,30/09/2023,"R$ 110,48 M","- R$ 135,21 M","R$ 149,71 M","R$ 125,10 M",186
4,30/06/2023,"R$ 59,44 M","- R$ 75,22 M","- R$ 26,76 M","- R$ 42,99 M",186
5,31/03/2023,"R$ 31,78 M","- R$ 5,80 M","R$ 15,72 M","R$ 41,41 M",186
6,31/12/2022,"R$ 42,09 M","- R$ 44,96 M","R$ 42,54 M","R$ 39,74 M",186
7,30/09/2022,"- R$ 38,15 M","- R$ 86,35 M","- R$ 32,27 M","- R$ 156,87 M",186
8,30/06/2022,"R$ 30,44 M","- R$ 110,86 M","- R$ 28,42 M","- R$ 108,84 M",186
9,31/03/2022,"R$ 177,00 mil","- R$ 98,27 M","- R$ 47,05 M","- R$ 151,11 M",186
10,31/12/2021,"R$ 14,31 M","- R$ 190,34 M","R$ 420,65 M","R$ 244,77 M",186
11,30/09/2021,"R$ 8,25 M","- R$ 116,54 M","- R$ 42,00 M","- R$ 139,28 M",186
12,30/06/2021,"- R$ 18,98 M","- R$ 210,60 M","- R$ 26,26 M","- R$ 274,80 M",186
13,31/03/2021,"R$ 24,29 M","- R$ 255,64 M","R$ 725,46 M","R$ 494,11 M",186
14,31/12/2020,"- R$ 45,63 M","- R$ 60,72 M","R$ 45,93 M","- R$ 60,42 M",186
15,30/09/2020,"R$ 41,74 M","- R$ 57,22 M","R$ 142,58 M","R$ 127,11 M",186
16,30/06/2020,"R$ 58,46 M","- R$ 36,87 M","R$ 34,23 M","R$ 55,81 M",186
17,31/03/2020,"R$ 45,89 M","- R$ 24,03 M","- R$ 21,83 M","R$ 35,00 mil",186
18,31/12/2019,,,,,186
