,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 2,46 B","R$ 747,02 M","R$ 9,01",82.951.000,0,0,82.951.000,0,0,0,0,82.951.000,0,82.951.000
1,31/03/2024,"R$ 2,30 B","R$ 731,55 M","R$ 8,82",82.951.000,0,0,82.951.000,0,0,0,0,82.951.000,0,82.951.000
2,31/12/2023,"R$ 2,26 B","R$ 706,01 M","R$ 8,51",82.951.000,0,0,82.951.000,0,0,0,0,82.951.000,0,82.951.000
3,30/09/2023,"R$ 2,24 B","R$ 617,52 M","R$ 7,44",82.951.000,0,0,82.951.000,0,0,0,0,82.951.000,0,82.951.000
4,30/06/2023,"R$ 2,10 B","R$ 615,67 M","R$ 7,42",82.951.000,0,0,82.951.000,0,0,0,0,82.951.000,0,82.951.000
5,31/03/2023,"R$ 2,04 B","R$ 538,09 M","R$ 6,70",80.271.000,0,0,80.271.000,0,0,0,0,80.271.000,0,80.271.000
6,31/12/2022,"R$ 2,07 B","R$ 550,49 M","R$ 7,70",71.500.000,0,0,71.500.000,0,0,0,0,71.500.000,0,71.500.000
7,30/09/2022,"R$ 1,69 B","R$ 413,00 M","R$ 5,78",71.500.000,0,0,71.500.000,0,0,0,0,71.500.000,0,71.500.000
8,30/06/2022,"R$ 1,65 B","R$ 435,39 M","R$ 6,09",71.500.000,0,0,71.500.000,0,0,0,0,71.500.000,0,71.500.000
9,31/03/2022,"R$ 1,22 B","R$ 335,50 M","R$ 4,69",71.500.000,0,0,71.500.000,0,0,0,0,71.500.000,0,71.500.000
10,31/12/2021,"R$ 1,21 B","R$ 355,65 M","R$ 4,97",71.500.000,0,0,71.500.000,0,0,0,0,71.500.000,0,71.500.000
11,30/09/2021,"R$ 924,47 M","R$ 374,30 M","R$ 5,23 mil",71.500,0,0,71.500,0,0,0,0,71.500,0,71.500
12,30/06/2021,"R$ 966,79 M","R$ 376,51 M","R$ 5,27",71.500.000,0,0,71.500.000,0,0,0,0,71.500.000,0,71.500.000
13,31/03/2021,"R$ 1,03 B","R$ 372,44 M","R$ 5,21",71.499.970,0,0,71.499.970,0,0,0,0,71.499.970,0,71.499.970
14,31/12/2020,"R$ 670,86 M","R$ 67,42 M","R$ 13,16",5.122.089,0,0,5.122.089,0,0,0,0,5.122.089,0,5.122.089
15,30/09/2020,"R$ 675,63 M","R$ 60,88 M","R$ 11,89",5.122.089,0,0,5.122.089,0,0,0,0,5.122.089,0,5.122.089
16,30/06/2020,"R$ 667,44 M","R$ 60,83 M","R$ 11,88",5.122.089,0,0,5.122.089,0,0,0,0,5.122.089,0,5.122.089
17,31/03/2020,"R$ 660,09 M","- R$ 120,19 M","- R$ 23,47",5.122.089,0,0,5.122.089,0,0,0,0,5.122.089,0,5.122.089
18,31/12/2019,"R$ 653,11 M","- R$ 110,18 M","- R$ 21,51",5.122.089,0,0,5.122.089,0,0,0,0,5.122.089,0,5.122.089
