,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 192,00 M","R$ 86,00 M","- R$ 667,00 M","- R$ 389,00 M"
1,31/03/2024,"- R$ 294,00 M","R$ 603,00 M","- R$ 448,00 M","- R$ 139,00 M"
2,31/12/2023,"R$ 1,16 B","- R$ 97,00 M","- R$ 1,12 B","- R$ 57,00 M"
3,30/09/2023,"- R$ 115,00 M","- R$ 1,06 B","- R$ 655,00 M","- R$ 1,80 B"
4,30/06/2023,"R$ 945,00 M","- R$ 11,00 M","- R$ 750,00 M","R$ 236,00 M"
5,31/03/2023,"- R$ 1,43 B","- R$ 430,00 M","R$ 822,00 M","- R$ 1,03 B"
6,31/12/2022,"R$ 3,00 B","R$ 713,00 M","- R$ 1,72 B","R$ 1,76 B"
7,30/09/2022,"- R$ 187,00 M","R$ 1,38 B","- R$ 1,12 B","- R$ 58,00 M"
8,30/06/2022,"R$ 788,00 M","R$ 150,00 M","- R$ 614,00 M","R$ 308,00 M"
9,31/03/2022,"- R$ 3,82 B","R$ 591,00 M","- R$ 1,25 B","- R$ 4,66 B"
10,31/12/2021,"R$ 4,52 B","R$ 724,00 M","- R$ 1,34 B","R$ 3,75 B"
11,30/09/2021,"R$ 116,00 M","- R$ 132,00 M","- R$ 465,00 M","- R$ 399,00 M"
12,30/06/2021,"R$ 1,59 B","- R$ 256,00 M","R$ 32,00 M","R$ 1,03 B"
13,31/03/2021,"- R$ 3,50 B","- R$ 413,00 M","- R$ 974,00 M","- R$ 4,82 B"
14,31/12/2020,"R$ 5,99 B","- R$ 3,80 B","- R$ 920,00 M","R$ 1,43 B"
15,30/09/2020,"R$ 194,00 M","R$ 55,00 M","- R$ 675,00 M","- R$ 453,00 M"
16,30/06/2020,"R$ 2,39 B","R$ 132,00 M","- R$ 1,24 B","R$ 1,58 B"
17,31/03/2020,"- R$ 3,84 B","- R$ 675,00 M","R$ 2,55 B","- R$ 1,80 B"
18,31/12/2019,"R$ 4,88 B","- R$ 3,73 B","- R$ 5,97 B","- R$ 4,70 B"
19,30/09/2019,"R$ 228,00 M","- R$ 681,00 M","R$ 8,40 B","R$ 7,95 B"
20,30/06/2019,"R$ 633,00 M","R$ 1,76 B","- R$ 1,34 B","R$ 1,05 B"
21,31/03/2019,"- R$ 4,61 B","- R$ 615,00 M","R$ 798,00 M","- R$ 4,43 B"
22,31/12/2018,"R$ 6,43 B","- R$ 495,00 M","- R$ 909,00 M","R$ 5,03 B"
23,30/09/2018,"- R$ 953,00 M","- R$ 562,00 M","R$ 570,00 M","- R$ 945,00 M"
24,30/06/2018,"R$ 2,46 B","- R$ 415,00 M","- R$ 348,00 M","R$ 1,69 B"
25,31/03/2018,"- R$ 5,35 B","- R$ 427,00 M","R$ 729,00 M","- R$ 5,05 B"
26,31/12/2017,"R$ 6,14 B","- R$ 489,00 M","- R$ 105,00 M","R$ 5,55 B"
27,30/09/2017,"- R$ 483,00 M","- R$ 527,00 M","- R$ 301,00 M","- R$ 1,31 B"
28,30/06/2017,"R$ 1,34 B","- R$ 222,00 M","- R$ 215,00 M","R$ 907,00 M"
29,31/03/2017,"- R$ 5,11 B","- R$ 354,00 M","- R$ 1,47 B","- R$ 6,93 B"
30,31/12/2016,"R$ 5,78 B","- R$ 1,08 B","R$ 445,00 M","R$ 5,10 B"
31,30/09/2016,"R$ 804,00 M","- R$ 480,00 M","- R$ 24,00 M","R$ 328,00 M"
32,30/06/2016,"R$ 90,00 M","- R$ 199,00 M","- R$ 613,00 M","- R$ 732,00 M"
33,31/03/2016,"- R$ 7,98 B","- R$ 263,00 M","R$ 1,67 B","- R$ 6,57 B"
34,31/12/2015,"R$ 7,91 B","- R$ 476,00 M","- R$ 1,75 B","R$ 5,60 B"
35,30/09/2015,"- R$ 823,00 M","- R$ 431,00 M","- R$ 316,00 M","- R$ 1,40 B"
36,30/06/2015,"R$ 2,19 B","- R$ 473,00 M","- R$ 1,05 B","R$ 666,00 M"
