,data,ativo_total,patrimonio_liq,vlr_patrimonial_acao,acoes_ordinarias,acoes_preferenciais,acoes_preferenciais,total,acoes_ordinarias_tesouraria,acoes_preferenciais_tesouraria,acoes_preferenciais_tesouraria,total_tesouraria,acoes_ordinarias_excecao,acoes_preferenciais_excecao,total_excecao
0,30/06/2024,"R$ 877,65 M","R$ 397,42 M","R$ 8,27",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
1,31/03/2024,"R$ 846,23 M","R$ 387,67 M","R$ 8,07",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
2,31/12/2023,"R$ 828,60 M","R$ 375,24 M","R$ 7,81",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
3,30/09/2023,"R$ 856,55 M","R$ 374,89 M","R$ 7,80",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
4,30/06/2023,"R$ 792,48 M","R$ 361,13 M","R$ 7,52",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
5,31/03/2023,"R$ 858,65 M","R$ 369,75 M","R$ 7,70",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
6,31/12/2022,"R$ 843,93 M","R$ 359,63 M","R$ 7,48",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
7,30/09/2022,"R$ 872,87 M","R$ 353,21 M","R$ 7,35",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
8,30/06/2022,"R$ 815,84 M","R$ 336,08 M","R$ 6,99",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
9,31/03/2022,"R$ 736,78 M","R$ 326,60 M","R$ 6,80",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
10,31/12/2021,"R$ 773,11 M","R$ 341,08 M","R$ 7,10",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
11,30/09/2021,"R$ 786,27 M","R$ 299,14 M","R$ 6,23",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
12,30/06/2021,"R$ 722,29 M","R$ 276,02 M","R$ 5,74",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
13,31/03/2021,"R$ 776,49 M","R$ 293,88 M","R$ 6,12",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
14,31/12/2020,"R$ 723,27 M","R$ 267,17 M","R$ 5,56",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
15,30/09/2020,"R$ 774,15 M","R$ 263,50 M","R$ 5,48",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
16,30/06/2020,"R$ 701,37 M","R$ 246,02 M","R$ 5,12",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
17,31/03/2020,"R$ 693,54 M","R$ 252,20 M","R$ 5,25",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
18,31/12/2019,"R$ 536,18 M","R$ 214,64 M","R$ 4,47",16.016.924,32.029.564,32.029.564,48.046.488,0,0,0,0,16.016.924,32.029.564,48.046.488
