,data,fluxo_caixa_operacional,fluxo_caixa_investimentos,fluxo_caixa_financiamentos,fluxo_caixa_equivalentes
0,30/06/2024,"R$ 40,02 M","- R$ 4,39 M","- R$ 26,23 M","R$ 16,75 M"
1,31/03/2024,"R$ 15,41 M","- R$ 4,41 M","- R$ 31,66 M","- R$ 16,26 M"
2,31/12/2023,"R$ 1,27 M","- R$ 9,12 M","R$ 3,35 M","- R$ 6,59 M"
3,30/09/2023,"R$ 27,17 M","- R$ 5,63 M","R$ 37,05 M","R$ 58,59 M"
4,30/06/2023,"R$ 73,93 M","- R$ 36,38 M","- R$ 33,71 M","R$ 2,02 M"
5,31/03/2023,"R$ 40,25 M","- R$ 16,23 M","- R$ 32,37 M","- R$ 9,57 M"
6,31/12/2022,"R$ 21,54 M","- R$ 20,19 M","R$ 2,30 M","R$ 3,79 M"
7,30/09/2022,"R$ 39,77 M","- R$ 20,09 M","R$ 33,44 M","R$ 53,13 M"
8,30/06/2022,"- R$ 23,25 M","- R$ 24,16 M","R$ 27,01 M","R$ 1,95 M"
9,31/03/2022,"R$ 21,54 M","- R$ 21,66 M","R$ 6,86 M","- R$ 4,87 M"
10,31/12/2021,"- R$ 24,86 M","- R$ 496,01 mil","- R$ 54,35 M","- R$ 84,42 M"
11,30/09/2021,"R$ 43,42 M","- R$ 6,39 M","R$ 11,02 M","R$ 48,05 M"
12,30/06/2021,"- R$ 4,33 M","- R$ 7,68 M","- R$ 21,15 M","- R$ 33,85 M"
13,31/03/2021,"R$ 20,70 M","- R$ 1,67 M","- R$ 18,75 M","- R$ 9,33 M"
14,31/12/2020,"R$ 45,84 M","- R$ 16,32 M","- R$ 30,94 M","- R$ 5,22 M"
15,30/09/2020,"R$ 26,62 M","- R$ 6,41 M","R$ 9,34 M","R$ 30,63 M"
16,30/06/2020,"R$ 22,80 M","- R$ 2,90 M","R$ 57,33 M","R$ 41,64 M"
17,31/03/2020,"- R$ 13,33 M","- R$ 5,79 M","R$ 60,13 M","R$ 31,82 M"
18,31/12/2019,"R$ 7,63 M","- R$ 16,87 M","R$ 688,83 mil","- R$ 12,58 M"
19,30/09/2019,"- R$ 6,10 M","R$ 1,48 M","R$ 2,80 M","- R$ 879,58 mil"
20,30/06/2019,"R$ 24,60 M","- R$ 11,00 M","- R$ 12,09 M","R$ 2,34 M"
21,31/03/2019,"R$ 13,77 M","- R$ 21,74 M","R$ 12,60 M","R$ 4,17 M"
22,31/12/2018,"- R$ 10,47 M","- R$ 10,53 M","R$ 8,83 M","- R$ 12,75 M"
23,30/09/2018,"R$ 19,23 M","- R$ 5,58 M","R$ 2,73 M","R$ 17,58 M"
24,30/06/2018,"R$ 21,43 M","R$ 1,84 M","- R$ 29,12 M","- R$ 8,10 M"
25,31/03/2018,"- R$ 10,41 M","- R$ 10,55 M","R$ 16,21 M","- R$ 4,66 M"
26,31/12/2017,"- R$ 4,11 M","- R$ 1,99 M","R$ 12,63 M","R$ 6,85 M"
27,30/09/2017,"R$ 28,57 M","- R$ 2,21 M","- R$ 16,39 M","R$ 10,06 M"
28,30/06/2017,"R$ 9,95 M","R$ 134,77 mil","- R$ 13,64 M","- R$ 4,62 M"
29,31/03/2017,"R$ 18,18 M","- R$ 8,47 M","- R$ 3,93 M","R$ 5,95 M"
30,31/12/2016,"- R$ 11,15 M","R$ 1,11 M","- R$ 26,72 M","- R$ 39,25 M"
31,30/09/2016,"R$ 21,42 M","- R$ 1,36 M","- R$ 5,70 M","R$ 18,08 M"
32,30/06/2016,"R$ 21,19 M","- R$ 197,24 mil","- R$ 843,28 mil","R$ 19,56 M"
33,31/03/2016,"R$ 11,58 M","- R$ 10,11 M","R$ 93,16 mil","R$ 1,02 M"
34,31/12/2015,"R$ 1,28 M","- R$ 10,44 M","- R$ 2,34 M","- R$ 14,10 M"
35,30/09/2015,"R$ 8,96 M","R$ 3,01 M","R$ 781,26 mil","R$ 14,57 M"
36,30/06/2015,"R$ 15,13 M","- R$ 3,51 M","- R$ 11,86 M","- R$ 1,52 M"
37,31/03/2015,"R$ 13,10 M","- R$ 1,83 M","- R$ 2,29 M","R$ 9,29 M"
38,31/12/2014,"- R$ 12,99 M","- R$ 6,05 M","R$ 12,82 M","- R$ 7,41 M"
39,30/09/2014,"R$ 4,54 M","- R$ 269,31 mil","R$ 10,08 M","R$ 15,44 M"
40,30/06/2014,"R$ 11,49 M","- R$ 5,96 M","- R$ 15,47 M","- R$ 8,88 M"
41,31/03/2014,"R$ 5,50 M","- R$ 1,17 M","R$ 1,70 M","R$ 5,42 M"
42,31/12/2013,"- R$ 4,54 M","- R$ 1,97 M","- R$ 4,53 M","- R$ 10,92 M"
43,30/09/2013,"R$ 11,21 M","- R$ 4,11 M","- R$ 5,49 M","R$ 1,45 M"
44,30/06/2013,"R$ 10,49 M","- R$ 2,70 M","- R$ 1,71 M","R$ 4,36 M"
45,31/03/2013,"- R$ 1,07 M","- R$ 1,45 M","R$ 8,07 M","R$ 5,49 M"
46,31/12/2012,"- R$ 10,72 M","R$ 240,92 mil","- R$ 6,63 M","- R$ 17,11 M"
47,30/09/2012,"R$ 8,95 M","- R$ 2,39 M","R$ 3,78 M","R$ 10,38 M"
48,30/06/2012,"R$ 9,41 M","R$ 991,99 mil","- R$ 9,00 M","R$ 1,31 M"
49,31/03/2012,"- R$ 4,02 M","- R$ 2,27 M","R$ 2,73 M","- R$ 3,76 M"
